Name:				261_n100_m200_bt10_20508
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1758.86
Calculation_Time:		1169.38
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		40
No_of_Items:			88
Customer_Sequence:		14 1 33 6 11 8 38 42 43 37 19 40 28 17 16 18 27 39 4 41 15 2 9 24 5 34 21 31 3 23 29 13 25 32 12 26 35 20 10 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	43	1	0	0	0	0	9	2	4	22.06	1		5.105815
22	44	1	0	0	2	0	9	2	4	22.06	1		5.105815
10	18	8	0	0	4	0	14	4	7	511.76	0		16.542524
20	39	8	0	0	8	0	14	4	7	511.76	0		16.542524
20	40	9	0	0	12	0	9	5	3	65.30	0		14.125525
20	41	10	0	0	17	0	12	3	3	107.61	1		31.573496
35	73	4	0	0	20	0	12	5	5	278.46	0		49.125019
32	65	7	0	0	20	5	15	2	8	199.19	0		28.133255
25	48	5	0	0	4	7	6	6	4	47.12	0		6.539332
26	52	7	0	0	22	5	15	2	8	199.19	0		28.133255
26	51	5	0	12	17	0	6	6	4	47.12	0		6.539332
26	50	3	0	0	12	3	11	4	3	84.53	0		81.080608
12	21	2	0	14	4	0	10	6	6	508.16	0		62.549323
12	22	3	0	0	12	6	11	4	3	84.53	0		81.080608
12	23	3	0	0	12	9	11	4	3	84.53	0		81.080608
35	72	3	0	9	0	0	11	4	3	84.53	0		81.080608
3	6	5	0	0	4	11	6	6	4	47.12	0		6.539332
13	25	8	0	0	12	12	14	4	7	511.76	0		16.542524
29	59	1	0	0	0	4	9	2	4	22.06	1		5.105815
13	24	1	0	0	2	4	9	2	4	22.06	1		5.105815
29	60	8	0	0	20	13	14	4	7	511.76	0		16.542524
34	69	3	0	0	12	19	11	4	3	84.53	0		81.080608
25	49	8	0	14	10	0	14	4	7	511.76	0		16.542524
23	45	9	0	0	20	20	9	5	3	65.30	0		14.125525
31	63	6	0	18	17	0	17	6	7	444.65	0		8.292638
35	71	1	0	0	16	3	9	2	4	22.06	1		5.105815
3	5	2	0	6	4	7	10	6	6	508.16	0		62.549323
2	4	8	0	0	12	22	14	4	7	511.76	0		16.542524
21	42	2	0	6	4	13	10	6	6	508.16	0		62.549323
29	61	10	0	0	0	8	12	3	3	107.61	1		31.573496
34	70	7	0	0	10	7	15	2	8	199.19	0		28.133255
34	68	2	0	6	4	19	10	6	6	508.16	0		62.549323
18	35	2	0	18	17	7	10	6	6	508.16	0		62.549323
24	46	4	0	0	20	23	12	5	5	278.46	0		49.125019
24	47	4	0	6	4	25	12	5	5	278.46	0		49.125019
9	17	8	0	15	10	7	14	4	7	511.76	0		16.542524
31	64	6	0	24	4	0	17	6	7	444.65	0		8.292638
15	27	6	0	24	4	7	17	6	7	444.65	0		8.292638
2	3	4	0	15	10	14	12	5	5	278.46	0		49.125019
15	28	9	0	15	10	19	9	5	3	65.30	0		14.125525
41	86	8	0	20	0	0	14	4	7	511.76	0		16.542524
41	84	2	0	15	10	22	10	6	6	508.16	0		62.549323
41	85	3	0	20	0	7	11	4	3	84.53	0		81.080608
16	30	6	0	24	4	14	17	6	7	444.65	0		8.292638
4	7	3	0	20	0	10	11	4	3	84.53	0		81.080608
4	9	10	0	0	0	11	12	3	3	107.61	1		31.573496
39	80	1	0	0	16	7	9	2	4	22.06	1		5.105815
42	88	2	0	18	17	13	10	6	6	508.16	0		62.549323
27	53	3	0	20	0	13	11	4	3	84.53	0		81.080608
