Name:				341_n020_m400_bt100_27348
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		185.62
Calculation_Time:		126.14
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			88
Customer_Sequence:		13 3 1 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	82	70	0	0	0	0	15	3	8	22.94	0		7.466986
4	79	35	0	0	3	0	17	5	4	16.41	0		5.200362
4	90	95	0	0	8	0	14	6	4	35.08	0		7.340855
4	76	28	0	0	14	0	11	5	6	21.25	0		10.468940
4	74	16	0	0	3	4	9	7	5	32.50	0		2.477307
4	75	23	0	0	19	0	8	5	8	26.76	1		0.521525
4	91	100	0	0	14	6	6	5	8	21.91	0		10.913480
4	78	31	0	0	10	4	11	3	7	14.14	0		2.092590
4	83	73	0	0	0	8	12	2	6	12.56	0		2.148191
4	86	88	0	0	3	9	7	6	3	13.08	0		3.541786
4	85	83	0	0	10	11	10	4	3	5.44	0		3.430392
4	88	92	0	0	10	14	11	3	3	9.42	0		2.486665
4	89	92	0	0	10	17	11	3	3	9.42	0		2.486665
4	84	76	0	0	3	12	7	4	3	4.18	0		0.830527
4	81	51	0	8	19	0	11	6	6	54.25	1		5.412939
4	87	90	0	8	19	6	12	5	6	33.97	1		1.128642
4	77	30	0	8	19	12	10	6	6	34.35	1		0.886846
4	92	100	0	0	13	14	6	5	8	21.91	0		10.913480
4	80	41	0	8	19	18	10	5	6	26.53	1		2.002301
1	3	20	0	11	14	0	16	4	8	27.38	0		2.566260
1	4	24	0	14	8	0	11	6	7	33.57	0		5.016207
1	9	36	0	27	14	0	10	7	6	35.50	0		5.126151
1	1	7	0	11	14	8	11	5	7	18.60	0		4.524295
1	10	44	0	27	14	6	13	7	4	17.27	0		0.830537
1	7	35	0	17	3	0	17	5	4	16.41	0		5.200362
