Name:				293_n100_m200_bt10_22754
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1305.39
Calculation_Time:		8.00
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		35
No_of_Items:			73
Customer_Sequence:		16 35 18 4 19 32 1 15 22 29 37 11 26 2 24 12 17 6 33 13 27 30 3 31 28 8 10 39 38 14 34 7 36 20 23 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
23	45	6	0	0	0	0	9	6	8	187.09	0		14.123023
23	44	2	0	0	6	0	11	5	3	105.27	1		8.472163
20	39	9	0	0	11	0	13	6	6	175.68	0		7.189842
20	38	1	0	0	17	0	14	4	3	156.62	0		11.556941
36	72	6	0	0	11	6	9	6	8	187.09	0		14.123023
36	71	2	0	0	6	3	11	5	3	105.27	1		8.472163
7	10	8	0	0	0	8	9	6	8	159.56	1		3.607257
34	68	9	0	9	0	0	13	6	6	175.68	0		7.189842
34	67	8	0	0	11	14	9	6	8	159.56	1		3.607257
14	24	10	0	9	0	6	9	6	6	286.81	0		23.289073
14	23	3	0	0	21	0	8	4	8	91.14	0		17.512558
14	22	1	0	0	17	3	14	4	3	156.62	0		11.556941
38	75	7	0	0	17	6	17	3	6	366.38	0		237.882874
39	77	7	0	0	17	12	17	3	6	366.38	0		237.882874
39	76	5	0	0	21	8	9	3	7	94.73	0		18.299964
10	13	6	0	9	0	12	9	6	8	187.09	0		14.123023
10	14	6	0	9	0	20	9	6	8	187.09	0		14.123023
10	15	6	0	13	11	0	9	6	8	187.09	0		14.123023
8	11	9	0	22	0	0	13	6	6	175.68	0		7.189842
28	56	10	0	13	11	8	9	6	6	286.81	0		23.289073
28	55	5	0	0	21	15	9	3	7	94.73	0		18.299964
28	54	1	0	0	17	18	14	4	3	156.62	0		11.556941
31	63	9	0	18	0	6	13	6	6	175.68	0		7.189842
31	61	1	0	0	17	21	14	4	3	156.62	0		11.556941
31	62	1	0	0	17	24	14	4	3	156.62	0		11.556941
3	5	9	0	18	0	12	13	6	6	175.68	0		7.189842
3	6	10	0	13	11	14	9	6	6	286.81	0		23.289073
3	4	1	0	0	17	27	14	4	3	156.62	0		11.556941
30	60	3	0	0	21	22	8	4	8	91.14	0		17.512558
30	59	2	0	0	6	6	11	5	3	105.27	1		8.472163
27	53	5	0	11	6	0	9	3	7	94.73	0		18.299964
27	51	2	0	0	6	9	11	5	3	105.27	1		8.472163
27	52	2	0	0	6	12	11	5	3	105.27	1		8.472163
13	21	6	0	13	11	20	9	6	8	187.09	0		14.123023
33	66	10	0	18	0	18	9	6	6	286.81	0		23.289073
6	9	8	0	22	6	0	9	6	8	159.56	1		3.607257
17	31	8	0	22	12	0	9	6	8	159.56	1		3.607257
12	19	1	0	22	18	0	14	4	3	156.62	0		11.556941
12	20	8	0	22	6	8	9	6	8	159.56	1		3.607257
24	46	8	0	22	12	8	9	6	8	159.56	1		3.607257
2	3	1	0	22	18	3	14	4	3	156.62	0		11.556941
26	50	10	0	18	0	24	9	6	6	286.81	0		23.289073
26	49	4	0	31	6	0	8	6	6	203.59	0		22.553654
26	48	3	0	22	18	6	8	4	8	91.14	0		17.512558
11	17	7	0	22	22	0	17	3	6	366.38	0		237.882874
11	16	5	0	22	22	6	9	3	7	94.73	0		18.299964
11	18	8	0	22	6	16	9	6	8	159.56	1		3.607257
37	74	7	0	31	12	0	17	3	6	366.38	0		237.882874
37	73	5	0	22	22	13	9	3	7	94.73	0		18.299964
29	58	7	0	31	15	0	17	3	6	366.38	0		237.882874
29	57	2	0	22	12	16	11	5	3	105.27	1		8.472163
22	42	9	0	35	0	0	13	6	6	175.68	0		7.189842
22	43	10	0	31	0	6	9	6	6	286.81	0		23.289073
22	41	7	0	36	18	0	17	3	6	366.38	0		237.882874
15	26	7	0	30	18	6	17	3	6	366.38	0		237.882874
15	27	7	0	30	18	12	17	3	6	366.38	0		237.882874
15	25	5	0	22	22	20	9	3	7	94.73	0		18.299964
1	2	8	0	22	12	19	9	6	8	159.56	1		3.607257
1	1	2	0	22	6	24	11	5	3	105.27	1		8.472163
32	65	6	0	31	0	12	9	6	8	187.09	0		14.123023
32	64	3	0	30	18	18	8	4	8	91.14	0		17.512558
19	36	6	0	31	0	20	9	6	8	187.09	0		14.123023
19	37	10	0	39	6	0	9	6	6	286.81	0		23.289073
19	35	3	0	38	18	18	8	4	8	91.14	0		17.512558
4	7	6	0	39	6	6	9	6	8	187.09	0		14.123023
18	34	10	0	39	12	6	9	6	6	286.81	0		23.289073
18	32	3	0	39	12	12	8	4	8	91.14	0		17.512558
18	33	8	0	39	6	14	9	6	8	159.56	1		3.607257
35	70	4	0	40	0	6	8	6	6	203.59	0		22.553654
35	69	3	0	39	12	20	8	4	8	91.14	0		17.512558
16	30	10	0	40	0	12	9	6	6	286.81	0		23.289073
16	29	7	0	39	22	0	17	3	6	366.38	0		237.882874
16	28	4	0	40	0	18	8	6	6	203.59	0		22.553654


