Name:				44_Manual_n100_m200_bt10_4_254
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		35.13
Calculation_Time:		0.31
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			16
Customer_Sequence:		16 5 4 8 27 21 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
21	43	4	0	0	0	0	109	60	60	10.53	0		0.008000
21	44	5	0	0	60	0	60	55	48	3.14	0		0.004800
27	54	6	0	0	0	60	114	60	60	18.95	0		0.013900
27	53	4	0	0	0	120	109	60	60	10.53	0		0.008000
27	55	8	0	0	115	0	31	24	36	1.90	0		0.012800
8	17	10	0	60	60	0	97	60	60	10.23	0		0.008800
8	15	9	0	60	60	60	115	60	60	1.64	1		0.000200
8	16	9	0	60	60	120	115	60	60	1.64	1		0.000200
4	5	3	0	0	139	0	50	33	50	4.19	0		0.012700
4	6	9	0	114	0	0	115	60	60	1.64	1		0.000200
5	8	6	1	229	0	0	114	60	60	18.95	0		0.013900
5	7	3	0	0	139	50	50	33	50	4.19	0		0.012700
5	9	8	0	0	139	100	31	24	36	1.90	0		0.012800
5	10	9	0	114	0	60	115	60	60	1.64	1		0.000200
16	35	5	0	175	114	0	60	55	48	3.14	0		0.004800
16	34	1	0	50	120	0	43	37	28	4.88	0		0.015300


