Name:				107_Manual_n200_m300_bt100_2_199
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		42.70
Calculation_Time:		0.80
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			18
Customer_Sequence:		9 17 5 23 13 7 20 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	5	64	0	0	0	0	111	60	60	2.83	0		0.002100
20	37	84	0	0	60	0	78	60	60	1.15	0		0.001200
20	35	22	0	0	120	0	33	37	53	1.67	0		0.006900
20	36	34	0	0	120	53	24	37	50	1.63	0		0.009200
7	11	59	0	0	0	60	116	60	60	16.41	0		0.011800
13	20	27	0	0	0	120	112	60	60	6.33	0		0.004700
13	21	48	0	0	60	60	103	60	60	19.40	0		0.015700
13	22	54	0	33	120	0	32	43	20	1.44	0		0.005200
23	40	62	0	0	60	120	108	60	60	18.73	0		0.014500
5	7	64	0	108	60	0	111	60	60	2.83	0		0.002100
5	8	75	0	108	60	60	88	60	60	17.94	0		0.017000
5	6	2	0	65	120	0	59	49	39	1.92	0		0.003300
17	30	72	0	108	60	120	62	60	60	15.90	0		0.021400
17	28	22	0	65	120	39	33	37	53	1.67	0		0.006900
17	27	11	0	65	120	92	30	41	49	1.24	0		0.005100
17	29	42	0	65	120	141	25	51	45	4.43	0		0.017400
9	14	3	0	116	0	0	88	60	60	7.61	0		0.007200
9	15	4	0	116	0	60	87	60	60	12.65	0		0.012100


