Name:				44_Manual_n100_m200_bt10_4_223
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		31.09
Calculation_Time:		0.27
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			15
Customer_Sequence:		17 8 5 27 18 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	30	4	0	0	0	0	109	60	60	10.53	0		0.008000
14	31	8	0	0	60	0	31	24	36	1.90	0		0.012800
18	38	4	0	0	84	0	109	60	60	10.53	0		0.008000
18	37	2	0	0	144	0	21	23	36	1.35	0		0.013900
27	54	6	0	0	0	60	114	60	60	18.95	0		0.013900
27	53	4	0	0	84	60	109	60	60	10.53	0		0.008000
27	55	8	0	0	60	36	31	24	36	1.90	0		0.012800
5	8	6	0	0	0	120	114	60	60	18.95	0		0.013900
5	7	3	0	109	60	0	50	33	50	4.19	0		0.012700
5	9	8	0	0	60	72	31	24	36	1.90	0		0.012800
5	10	9	0	0	84	120	115	60	60	1.64	1		0.000200
8	17	10	0	114	0	0	97	60	60	10.23	0		0.008800
8	15	9	0	114	0	60	115	60	60	1.64	1		0.000200
8	16	9	0	114	0	120	115	60	60	1.64	1		0.000200
17	36	9	0	159	60	0	115	60	60	1.64	1		0.000200


