Name:				098_n060_m200_bt10_8795
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		121.96
Calculation_Time:		0.17
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			9
Customer_Sequence:		8 6 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	27	10	0	0	0	0	30	11	12	2171.09	0		70.886211
6	16	3	0	0	11	0	13	12	7	284.88	0		21.645986
9	26	8	0	0	0	12	30	5	14	302.43	0		11.530293
6	17	9	0	13	11	0	34	11	8	628.16	0		21.901271
9	25	8	0	0	5	12	30	5	14	302.43	0		11.530293
8	24	10	0	30	0	0	30	11	12	2171.09	0		70.886211
8	23	9	0	13	11	8	34	11	8	628.16	0		21.901271
8	22	6	0	13	11	16	19	14	10	485.65	0		5.019975
8	21	2	0	30	0	12	24	7	10	576.58	1		6.330650


