Name:				098_n060_m200_bt10_8766
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		116.64
Calculation_Time:		0.24
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			9
Customer_Sequence:		6 10 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	22	6	0	0	0	0	19	14	10	485.65	0		5.019975
8	23	9	0	0	14	0	34	11	8	628.16	0		21.901271
8	24	10	0	0	14	8	30	11	12	2171.09	0		70.886211
10	28	3	0	0	0	10	13	12	7	284.88	0		21.645986
10	30	10	0	19	0	0	30	11	12	2171.09	0		70.886211
6	17	9	0	0	14	20	34	11	8	628.16	0		21.901271
10	29	5	0	0	0	17	13	6	12	273.39	0		29.902574
8	21	2	0	34	11	0	24	7	10	576.58	1		6.330650
6	16	3	0	19	0	12	13	12	7	284.88	0		21.645986


