Name:				202_n100_m200_bt10_16449
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2315.25
Calculation_Time:		71.18
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		60
No_of_Items:			123
Customer_Sequence:		60 16 39 52 15 53 37 40 23 49 6 47 45 20 57 18 28 1 4 38 41 25 9 2 26 55 34 27 21 19 10 51 44 31 30 22 48 13 7 29 50 43 61 3 56 58 14 11 63 59 54 12 46 5 8 17 24 36 33 42 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	87	6	0	0	0	0	7	3	8	58.68	0		5.315889
33	67	2	0	0	3	0	12	5	3	114.89	1		13.862504
36	71	6	0	0	8	0	7	3	8	58.68	0		5.315889
36	72	10	0	0	11	0	9	3	5	108.92	0		72.306617
36	70	2	0	0	14	0	12	5	3	114.89	1		13.862504
24	51	3	0	0	19	0	13	3	8	291.89	1		16.838623
17	37	4	0	0	22	0	12	2	6	105.04	0		26.439171
17	38	7	0	0	11	5	7	2	8	90.88	0		41.141988
8	16	2	0	0	3	3	12	5	3	114.89	1		13.862504
5	11	5	0	12	0	0	17	6	4	229.14	0		9.084010
5	12	6	0	0	0	8	7	3	8	58.68	0		5.315889
5	10	1	0	0	8	8	6	3	4	47.10	0		10.486189
46	95	6	0	0	8	12	7	3	8	58.68	0		5.315889
46	94	2	0	0	14	3	12	5	3	114.89	1		13.862504
12	25	5	0	12	6	0	17	6	4	229.14	0		9.084010
12	26	7	0	0	22	6	7	2	8	90.88	0		41.141988
12	24	1	0	0	0	16	6	3	4	47.10	0		10.486189
56	115	10	0	0	8	20	9	3	5	108.92	0		72.306617
54	111	8	0	12	12	0	7	5	4	113.18	0		14.688655
59	119	9	0	12	17	0	16	2	5	59.29	0		8.932803
63	126	6	0	0	0	20	7	3	8	58.68	0		5.315889
63	125	1	0	12	22	0	6	3	4	47.10	0		10.486189
11	23	4	0	12	0	4	12	2	6	105.04	0		26.439171
11	22	2	0	0	3	6	12	5	3	114.89	1		13.862504
14	30	5	0	12	2	4	17	6	4	229.14	0		9.084010
14	32	10	0	12	8	4	9	3	5	108.92	0		72.306617
14	31	7	0	0	11	13	7	2	8	90.88	0		41.141988
58	118	7	0	0	22	14	7	2	8	90.88	0		41.141988
54	112	9	0	13	19	0	16	2	5	59.29	0		8.932803
3	6	9	0	12	17	5	16	2	5	59.29	0		8.932803
3	5	8	0	12	11	4	7	5	4	113.18	0		14.688655
3	4	3	0	0	19	8	13	3	8	291.89	1		16.838623
61	123	7	0	0	11	21	7	2	8	90.88	0		41.141988
61	121	1	0	0	8	25	6	3	4	47.10	0		10.486189
61	122	2	0	0	3	9	12	5	3	114.89	1		13.862504
43	89	10	0	12	2	8	9	3	5	108.92	0		72.306617
43	88	1	0	12	22	4	6	3	4	47.10	0		10.486189
50	103	1	0	12	5	8	6	3	4	47.10	0		10.486189
50	105	3	0	0	19	16	13	3	8	291.89	1		16.838623
50	104	2	0	19	12	0	12	5	3	114.89	1		13.862504
29	61	5	0	29	0	0	17	6	4	229.14	0		9.084010
51	108	7	0	0	22	22	7	2	8	90.88	0		41.141988
7	15	2	0	19	12	3	12	5	3	114.89	1		13.862504
13	28	8	0	12	11	8	7	5	4	113.18	0		14.688655
13	29	8	0	12	11	12	7	5	4	113.18	0		14.688655
13	27	7	0	12	22	8	7	2	8	90.88	0		41.141988
48	99	10	0	12	8	9	9	3	5	108.92	0		72.306617
22	48	10	0	12	2	13	9	3	5	108.92	0		72.306617
22	49	10	0	12	8	14	9	3	5	108.92	0		72.306617
30	63	1	0	12	5	12	6	3	4	47.10	0		10.486189
31	65	9	0	12	0	10	16	2	5	59.29	0		8.932803
31	64	1	0	12	5	16	6	3	4	47.10	0		10.486189
44	90	5	0	29	6	0	17	6	4	229.14	0		9.084010
51	107	5	0	29	17	0	17	6	4	229.14	0		9.084010
51	106	4	0	9	8	19	12	2	6	105.04	0		26.439171
29	62	10	0	18	21	0	9	3	5	108.92	0		72.306617
10	21	9	0	6	8	25	16	2	5	59.29	0		8.932803
10	19	1	0	12	11	16	6	3	4	47.10	0		10.486189
10	20	3	0	13	19	5	13	3	8	291.89	1		16.838623
19	42	6	0	12	2	18	7	3	8	58.68	0		5.315889
21	46	1	0	12	5	20	6	3	4	47.10	0		10.486189
21	47	3	0	13	19	13	13	3	8	291.89	1		16.838623
27	57	10	0	18	5	8	9	3	5	108.92	0		72.306617
27	56	7	0	12	17	10	7	2	8	90.88	0		41.141988
27	55	1	0	12	11	20	6	3	4	47.10	0		10.486189
34	68	5	0	29	0	4	17	6	4	229.14	0		9.084010
55	113	3	0	13	19	21	13	3	8	291.89	1		16.838623
55	114	3	0	19	12	6	13	3	8	291.89	1		16.838623
26	53	5	0	28	0	8	17	6	4	229.14	0		9.084010
26	54	9	0	12	0	15	16	2	5	59.29	0		8.932803
2	3	9	0	12	0	20	16	2	5	59.29	0		8.932803
9	17	2	0	28	0	12	12	5	3	114.89	1		13.862504
9	18	2	0	28	0	15	12	5	3	114.89	1		13.862504
25	52	1	0	12	5	24	6	3	4	47.10	0		10.486189
41	86	6	0	18	5	13	7	3	8	58.68	0		5.315889
41	84	1	0	12	11	24	6	3	4	47.10	0		10.486189
41	85	2	0	28	0	18	12	5	3	114.89	1		13.862504
38	77	9	0	12	0	25	16	2	5	59.29	0		8.932803
38	76	1	0	12	2	26	6	3	4	47.10	0		10.486189
4	8	9	0	22	8	4	16	2	5	59.29	0		8.932803
4	9	9	0	21	10	4	16	2	5	59.29	0		8.932803
4	7	2	0	28	0	21	12	5	3	114.89	1		13.862504
1	2	10	0	18	5	21	9	3	5	108.92	0		72.306617
1	1	2	0	28	0	24	12	5	3	114.89	1		13.862504
28	59	5	0	29	17	4	17	6	4	229.14	0		9.084010
28	60	9	0	21	10	9	16	2	5	59.29	0		8.932803
