Name:				262_n100_m200_bt10_20542
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2238.66
Calculation_Time:		120.37
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		53
No_of_Items:			98
Customer_Sequence:		44 6 17 5 41 51 34 3 45 18 8 14 36 12 31 49 25 33 27 37 55 26 11 29 47 57 19 22 42 40 43 48 7 13 53 20 46 23 9 24 16 39 10 21 2 15 28 4 38 52 35 1 56 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
56	101	9	0	0	0	0	11	5	3	65.44	0		13.036439
56	99	3	0	0	5	0	10	4	4	148.45	0		36.951389
2	2	1	0	0	9	0	7	4	8	89.12	0		6.435426
1	1	3	0	0	13	0	10	4	4	148.45	0		36.951389
35	58	7	0	0	17	0	12	7	6	448.61	0		48.010574
35	59	10	0	0	17	6	9	6	6	110.44	0		23.719453
35	57	2	0	11	0	0	15	5	3	217.11	1		15.689187
52	92	7	0	12	13	0	12	7	6	448.61	0		48.010574
38	65	9	0	0	0	3	11	5	3	65.44	0		13.036439
38	64	6	0	0	5	4	10	2	7	121.13	0		17.741160
4	5	3	0	0	0	6	10	4	4	148.45	0		36.951389
28	46	9	0	0	17	12	11	5	3	65.44	0		13.036439
28	47	9	0	0	17	15	11	5	3	65.44	0		13.036439
28	45	3	0	0	0	10	10	4	4	148.45	0		36.951389
15	23	8	0	0	17	18	11	5	7	116.23	0		9.228267
56	100	6	0	0	7	4	10	2	7	121.13	0		17.741160
2	3	4	0	0	9	8	8	4	4	55.77	0		21.527783
21	34	10	0	10	5	0	9	6	6	110.44	0		23.719453
10	12	3	0	0	4	11	10	4	4	148.45	0		36.951389
10	13	3	0	0	9	12	10	4	4	148.45	0		36.951389
10	14	5	0	0	17	25	7	6	5	154.72	1		5.319968
39	67	8	0	10	5	6	11	5	7	116.23	0		9.228267
39	66	5	0	10	5	13	7	6	5	154.72	1		5.319968
16	24	3	0	0	0	14	10	4	4	148.45	0		36.951389
16	25	4	0	0	0	18	8	4	4	55.77	0		21.527783
24	39	7	0	11	13	6	12	7	6	448.61	0		48.010574
9	11	9	0	11	13	12	11	5	3	65.44	0		13.036439
23	37	1	0	0	0	22	7	4	8	89.12	0		6.435426
23	38	2	0	11	0	3	15	5	3	217.11	1		15.689187
46	79	2	0	10	0	6	15	5	3	217.11	1		15.689187
20	33	7	0	21	5	0	12	7	6	448.61	0		48.010574
20	32	3	0	11	13	15	10	4	4	148.45	0		36.951389
53	94	8	0	12	20	0	11	5	7	116.23	0		9.228267
