Name:				267_n100_m200_bt100_21031
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1532.31
Calculation_Time:		132.86
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		37
No_of_Items:			76
Customer_Sequence:		14 35 3 22 29 23 20 41 9 24 30 31 36 34 16 4 19 37 38 21 28 6 8 13 10 2 25 17 12 26 39 11 33 15 18 5 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	16	52	0	0	0	0	10	6	7	372.17	0		92.163961
7	15	48	0	0	6	0	13	2	7	179.74	0		43.809847
7	14	18	0	0	8	0	6	5	6	84.14	0		73.646375
5	10	75	0	0	13	0	16	4	5	136.19	0		18.829828
5	9	43	0	0	17	0	12	4	3	70.06	0		24.203112
5	8	10	0	0	13	5	13	5	8	319.81	1		10.404998
18	33	55	0	0	21	0	15	4	6	242.75	0		71.290266
15	28	97	0	0	0	7	12	5	6	345.88	1		13.243499
33	59	60	0	6	8	0	11	5	7	353.92	0		53.188796
33	60	83	0	16	13	0	10	7	3	90.11	0		11.135205
33	61	94	0	0	0	13	7	5	5	85.86	1		5.874125
11	21	39	0	13	0	0	15	7	7	758.24	0		140.344418
11	22	46	0	0	21	6	13	4	7	147.32	0		49.255887
11	23	56	0	0	5	7	10	4	4	52.31	0		19.076760
39	76	2	0	12	0	7	10	6	7	397.06	0		162.445159
39	77	55	0	0	21	13	15	4	6	242.75	0		71.290266
39	78	82	0	0	18	3	13	3	4	115.04	0		18.798191
21	37	55	0	0	21	19	15	4	6	242.75	0		71.290266
12	24	47	0	26	7	0	15	7	4	212.01	0		16.393828
17	32	35	0	26	14	0	15	6	5	648.28	0		143.827133
25	47	74	0	12	0	14	10	5	7	130.33	0		8.746458
25	48	80	0	10	6	7	7	6	6	205.97	0		93.633233
37	73	81	0	15	20	0	14	4	7	149.17	0		82.891754
13	26	46	0	12	0	21	13	4	7	147.32	0		49.255887
10	20	84	0	0	18	7	14	3	8	230.17	0		26.754857
2	3	51	0	10	6	13	7	5	3	88.12	0		79.665167
13	25	25	0	26	7	4	17	3	3	218.07	0		40.776119
8	17	46	0	26	10	4	13	4	7	147.32	0		49.255887
6	11	61	0	26	14	5	15	5	5	337.19	0		47.466324
6	12	63	0	0	18	15	12	3	6	86.93	0		10.070269
6	13	87	0	0	13	13	16	2	5	126.99	1		20.865747
28	51	53	0	0	18	21	7	3	8	126.91	0		104.859512
26	49	80	0	22	0	7	7	6	6	205.97	0		93.633233
38	74	82	0	0	21	25	13	3	4	115.04	0		18.798191
38	75	83	0	29	0	0	10	7	3	90.11	0		11.135205
21	38	69	0	26	7	7	13	3	4	66.54	0		52.088155
21	36	7	0	10	6	16	7	6	6	231.66	0		47.710822
37	72	39	0	26	7	11	15	7	7	758.24	0		140.344418
25	46	29	0	22	0	13	7	4	7	112.01	0		19.712876
37	71	15	0	10	6	22	8	5	5	173.04	0		43.745757
19	34	54	0	15	19	7	12	5	6	253.64	1		12.148717
4	7	11	0	15	19	13	10	5	4	260.29	1		24.731995
16	29	23	0	26	7	18	17	6	6	344.38	0		13.362008
16	30	54	0	15	19	17	12	5	6	253.64	1		12.148717
16	31	86	0	0	15	13	10	3	3	74.08	1		13.857711
34	62	34	0	26	14	10	15	5	8	446.77	0		88.871603
34	63	45	0	26	13	18	17	5	8	486.42	1		4.853863
34	64	86	0	0	15	16	10	3	3	74.08	1		13.857711
36	69	25	0	26	7	24	17	3	3	218.07	0		40.776119
36	70	37	0	29	20	0	15	3	7	201.08	0		37.020365
36	68	17	0	26	10	24	6	3	5	66.98	0		22.915215
31	57	76	0	29	0	3	8	7	4	95.77	0		5.248592
31	56	17	0	29	0	7	6	3	5	66.98	0		22.915215
30	54	34	0	39	0	0	15	5	8	446.77	0		88.871603
30	55	75	0	27	19	7	16	4	5	136.19	0		18.829828
24	45	70	0	27	19	12	12	4	4	59.98	0		11.529206
23	41	25	0	26	7	27	17	3	3	218.07	0		40.776119
9	18	59	0	35	0	8	17	5	7	335.01	0		41.000123
9	19	76	0	43	5	0	8	7	4	95.77	0		5.248592
41	80	59	0	35	0	15	17	5	7	335.01	0		41.000123
41	81	92	0	27	19	16	7	4	5	87.52	0		23.751384
20	35	19	0	29	23	0	16	2	7	146.46	0		23.677008
24	44	69	0	43	12	0	13	3	4	66.54	0		52.088155
23	42	42	1	43	5	4	11	7	5	383.16	1		20.071956
23	43	89	0	10	6	27	9	3	3	24.56	1		4.117398
29	52	27	0	27	19	21	8	4	8	366.12	0		44.610750
29	53	50	0	35	0	22	7	3	8	165.98	1		12.035688
22	40	98	0	43	16	0	15	4	8	868.11	0		65.344353
22	39	54	0	42	0	22	12	5	6	253.64	1		12.148717
3	5	13	0	43	16	8	12	4	8	158.63	0		19.217046
3	4	7	0	51	5	0	7	6	6	231.66	0		47.710822
3	6	94	0	43	5	9	7	5	5	85.86	1		5.874125
35	65	55	0	43	16	16	15	4	6	242.75	0		71.290266
35	66	63	0	32	10	24	12	3	6	86.93	0		10.070269
35	67	67	0	50	5	6	6	6	3	86.79	0		42.952378
14	27	93	0	43	16	22	12	5	3	132.25	0		61.728210


