Name:				261_n100_m200_bt10_20457
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1627.72
Calculation_Time:		10.89
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		40
No_of_Items:			87
Customer_Sequence:		41 31 35 34 38 4 23 15 16 24 9 25 3 21 26 7 37 43 8 1 33 11 19 2 5 14 18 6 20 17 12 32 13 42 40 28 27 10 30 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	60	8	0	0	0	0	14	4	7	511.76	0		16.542524
29	61	10	0	0	4	0	12	3	3	107.61	1		31.573496
29	59	1	0	0	7	0	9	2	4	22.06	1		5.105815
30	62	9	0	0	9	0	9	5	3	65.30	0		14.125525
10	18	8	0	0	14	0	14	4	7	511.76	0		16.542524
27	55	7	0	0	18	0	15	2	8	199.19	0		28.133255
27	53	3	0	0	20	0	11	4	3	84.53	0		81.080608
27	54	3	0	0	9	3	11	4	3	84.53	0		81.080608
28	57	8	0	0	20	3	14	4	7	511.76	0		16.542524
28	58	9	0	0	9	6	9	5	3	65.30	0		14.125525
28	56	3	0	0	0	7	11	4	3	84.53	0		81.080608
40	82	7	0	0	14	7	15	2	8	199.19	0		28.133255
40	81	5	0	12	4	0	6	6	4	47.12	0		6.539332
40	83	10	0	0	4	3	12	3	3	107.61	1		31.573496
42	89	8	0	0	0	10	14	4	7	511.76	0		16.542524
42	88	2	0	15	10	0	10	6	6	508.16	0		62.549323
42	87	1	0	0	7	4	9	2	4	22.06	1		5.105815
13	25	8	0	0	20	10	14	4	7	511.76	0		16.542524
13	24	1	0	0	4	6	9	2	4	22.06	1		5.105815
32	65	7	0	0	16	7	15	2	8	199.19	0		28.133255
12	21	2	0	15	16	0	10	6	6	508.16	0		62.549323
12	22	3	0	0	9	9	11	4	3	84.53	0		81.080608
12	23	3	0	0	9	12	11	4	3	84.53	0		81.080608
17	32	2	0	0	9	15	10	6	6	508.16	0		62.549323
17	33	5	0	0	9	21	6	6	4	47.12	0		6.539332
17	34	9	0	0	0	17	9	5	3	65.30	0		14.125525
20	39	8	0	0	15	15	14	4	7	511.76	0		16.542524
20	40	9	0	0	19	17	9	5	3	65.30	0		14.125525
20	41	10	0	0	0	20	12	3	3	107.61	1		31.573496
6	12	6	0	18	0	0	17	6	7	444.65	0		8.292638
6	11	5	0	0	19	20	6	6	4	47.12	0		6.539332
18	35	2	0	15	10	6	10	6	6	508.16	0		62.549323
14	26	5	0	0	19	24	6	6	4	47.12	0		6.539332
5	10	8	0	0	15	22	14	4	7	511.76	0		16.542524
2	4	8	0	18	6	0	14	4	7	511.76	0		16.542524
2	3	4	0	15	16	6	12	5	5	278.46	0		49.125019
19	37	8	0	15	16	11	14	4	7	511.76	0		16.542524
19	36	7	0	14	22	0	15	2	8	199.19	0		28.133255
19	38	10	0	0	0	23	12	3	3	107.61	1		31.573496
11	20	8	0	14	16	18	14	4	7	511.76	0		16.542524
11	19	7	0	14	22	8	15	2	8	199.19	0		28.133255
33	66	1	0	0	7	8	9	2	4	22.06	1		5.105815
33	67	1	0	0	7	12	9	2	4	22.06	1		5.105815
1	2	4	0	14	16	25	12	5	5	278.46	0		49.125019
1	1	1	0	0	7	16	9	2	4	22.06	1		5.105815
8	16	6	0	14	0	7	17	6	7	444.65	0		8.292638
8	15	3	0	14	0	14	11	4	3	84.53	0		81.080608
8	14	1	0	0	3	20	9	2	4	22.06	1		5.105815
43	90	6	0	25	10	0	17	6	7	444.65	0		8.292638
43	91	10	0	0	0	26	12	3	3	107.61	1		31.573496
37	76	6	0	25	10	7	17	6	7	444.65	0		8.292638
37	75	5	0	0	9	25	6	6	4	47.12	0		6.539332
7	13	5	0	25	0	14	6	6	4	47.12	0		6.539332
26	52	7	0	14	22	16	15	2	8	199.19	0		28.133255
26	51	5	0	25	10	14	6	6	4	47.12	0		6.539332
26	50	3	0	18	6	7	11	4	3	84.53	0		81.080608
21	42	2	0	29	16	0	10	6	6	508.16	0		62.549323
3	5	2	0	29	16	6	10	6	6	508.16	0		62.549323
3	6	5	0	25	0	18	6	6	4	47.12	0		6.539332
25	49	8	0	18	6	10	14	4	7	511.76	0		16.542524
25	48	5	0	25	10	18	6	6	4	47.12	0		6.539332
9	17	8	0	18	6	17	14	4	7	511.76	0		16.542524
24	46	4	0	18	6	24	12	5	5	278.46	0		49.125019
24	47	4	0	29	16	12	12	5	5	278.46	0		49.125019
16	30	6	0	35	0	0	17	6	7	444.65	0		8.292638
16	29	4	0	29	16	17	12	5	5	278.46	0		49.125019
16	31	10	0	29	22	0	12	3	3	107.61	1		31.573496
15	27	6	0	31	0	7	17	6	7	444.65	0		8.292638
15	28	9	0	28	16	22	9	5	3	65.30	0		14.125525
23	45	9	0	26	16	25	9	5	3	65.30	0		14.125525
4	8	4	0	31	0	14	12	5	5	278.46	0		49.125019
4	7	3	0	31	10	14	11	4	3	84.53	0		81.080608
4	9	10	0	29	22	3	12	3	3	107.61	1		31.573496
38	77	5	0	25	0	22	6	6	4	47.12	0		6.539332
38	78	9	0	31	10	17	9	5	3	65.30	0		14.125525
38	79	10	0	29	22	6	12	3	3	107.61	1		31.573496
34	68	2	0	31	0	19	10	6	6	508.16	0		62.549323
34	70	7	0	32	6	0	15	2	8	199.19	0		28.133255
34	69	3	0	31	10	20	11	4	3	84.53	0		81.080608
35	73	4	0	31	0	25	12	5	5	278.46	0		49.125019
35	72	3	0	30	10	23	11	4	3	84.53	0		81.080608
35	71	1	0	14	22	24	9	2	4	22.06	1		5.105815
31	63	6	0	41	16	0	17	6	7	444.65	0		8.292638
31	64	6	0	41	16	7	17	6	7	444.65	0		8.292638
41	86	8	0	41	16	14	14	4	7	511.76	0		16.542524
41	84	2	0	42	8	0	10	6	6	508.16	0		62.549323
41	85	3	0	30	10	26	11	4	3	84.53	0		81.080608


