Name:				138_n060_m200_bt3_3382
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1282.67
Calculation_Time:		263.31
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		28
No_of_Items:			94
Customer_Sequence:		17 1 20 30 14 8 5 18 26 21 19 28 7 15 31 27 11 2 9 22 4 3 23 16 12 32 6 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	77	1	0	0	0	0	8	7	6	254.56	0		9.781507
6	17	3	0	0	7	0	14	4	8	163.31	0		14.570134
24	79	2	0	0	11	0	11	3	7	228.75	1		18.654020
24	78	2	0	0	14	0	11	3	7	228.75	1		18.654020
6	16	2	0	0	17	0	11	3	7	228.75	1		18.654020
32	104	3	0	0	20	0	14	4	8	163.31	0		14.570134
32	102	1	0	0	0	6	8	7	6	254.56	0		9.781507
32	103	1	0	0	0	12	8	7	6	254.56	0		9.781507
12	38	3	0	0	7	8	14	4	8	163.31	0		14.570134
12	37	2	0	0	11	7	11	3	7	228.75	1		18.654020
16	52	3	0	0	20	8	14	4	8	163.31	0		14.570134
16	53	3	0	0	7	16	14	4	8	163.31	0		14.570134
16	54	3	0	0	20	16	14	4	8	163.31	0		14.570134
16	50	2	0	0	14	7	11	3	7	228.75	1		18.654020
16	51	2	0	0	17	7	11	3	7	228.75	1		18.654020
23	75	3	0	8	0	0	14	4	8	163.31	0		14.570134
23	76	3	0	8	0	8	14	4	8	163.31	0		14.570134
3	10	3	0	8	0	16	14	4	8	163.31	0		14.570134
3	8	1	0	0	0	18	8	7	6	254.56	0		9.781507
3	9	2	0	0	11	14	11	3	7	228.75	1		18.654020
4	11	3	0	11	11	0	14	4	8	163.31	0		14.570134
4	12	3	0	11	15	0	14	4	8	163.31	0		14.570134
22	74	3	0	11	11	8	14	4	8	163.31	0		14.570134
22	71	2	0	0	14	14	11	3	7	228.75	1		18.654020
22	72	2	0	0	17	14	11	3	7	228.75	1		18.654020
22	73	2	0	0	11	21	11	3	7	228.75	1		18.654020
9	28	3	0	11	15	8	14	4	8	163.31	0		14.570134
9	25	1	0	0	0	24	8	7	6	254.56	0		9.781507
9	26	1	0	11	11	16	8	7	6	254.56	0		9.781507
9	27	2	0	0	14	21	11	3	7	228.75	1		18.654020
2	6	1	0	11	11	22	8	7	6	254.56	0		9.781507
2	7	2	0	8	4	0	11	3	7	228.75	1		18.654020
11	35	3	0	14	7	0	14	4	8	163.31	0		14.570134
11	36	3	0	14	20	0	14	4	8	163.31	0		14.570134
11	32	1	0	19	11	16	8	7	6	254.56	0		9.781507
11	33	2	0	8	4	7	11	3	7	228.75	1		18.654020
11	34	2	0	8	4	14	11	3	7	228.75	1		18.654020
15	46	1	0	19	11	22	8	7	6	254.56	0		9.781507
27	87	3	0	14	7	8	14	4	8	163.31	0		14.570134
27	85	2	0	8	4	21	11	3	7	228.75	1		18.654020
31	98	1	0	22	0	0	8	7	6	254.56	0		9.781507
31	99	1	0	22	0	6	8	7	6	254.56	0		9.781507
31	100	1	0	22	0	12	8	7	6	254.56	0		9.781507
31	101	2	0	14	20	8	11	3	7	228.75	1		18.654020
15	48	3	0	14	7	16	14	4	8	163.31	0		14.570134
7	19	1	0	22	0	18	8	7	6	254.56	0		9.781507
15	49	3	0	28	7	0	14	4	8	163.31	0		14.570134
27	86	3	0	28	11	0	14	4	8	163.31	0		14.570134
15	47	2	0	14	20	15	11	3	7	228.75	1		18.654020
7	18	1	0	22	0	24	8	7	6	254.56	0		9.781507
15	45	1	0	28	15	0	8	7	6	254.56	0		9.781507
7	20	2	0	14	20	22	11	3	7	228.75	1		18.654020
7	21	2	0	28	22	0	11	3	7	228.75	1		18.654020
18	61	2	0	28	22	7	11	3	7	228.75	1		18.654020
28	92	3	0	28	7	8	14	4	8	163.31	0		14.570134
28	88	1	0	28	15	6	8	7	6	254.56	0		9.781507
28	89	1	0	28	15	12	8	7	6	254.56	0		9.781507
28	90	2	0	28	11	8	11	3	7	228.75	1		18.654020
19	63	1	0	28	15	18	8	7	6	254.56	0		9.781507
19	64	2	0	28	11	15	11	3	7	228.75	1		18.654020
19	65	2	0	27	11	22	11	3	7	228.75	1		18.654020
19	66	2	0	28	7	16	11	3	7	228.75	1		18.654020
21	70	3	0	30	0	0	14	4	8	163.31	0		14.570134
21	69	1	0	28	15	24	8	7	6	254.56	0		9.781507
26	82	1	0	36	15	0	8	7	6	254.56	0		9.781507
26	83	2	0	28	7	23	11	3	7	228.75	1		18.654020
26	84	2	0	30	4	0	11	3	7	228.75	1		18.654020
5	15	2	0	28	22	14	11	3	7	228.75	1		18.654020
1	5	3	0	30	0	8	14	4	8	163.31	0		14.570134
18	60	2	0	30	4	7	11	3	7	228.75	1		18.654020
28	91	3	0	42	7	0	14	4	8	163.31	0		14.570134
5	13	2	0	28	22	21	11	3	7	228.75	1		18.654020
5	14	2	0	30	4	14	11	3	7	228.75	1		18.654020
18	62	3	0	42	11	0	14	4	8	163.31	0		14.570134
8	23	3	0	39	11	8	14	4	8	163.31	0		14.570134
8	24	3	0	39	11	16	14	4	8	163.31	0		14.570134
8	22	1	0	36	15	6	8	7	6	254.56	0		9.781507
14	44	3	0	42	7	8	14	4	8	163.31	0		14.570134
14	42	1	0	36	15	12	8	7	6	254.56	0		9.781507
14	43	2	0	30	4	21	11	3	7	228.75	1		18.654020
30	97	3	0	39	7	16	14	4	8	163.31	0		14.570134
30	95	1	0	36	15	18	8	7	6	254.56	0		9.781507
30	96	2	0	39	22	0	11	3	7	228.75	1		18.654020
20	67	2	0	39	22	7	11	3	7	228.75	1		18.654020
20	68	2	0	39	22	14	11	3	7	228.75	1		18.654020
1	2	3	0	30	0	16	14	4	8	163.31	0		14.570134
1	3	3	0	44	0	0	14	4	8	163.31	0		14.570134
1	4	3	0	44	15	0	14	4	8	163.31	0		14.570134
18	59	2	0	41	4	0	11	3	7	228.75	1		18.654020
1	1	2	0	39	22	21	11	3	7	228.75	1		18.654020
17	56	3	0	44	0	8	14	4	8	163.31	0		14.570134
17	57	3	0	44	15	8	14	4	8	163.31	0		14.570134
17	58	3	0	44	0	16	14	4	8	163.31	0		14.570134
17	55	2	0	41	4	7	11	3	7	228.75	1		18.654020


