Name:				170_n060_m200_bt3_4127
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1080.98
Calculation_Time:		45.45
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		29
No_of_Items:			103
Customer_Sequence:		17 24 4 8 27 23 13 3 22 31 9 25 12 21 2 6 30 10 16 26 29 1 20 15 14 5 33 11 19 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
19	61	3	0	0	0	0	17	4	6	376.54	0		77.480203
19	60	1	0	0	4	0	8	6	4	103.57	0		31.842107
11	40	3	0	0	10	0	17	4	6	376.54	0		77.480203
11	41	3	0	0	14	0	17	4	6	376.54	0		77.480203
11	37	1	0	0	18	0	8	6	4	103.57	0		31.842107
1	1	1	0	0	4	4	8	6	4	103.57	0		31.842107
11	39	2	0	0	10	6	13	5	5	112.11	1		2.165524
33	111	3	0	0	0	6	17	4	6	376.54	0		77.480203
33	112	3	0	0	15	6	17	4	6	376.54	0		77.480203
33	109	2	0	0	10	11	13	5	5	112.11	1		2.165524
33	110	2	0	0	15	12	13	5	5	112.11	1		2.165524
5	19	3	0	0	0	12	17	4	6	376.54	0		77.480203
5	16	1	0	8	4	0	8	6	4	103.57	0		31.842107
5	17	1	0	16	4	0	8	6	4	103.57	0		31.842107
5	18	1	0	17	10	0	8	6	4	103.57	0		31.842107
14	50	3	0	0	0	18	17	4	6	376.54	0		77.480203
14	48	2	0	0	10	16	13	5	5	112.11	1		2.165524
14	49	2	0	0	15	17	13	5	5	112.11	1		2.165524
15	51	3	0	0	0	24	17	4	6	376.54	0		77.480203
15	52	3	0	17	0	0	17	4	6	376.54	0		77.480203
20	66	3	0	17	16	0	17	4	6	376.54	0		77.480203
20	62	1	0	17	10	4	8	6	4	103.57	0		31.842107
20	63	1	0	17	10	8	8	6	4	103.57	0		31.842107
20	64	1	0	17	10	12	8	6	4	103.57	0		31.842107
20	65	2	0	0	10	21	13	5	5	112.11	1		2.165524
1	5	3	0	8	4	4	17	4	6	376.54	0		77.480203
11	38	2	0	17	20	0	13	5	5	112.11	1		2.165524
30	101	3	0	8	4	10	17	4	6	376.54	0		77.480203
1	3	2	0	0	15	22	13	5	5	112.11	1		2.165524
1	4	2	0	17	20	5	13	5	5	112.11	1		2.165524
29	95	3	0	17	0	6	17	4	6	376.54	0		77.480203
29	96	3	0	17	16	6	17	4	6	376.54	0		77.480203
26	85	1	0	17	10	16	8	6	4	103.57	0		31.842107
26	86	2	0	17	20	10	13	5	5	112.11	1		2.165524
26	87	2	0	17	20	15	13	5	5	112.11	1		2.165524
26	88	2	0	17	20	20	13	5	5	112.11	1		2.165524
26	89	2	0	17	20	25	13	5	5	112.11	1		2.165524
16	54	3	0	17	0	12	17	4	6	376.54	0		77.480203
16	55	3	0	17	16	12	17	4	6	376.54	0		77.480203
16	53	2	0	25	10	0	13	5	5	112.11	1		2.165524
10	36	3	0	17	0	18	17	4	6	376.54	0		77.480203
10	34	2	0	25	10	5	13	5	5	112.11	1		2.165524
10	35	2	0	25	10	10	13	5	5	112.11	1		2.165524
30	99	3	0	8	4	16	17	4	6	376.54	0		77.480203
30	100	3	0	8	4	22	17	4	6	376.54	0		77.480203
1	2	2	0	30	20	0	13	5	5	112.11	1		2.165524
30	97	1	0	17	10	20	8	6	4	103.57	0		31.842107
30	98	1	0	17	10	24	8	6	4	103.57	0		31.842107
6	20	1	0	34	0	0	8	6	4	103.57	0		31.842107
6	21	2	0	25	10	15	13	5	5	112.11	1		2.165524
6	22	2	0	25	10	20	13	5	5	112.11	1		2.165524
6	23	2	0	25	10	25	13	5	5	112.11	1		2.165524
2	6	1	0	34	0	4	8	6	4	103.57	0		31.842107
2	7	1	0	34	0	8	8	6	4	103.57	0		31.842107
2	8	2	0	30	20	5	13	5	5	112.11	1		2.165524
21	69	3	0	17	16	18	17	4	6	376.54	0		77.480203
21	67	1	0	34	0	12	8	6	4	103.57	0		31.842107
21	68	1	0	34	0	16	8	6	4	103.57	0		31.842107
25	82	2	0	30	20	10	13	5	5	112.11	1		2.165524
12	43	2	0	38	10	0	13	5	5	112.11	1		2.165524
12	44	2	0	38	15	0	13	5	5	112.11	1		2.165524
25	80	1	0	34	0	20	8	6	4	103.57	0		31.842107
25	81	1	0	34	0	24	8	6	4	103.57	0		31.842107
12	42	1	0	42	0	0	8	6	4	103.57	0		31.842107
25	83	2	0	30	20	15	13	5	5	112.11	1		2.165524
25	84	2	0	30	20	20	13	5	5	112.11	1		2.165524
9	33	3	0	17	16	24	17	4	6	376.54	0		77.480203
9	31	1	0	42	0	4	8	6	4	103.57	0		31.842107
9	32	2	0	30	20	25	13	5	5	112.11	1		2.165524
31	105	3	0	34	6	0	17	4	6	376.54	0		77.480203
31	106	3	0	34	6	6	17	4	6	376.54	0		77.480203
31	102	1	0	42	0	8	8	6	4	103.57	0		31.842107
31	103	1	0	42	0	12	8	6	4	103.57	0		31.842107
31	104	2	0	38	10	5	13	5	5	112.11	1		2.165524
22	70	1	0	42	0	16	8	6	4	103.57	0		31.842107
22	71	2	0	38	15	5	13	5	5	112.11	1		2.165524
22	72	2	0	38	10	10	13	5	5	112.11	1		2.165524
3	12	3	0	34	6	12	17	4	6	376.54	0		77.480203
3	13	3	0	34	6	18	17	4	6	376.54	0		77.480203
3	9	1	0	42	0	20	8	6	4	103.57	0		31.842107
3	10	1	0	42	0	24	8	6	4	103.57	0		31.842107
3	11	2	0	38	15	10	13	5	5	112.11	1		2.165524
13	47	3	0	34	6	24	17	4	6	376.54	0		77.480203
13	45	1	0	50	0	0	8	6	4	103.57	0		31.842107
13	46	2	0	38	10	15	13	5	5	112.11	1		2.165524
23	76	3	0	43	20	0	17	4	6	376.54	0		77.480203
23	73	1	0	50	0	4	8	6	4	103.57	0		31.842107
23	74	1	0	50	0	8	8	6	4	103.57	0		31.842107
23	75	2	0	38	15	15	13	5	5	112.11	1		2.165524
27	90	1	0	50	0	12	8	6	4	103.57	0		31.842107
27	91	2	0	38	10	20	13	5	5	112.11	1		2.165524
27	92	2	0	38	15	20	13	5	5	112.11	1		2.165524
8	29	3	0	43	20	6	17	4	6	376.54	0		77.480203
8	30	3	0	43	20	12	17	4	6	376.54	0		77.480203
8	27	1	0	50	0	16	8	6	4	103.57	0		31.842107
8	28	2	0	38	10	25	13	5	5	112.11	1		2.165524
4	15	3	0	43	20	18	17	4	6	376.54	0		77.480203
4	14	2	0	38	15	25	13	5	5	112.11	1		2.165524
24	79	3	0	43	20	24	17	4	6	376.54	0		77.480203
24	77	1	0	50	0	20	8	6	4	103.57	0		31.842107
24	78	1	0	50	0	24	8	6	4	103.57	0		31.842107
17	56	2	1	51	6	0	13	5	5	112.11	1		2.165524
17	57	2	1	51	6	5	13	5	5	112.11	1		2.165524


