Name:				170_n060_m200_bt3_4123
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1195.04
Calculation_Time:		372.85
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		29
No_of_Items:			101
Customer_Sequence:		19 27 14 6 13 2 30 7 1 3 8 18 16 11 24 10 22 9 17 15 4 33 23 20 29 26 12 31 25 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
25	80	1	0	0	0	0	8	6	4	103.57	0		31.842107
25	81	1	0	0	6	0	8	6	4	103.57	0		31.842107
25	82	2	0	0	12	0	13	5	5	112.11	1		2.165524
25	83	2	0	0	17	0	13	5	5	112.11	1		2.165524
25	84	2	0	0	12	5	13	5	5	112.11	1		2.165524
31	105	3	0	8	0	0	17	4	6	376.54	0		77.480203
31	106	3	0	8	4	0	17	4	6	376.54	0		77.480203
31	102	1	0	0	0	4	8	6	4	103.57	0		31.842107
31	103	1	0	0	6	4	8	6	4	103.57	0		31.842107
31	104	2	0	0	17	5	13	5	5	112.11	1		2.165524
12	42	1	0	0	0	8	8	6	4	103.57	0		31.842107
12	43	2	0	0	12	10	13	5	5	112.11	1		2.165524
12	44	2	0	0	17	10	13	5	5	112.11	1		2.165524
26	85	1	0	0	6	8	8	6	4	103.57	0		31.842107
26	86	2	0	0	12	15	13	5	5	112.11	1		2.165524
26	87	2	0	0	17	15	13	5	5	112.11	1		2.165524
26	88	2	0	0	12	20	13	5	5	112.11	1		2.165524
26	89	2	0	0	17	20	13	5	5	112.11	1		2.165524
29	95	3	0	8	8	0	17	4	6	376.54	0		77.480203
29	96	3	0	8	0	6	17	4	6	376.54	0		77.480203
20	66	3	0	0	0	12	17	4	6	376.54	0		77.480203
20	62	1	0	0	4	12	8	6	4	103.57	0		31.842107
20	63	1	0	0	4	16	8	6	4	103.57	0		31.842107
20	64	1	0	0	4	20	8	6	4	103.57	0		31.842107
20	65	2	0	0	12	25	13	5	5	112.11	1		2.165524
23	76	3	0	0	0	18	17	4	6	376.54	0		77.480203
23	73	1	0	0	0	24	8	6	4	103.57	0		31.842107
23	74	1	0	8	4	6	8	6	4	103.57	0		31.842107
23	75	2	0	0	17	25	13	5	5	112.11	1		2.165524
33	111	3	0	13	12	0	17	4	6	376.54	0		77.480203
33	112	3	0	13	16	0	17	4	6	376.54	0		77.480203
33	109	2	0	13	20	0	13	5	5	112.11	1		2.165524
33	110	2	0	13	20	5	13	5	5	112.11	1		2.165524
4	15	3	0	13	10	6	17	4	6	376.54	0		77.480203
4	14	2	0	13	14	6	13	5	5	112.11	1		2.165524
15	51	3	0	13	10	12	17	4	6	376.54	0		77.480203
15	52	3	0	13	10	18	17	4	6	376.54	0		77.480203
17	56	2	0	13	19	10	13	5	5	112.11	1		2.165524
17	57	2	0	13	14	11	13	5	5	112.11	1		2.165524
9	33	3	0	13	10	24	17	4	6	376.54	0		77.480203
9	31	1	0	8	4	10	8	6	4	103.57	0		31.842107
9	32	2	0	13	19	15	13	5	5	112.11	1		2.165524
22	70	1	0	8	4	14	8	6	4	103.57	0		31.842107
22	71	2	0	13	14	16	13	5	5	112.11	1		2.165524
22	72	2	0	13	19	20	13	5	5	112.11	1		2.165524
10	34	2	0	13	14	21	13	5	5	112.11	1		2.165524
10	36	3	0	25	0	0	17	4	6	376.54	0		77.480203
18	58	1	0	8	4	18	8	6	4	103.57	0		31.842107
24	79	3	0	25	4	0	17	4	6	376.54	0		77.480203
24	77	1	0	16	4	6	8	6	4	103.57	0		31.842107
24	78	1	0	16	4	10	8	6	4	103.57	0		31.842107
11	40	3	0	24	4	6	17	4	6	376.54	0		77.480203
11	41	3	0	24	4	12	17	4	6	376.54	0		77.480203
11	37	1	0	16	4	14	8	6	4	103.57	0		31.842107
11	38	2	0	13	19	25	13	5	5	112.11	1		2.165524
11	39	2	0	26	20	0	13	5	5	112.11	1		2.165524
1	3	2	0	16	4	18	13	5	5	112.11	1		2.165524
16	55	3	0	25	0	6	17	4	6	376.54	0		77.480203
16	53	2	0	26	20	5	13	5	5	112.11	1		2.165524
18	59	3	0	17	0	12	17	4	6	376.54	0		77.480203
10	35	2	0	30	8	0	13	5	5	112.11	1		2.165524
8	29	3	0	17	0	18	17	4	6	376.54	0		77.480203
8	30	3	0	8	0	24	17	4	6	376.54	0		77.480203
8	27	1	0	8	4	22	8	6	4	103.57	0		31.842107
8	28	2	0	26	19	10	13	5	5	112.11	1		2.165524
3	12	3	0	30	13	0	17	4	6	376.54	0		77.480203
3	13	3	0	26	14	6	17	4	6	376.54	0		77.480203
3	9	1	0	8	4	26	8	6	4	103.57	0		31.842107
3	10	1	0	39	17	0	8	6	4	103.57	0		31.842107
3	11	2	0	26	14	12	13	5	5	112.11	1		2.165524
1	5	3	0	42	0	0	17	4	6	376.54	0		77.480203
1	1	1	0	39	18	4	8	6	4	103.57	0		31.842107
1	2	2	0	16	4	23	13	5	5	112.11	1		2.165524
16	54	3	0	42	4	0	17	4	6	376.54	0		77.480203
1	4	2	0	26	19	15	13	5	5	112.11	1		2.165524
7	26	3	0	41	4	6	17	4	6	376.54	0		77.480203
7	24	2	0	26	14	17	13	5	5	112.11	1		2.165524
7	25	2	0	26	19	20	13	5	5	112.11	1		2.165524
30	99	3	0	41	4	12	17	4	6	376.54	0		77.480203
30	100	3	0	29	4	18	17	4	6	376.54	0		77.480203
30	101	3	0	29	4	24	17	4	6	376.54	0		77.480203
30	97	1	0	39	18	8	8	6	4	103.57	0		31.842107
30	98	1	1	39	14	12	8	6	4	103.57	0		31.842107
2	6	1	0	39	14	16	8	6	4	103.57	0		31.842107
6	22	2	0	26	14	22	13	5	5	112.11	1		2.165524
2	8	2	0	26	19	25	13	5	5	112.11	1		2.165524
13	47	3	0	42	0	6	17	4	6	376.54	0		77.480203
13	45	1	0	47	8	0	8	6	4	103.57	0		31.842107
13	46	2	0	30	8	5	13	5	5	112.11	1		2.165524
6	21	2	0	30	8	10	13	5	5	112.11	1		2.165524
6	20	1	0	39	14	20	8	6	4	103.57	0		31.842107
2	7	1	0	47	14	0	8	6	4	103.57	0		31.842107
6	23	2	0	30	8	15	13	5	5	112.11	1		2.165524
14	50	3	0	34	0	12	17	4	6	376.54	0		77.480203
14	48	2	0	30	8	20	13	5	5	112.11	1		2.165524
14	49	2	0	30	8	25	13	5	5	112.11	1		2.165524
27	90	1	0	39	13	24	8	6	4	103.57	0		31.842107
27	91	2	0	47	20	0	13	5	5	112.11	1		2.165524
27	92	2	0	47	20	5	13	5	5	112.11	1		2.165524
19	61	3	0	34	0	18	17	4	6	376.54	0		77.480203
19	60	1	0	47	8	4	8	6	4	103.57	0		31.842107


