Name:				347_n020_m400_bt3_8606
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		337.28
Calculation_Time:		438.04
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			124
Customer_Sequence:		1 19 3 5 6 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	339	3	0	0	0	0	14	7	4	146.04	0		7.445492
17	338	3	0	0	7	0	14	7	4	146.04	0		7.445492
17	337	3	0	0	14	0	14	7	4	146.04	0		7.445492
17	336	3	0	0	0	4	14	7	4	146.04	0		7.445492
17	335	3	0	0	7	4	14	7	4	146.04	0		7.445492
17	334	3	0	0	14	4	14	7	4	146.04	0		7.445492
17	333	3	0	0	0	8	14	7	4	146.04	0		7.445492
17	332	3	0	0	7	8	14	7	4	146.04	0		7.445492
17	320	1	0	0	21	0	16	4	4	66.52	0		3.842796
17	326	1	0	0	21	4	16	4	4	66.52	0		3.842796
17	325	1	0	0	14	8	16	4	4	66.52	0		3.842796
17	324	1	0	0	18	8	16	4	4	66.52	0		3.842796
17	323	1	0	0	0	12	16	4	4	66.52	0		3.842796
17	322	1	0	0	4	12	16	4	4	66.52	0		3.842796
17	321	1	0	0	8	12	16	4	4	66.52	0		3.842796
17	319	1	0	0	12	12	16	4	4	66.52	0		3.842796
17	328	2	0	0	22	8	6	2	3	14.10	1		1.986463
17	329	2	0	0	22	11	6	2	3	14.10	1		1.986463
17	330	2	0	0	16	12	6	2	3	14.10	1		1.986463
17	331	2	0	0	18	12	6	2	3	14.10	1		1.986463
17	327	2	0	0	20	12	6	2	3	14.10	1		1.986463
6	114	3	0	0	0	16	14	7	4	146.04	0		7.445492
6	123	3	0	0	7	16	14	7	4	146.04	0		7.445492
6	122	3	0	0	0	20	14	7	4	146.04	0		7.445492
6	121	3	0	0	7	20	14	7	4	146.04	0		7.445492
6	120	3	0	0	0	24	14	7	4	146.04	0		7.445492
6	119	3	0	0	7	24	14	7	4	146.04	0		7.445492
6	118	3	0	16	0	0	14	7	4	146.04	0		7.445492
6	117	3	0	16	7	0	14	7	4	146.04	0		7.445492
6	116	3	0	16	14	0	14	7	4	146.04	0		7.445492
6	115	3	0	16	0	4	14	7	4	146.04	0		7.445492
6	113	3	0	16	7	4	14	7	4	146.04	0		7.445492
19	369	2	0	0	22	14	6	2	3	14.10	1		1.986463
6	106	1	0	16	21	0	16	4	4	66.52	0		3.842796
6	105	1	0	16	14	4	16	4	4	66.52	0		3.842796
6	112	2	0	0	16	15	6	2	3	14.10	1		1.986463
6	111	2	0	0	18	15	6	2	3	14.10	1		1.986463
6	110	2	0	0	20	15	6	2	3	14.10	1		1.986463
6	109	2	0	0	14	16	6	2	3	14.10	1		1.986463
6	108	2	0	0	16	18	6	2	3	14.10	1		1.986463
6	107	2	0	0	18	18	6	2	3	14.10	1		1.986463
5	103	3	0	16	18	4	14	7	4	146.04	0		7.445492
5	102	3	0	16	0	8	14	7	4	146.04	0		7.445492
5	101	3	0	16	7	8	14	7	4	146.04	0		7.445492
5	100	3	0	16	14	8	14	7	4	146.04	0		7.445492
5	99	3	0	16	0	12	14	7	4	146.04	0		7.445492
5	98	3	0	14	0	16	14	7	4	146.04	0		7.445492
5	97	3	0	14	0	20	14	7	4	146.04	0		7.445492
5	96	3	0	14	0	24	14	7	4	146.04	0		7.445492
5	95	3	0	16	7	12	14	7	4	146.04	0		7.445492
5	94	3	0	14	7	16	14	7	4	146.04	0		7.445492
5	83	1	0	6	16	12	16	4	4	66.52	0		3.842796
5	85	1	0	6	14	16	16	4	4	66.52	0		3.842796
5	84	1	0	6	14	20	16	4	4	66.52	0		3.842796
5	82	1	0	6	14	24	16	4	4	66.52	0		3.842796
5	93	2	0	0	20	18	6	2	3	14.10	1		1.986463
5	92	2	0	0	14	19	6	2	3	14.10	1		1.986463
5	91	2	0	0	16	21	6	2	3	14.10	1		1.986463
5	90	2	0	0	18	21	6	2	3	14.10	1		1.986463
3	45	1	0	14	7	20	16	4	4	66.52	0		3.842796
5	88	2	0	0	20	21	6	2	3	14.10	1		1.986463
5	87	2	0	0	14	22	6	2	3	14.10	1		1.986463
5	86	2	0	0	16	24	6	2	3	14.10	1		1.986463
3	61	3	0	30	0	0	14	7	4	146.04	0		7.445492
3	60	3	0	30	7	0	14	7	4	146.04	0		7.445492
3	59	3	0	30	0	4	14	7	4	146.04	0		7.445492
3	58	3	0	30	7	4	14	7	4	146.04	0		7.445492
3	57	3	0	30	0	8	14	7	4	146.04	0		7.445492
3	56	3	0	30	7	8	14	7	4	146.04	0		7.445492
3	55	3	0	30	0	12	14	7	4	146.04	0		7.445492
3	54	3	0	28	0	16	14	7	4	146.04	0		7.445492
3	53	3	0	28	0	20	14	7	4	146.04	0		7.445492
3	43	1	0	14	7	24	16	4	4	66.52	0		3.842796
3	49	1	0	16	21	8	16	4	4	66.52	0		3.842796
3	48	1	0	28	0	24	16	4	4	66.52	0		3.842796
3	47	1	0	30	7	12	16	4	4	66.52	0		3.842796
3	46	1	0	28	7	16	16	4	4	66.52	0		3.842796
5	89	2	0	0	18	24	6	2	3	14.10	1		1.986463
3	44	1	0	30	7	20	16	4	4	66.52	0		3.842796
3	42	1	0	30	4	24	16	4	4	66.52	0		3.842796
3	52	2	0	0	20	24	6	2	3	14.10	1		1.986463
3	51	2	0	0	18	27	6	2	3	14.10	1		1.986463
1	14	3	0	32	14	0	14	7	4	146.04	0		7.445492
19	379	3	0	46	0	0	14	7	4	146.04	0		7.445492
19	378	3	0	46	7	0	14	7	4	146.04	0		7.445492
19	377	3	0	46	0	4	14	7	4	146.04	0		7.445492
19	376	3	0	46	7	4	14	7	4	146.04	0		7.445492
19	375	3	0	46	0	8	14	7	4	146.04	0		7.445492
19	374	3	0	46	7	8	14	7	4	146.04	0		7.445492
19	373	3	0	46	0	12	14	7	4	146.04	0		7.445492
19	372	2	0	0	22	17	6	2	3	14.10	1		1.986463
19	367	1	0	16	21	12	16	4	4	66.52	0		3.842796
19	366	1	0	16	21	16	16	4	4	66.52	0		3.842796
1	22	3	0	32	14	4	14	7	4	146.04	0		7.445492
19	364	1	0	16	21	20	16	4	4	66.52	0		3.842796
19	363	1	0	16	21	24	16	4	4	66.52	0		3.842796
19	361	1	0	30	8	24	16	4	4	66.52	0		3.842796
6	104	1	0	32	21	0	16	4	4	66.52	0		3.842796
19	370	2	0	0	22	20	6	2	3	14.10	1		1.986463
1	5	1	0	30	14	8	16	4	4	66.52	0		3.842796
19	362	1	0	32	21	4	16	4	4	66.52	0		3.842796
19	368	2	0	0	22	23	6	2	3	14.10	1		1.986463
19	365	1	0	32	21	8	16	4	4	66.52	0		3.842796
1	21	3	0	22	14	12	14	7	4	146.04	0		7.445492
19	371	2	0	0	22	26	6	2	3	14.10	1		1.986463
1	19	3	0	22	14	16	14	7	4	146.04	0		7.445492
1	18	3	0	22	12	20	14	7	4	146.04	0		7.445492
1	17	3	0	22	12	24	14	7	4	146.04	0		7.445492
1	16	3	0	46	14	0	14	7	4	146.04	0		7.445492
