Name:				286_n100_m200_bt3_5802
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2578.66
Calculation_Time:		1747.25
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		71
No_of_Items:			135
Customer_Sequence:		62 4 66 22 53 63 44 21 9 60 74 39 13 32 56 18 1 25 10 5 48 64 27 59 49 12 51 31 55 40 6 35 67 20 72 23 8 41 65 15 71 17 36 68 42 43 50 24 54 14 58 16 29 46 61 73 11 30 38 57 34 28 19 45 70 52 3 37 2 47 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	12	1	0	0	0	0	11	3	8	252.38	0		15.462339
3	6	3	0	0	3	0	7	3	3	52.69	1		10.165339
7	14	1	0	0	6	0	11	3	8	252.38	0		15.462339
47	83	1	0	0	9	0	11	3	8	252.38	0		15.462339
47	84	1	0	0	12	0	11	3	8	252.38	0		15.462339
2	4	2	0	0	15	0	12	5	6	508.82	0		219.455570
2	5	3	0	0	20	0	7	3	3	52.69	1		10.165339
37	65	3	0	0	20	3	7	3	3	52.69	1		10.165339
7	13	1	0	0	0	8	11	3	8	252.38	0		15.462339
52	90	2	0	0	15	6	12	5	6	508.82	0		219.455570
70	128	1	0	0	6	8	11	3	8	252.38	0		15.462339
70	129	3	0	0	3	3	7	3	3	52.69	1		10.165339
45	80	3	0	0	3	6	7	3	3	52.69	1		10.165339
19	35	2	0	0	9	8	12	5	6	508.82	0		219.455570
19	36	2	0	0	14	12	12	5	6	508.82	0		219.455570
19	37	3	0	0	20	6	7	3	3	52.69	1		10.165339
28	52	3	0	0	3	9	7	3	3	52.69	1		10.165339
28	53	3	0	0	20	9	7	3	3	52.69	1		10.165339
28	51	2	0	0	9	14	12	5	6	508.82	0		219.455570
34	61	1	0	0	0	16	11	3	8	252.38	0		15.462339
57	99	2	0	0	14	18	12	5	6	508.82	0		219.455570
57	98	1	0	0	6	16	11	3	8	252.38	0		15.462339
38	66	2	0	0	9	20	12	5	6	508.82	0		219.455570
30	55	2	0	0	14	24	12	5	6	508.82	0		219.455570
30	56	2	0	7	20	0	12	5	6	508.82	0		219.455570
11	21	1	0	7	3	0	11	3	8	252.38	0		15.462339
11	20	1	0	7	20	6	11	3	8	252.38	0		15.462339
30	57	3	0	0	3	12	7	3	3	52.69	1		10.165339
11	22	3	0	0	19	12	7	3	3	52.69	1		10.165339
73	134	2	0	12	6	0	12	5	6	508.82	0		219.455570
73	133	1	0	7	3	8	11	3	8	252.38	0		15.462339
73	135	3	0	0	3	15	7	3	3	52.69	1		10.165339
61	110	2	0	12	11	0	12	5	6	508.82	0		219.455570
61	111	2	0	12	6	6	12	5	6	508.82	0		219.455570
