Name:				469_n060_m400_bt3_11747
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		436.66
Calculation_Time:		7.28
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			77
Customer_Sequence:		3 2 16 15 5 4 11 9 1 13 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	53	3	0	0	0	0	14	6	8	246.35	0		14.983847
8	54	3	0	0	6	0	14	6	8	246.35	0		14.983847
8	55	3	0	0	12	0	14	6	8	246.35	0		14.983847
8	49	2	0	0	18	0	13	4	6	148.70	0		16.018693
8	50	2	0	0	0	8	13	4	6	148.70	0		16.018693
8	51	2	0	0	18	6	13	4	6	148.70	0		16.018693
8	52	2	0	0	4	8	13	4	6	148.70	0		16.018693
8	48	1	0	0	8	8	8	4	5	58.57	1		2.297784
13	84	3	0	0	12	8	14	6	8	246.35	0		14.983847
13	85	3	0	0	0	14	14	6	8	246.35	0		14.983847
13	86	3	0	0	12	16	14	6	8	246.35	0		14.983847
13	81	2	0	0	18	12	13	4	6	148.70	0		16.018693
13	82	2	0	0	18	18	13	4	6	148.70	0		16.018693
13	83	2	0	0	0	22	13	4	6	148.70	0		16.018693
13	80	1	0	0	8	13	8	4	5	58.57	1		2.297784
1	4	3	0	13	18	0	14	6	8	246.35	0		14.983847
1	5	3	0	13	18	8	14	6	8	246.35	0		14.983847
1	6	3	0	13	18	16	14	6	8	246.35	0		14.983847
1	7	3	0	14	0	0	14	6	8	246.35	0		14.983847
1	3	2	0	0	12	24	13	4	6	148.70	0		16.018693
1	1	1	0	0	8	18	8	4	5	58.57	1		2.297784
1	2	1	0	0	8	23	8	4	5	58.57	1		2.297784
9	58	3	0	14	6	0	14	6	8	246.35	0		14.983847
9	59	3	0	14	12	0	14	6	8	246.35	0		14.983847
9	60	3	0	14	0	8	14	6	8	246.35	0		14.983847
9	57	2	0	0	16	24	13	4	6	148.70	0		16.018693
9	56	1	0	8	8	8	8	4	5	58.57	1		2.297784
11	73	3	0	14	12	8	14	6	8	246.35	0		14.983847
11	68	2	0	13	18	24	13	4	6	148.70	0		16.018693
11	69	2	0	14	0	16	13	4	6	148.70	0		16.018693
11	70	2	0	13	0	22	13	4	6	148.70	0		16.018693
11	71	2	0	14	12	16	13	4	6	148.70	0		16.018693
11	72	2	0	14	12	22	13	4	6	148.70	0		16.018693
11	67	1	0	8	8	13	8	4	5	58.57	1		2.297784
4	26	3	0	27	18	0	14	6	8	246.35	0		14.983847
4	27	3	0	27	18	8	14	6	8	246.35	0		14.983847
4	28	3	0	27	18	16	14	6	8	246.35	0		14.983847
4	29	3	0	28	0	0	14	6	8	246.35	0		14.983847
4	25	2	0	16	6	8	13	4	6	148.70	0		16.018693
4	24	1	0	8	8	18	8	4	5	58.57	1		2.297784
5	32	3	0	28	10	0	14	6	8	246.35	0		14.983847
5	33	3	0	28	0	8	14	6	8	246.35	0		14.983847
5	34	3	0	27	0	16	14	6	8	246.35	0		14.983847
5	31	2	0	16	6	14	13	4	6	148.70	0		16.018693
5	30	1	0	8	8	23	8	4	5	58.57	1		2.297784
15	99	3	0	28	10	8	14	6	8	246.35	0		14.983847
15	100	3	0	27	10	16	14	6	8	246.35	0		14.983847
15	94	2	0	16	6	20	13	4	6	148.70	0		16.018693
15	95	2	0	26	18	24	13	4	6	148.70	0		16.018693
15	96	2	0	26	0	24	13	4	6	148.70	0		16.018693
15	97	2	0	27	10	24	13	4	6	148.70	0		16.018693
15	98	2	0	29	6	0	13	4	6	148.70	0		16.018693
15	93	1	0	29	6	6	8	4	5	58.57	1		2.297784
16	106	3	0	41	16	0	14	6	8	246.35	0		14.983847
16	107	3	0	41	16	8	14	6	8	246.35	0		14.983847
16	108	3	0	41	16	16	14	6	8	246.35	0		14.983847
16	105	2	0	39	18	24	13	4	6	148.70	0		16.018693
16	101	1	0	29	6	11	8	4	5	58.57	1		2.297784
16	102	1	0	29	6	16	8	4	5	58.57	1		2.297784
16	103	1	0	29	6	21	8	4	5	58.57	1		2.297784
16	104	1	0	42	0	0	8	4	5	58.57	1		2.297784
2	13	3	0	42	4	0	14	6	8	246.35	0		14.983847
2	14	3	0	42	10	0	14	6	8	246.35	0		14.983847
2	11	2	0	42	4	8	13	4	6	148.70	0		16.018693
2	12	2	0	42	8	8	13	4	6	148.70	0		16.018693
2	8	1	0	42	0	5	8	4	5	58.57	1		2.297784
2	9	1	0	42	12	8	8	4	5	58.57	1		2.297784
2	10	1	0	42	0	10	8	4	5	58.57	1		2.297784
3	22	3	0	42	4	14	14	6	8	246.35	0		14.983847
3	23	3	0	41	4	22	14	6	8	246.35	0		14.983847
3	19	2	1	56	0	0	13	4	6	148.70	0		16.018693
3	20	2	1	56	0	6	13	4	6	148.70	0		16.018693
3	21	2	1	56	0	12	13	4	6	148.70	0		16.018693
3	15	1	0	42	12	13	8	4	5	58.57	1		2.297784
3	16	1	0	42	0	15	8	4	5	58.57	1		2.297784
3	17	1	0	41	12	18	8	4	5	58.57	1		2.297784
3	18	1	0	41	12	23	8	4	5	58.57	1		2.297784


