Name:				16_Manual_n50_m200_bt100_1_1062
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		29.48
Calculation_Time:		1.09
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			32
Customer_Sequence:		18 22 12 19 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	17	69	0	0	0	0	120	60	60	2.09	0		0.001500
6	15	39	0	0	60	0	90	60	60	21.24	0		0.019700
6	14	4	0	0	120	0	44	28	59	3.42	0		0.013900
6	18	73	0	0	148	0	22	25	28	4.36	0		0.039600
6	19	89	0	0	0	60	109	60	60	12.12	1		0.001900
6	16	51	1	0	60	60	36	51	24	1.06	1		0.000600
19	71	64	0	90	60	0	107	60	60	2.31	0		0.001800
19	70	62	0	51	60	60	98	60	60	14.76	0		0.012600
19	72	79	0	44	120	0	56	31	49	3.91	0		0.011300
19	69	36	0	0	120	59	41	37	55	4.65	0		0.015300
19	73	91	0	0	120	114	30	45	53	1.89	0		0.007000
19	68	2	0	44	120	49	46	39	37	2.80	0		0.007800
12	35	52	0	51	60	120	117	60	60	4.52	0		0.003200
12	38	96	0	120	0	0	86	60	60	1.56	0		0.001500
12	37	88	0	109	0	60	75	60	60	19.80	0		0.022000
12	36	67	0	41	120	86	26	40	24	4.69	0		0.022500
12	34	7	1	41	120	110	35	25	23	4.35	0		0.024900
22	83	22	0	100	120	0	58	50	46	3.98	0		0.006900
22	84	22	0	100	120	46	58	50	46	3.98	0		0.006900
22	81	6	0	100	120	92	35	51	45	3.65	0		0.010200
22	86	35	0	109	0	120	57	24	52	3.55	0		0.013000
22	85	29	1	41	120	133	37	23	46	3.79	0		0.022200
22	88	42	0	100	120	137	40	48	20	3.15	0		0.008200
22	82	12	1	100	120	157	54	22	24	4.68	0		0.019700
22	89	95	0	197	60	0	115	60	60	3.71	1		0.000500
22	87	38	0	109	24	120	56	35	39	4.16	1		0.002100
18	66	81	0	206	0	0	93	60	60	13.18	0		0.011800
18	64	37	0	184	0	60	72	60	60	3.21	0		0.003700
18	65	74	0	158	120	0	58	48	46	2.74	0		0.004900
18	63	16	1	158	120	46	20	55	59	3.38	0		0.015300
18	62	10	1	158	140	46	20	36	40	4.36	0		0.030200
18	67	95	0	166	0	120	115	60	60	3.71	1		0.000500


