Name:				41_Manual_n100_m200_bt10_1_1828
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		66.73
Calculation_Time:		1.49
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			35
Customer_Sequence:		18 8 7 10 4 2 19 20 6 13 14 16 17 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	20	7	0	0	0	0	89	60	60	17.52	0		0.016400
9	21	10	0	0	60	0	54	23	48	3.17	0		0.012800
9	22	10	0	0	83	0	54	23	48	3.17	0		0.012800
9	19	3	0	0	106	0	28	25	57	1.57	0		0.011200
17	35	7	0	0	0	60	89	60	60	17.52	0		0.016400
17	34	1	1	0	131	0	41	51	54	1.70	0		0.004100
17	36	10	0	0	60	48	54	23	48	3.17	0		0.012800
16	32	4	0	0	0	120	107	60	60	8.21	0		0.006400
16	33	7	0	51	106	0	89	60	60	17.52	0		0.016400
14	30	4	0	51	106	60	107	60	60	8.21	0		0.006400
14	29	3	0	0	60	96	28	25	57	1.57	0		0.011200
14	28	2	1	54	60	0	35	49	26	2.74	1		0.001600
13	27	9	0	51	106	120	81	60	60	6.91	0		0.007100
6	12	9	0	107	0	0	81	60	60	6.91	0		0.007100
6	11	8	0	107	0	60	60	60	60	20.52	0		0.028500
20	43	2	1	54	60	26	35	49	26	2.74	1		0.001600
19	42	7	0	188	0	0	89	60	60	17.52	0		0.016400
19	41	6	1	103	60	0	30	60	43	3.96	0		0.011000
2	4	6	1	103	60	43	30	60	43	3.96	0		0.011000
2	3	2	1	103	60	86	35	49	26	2.74	1		0.001600
4	8	8	0	163	60	0	60	60	60	20.52	0		0.028500
4	9	8	0	163	60	60	60	60	60	20.52	0		0.028500
4	7	5	0	132	106	120	28	53	24	3.16	0		0.010600
10	23	1	0	163	120	0	41	51	54	1.70	0		0.004100
10	24	3	0	163	120	54	28	25	57	1.57	0		0.011200
7	14	7	0	167	0	60	89	60	60	17.52	0		0.016400
7	15	7	0	160	0	120	89	60	60	17.52	0		0.016400
7	16	9	0	223	60	0	81	60	60	6.91	0		0.007100
7	13	1	0	160	60	120	41	51	54	1.70	0		0.004100
8	17	1	0	204	120	0	41	51	54	1.70	0		0.004100
8	18	3	0	160	145	54	28	25	57	1.57	0		0.011200
18	40	8	0	223	60	60	60	60	60	20.52	0		0.028500
18	37	1	0	191	120	54	41	51	54	1.70	0		0.004100
18	39	6	1	201	60	120	30	60	43	3.96	0		0.011000
18	38	3	0	191	120	108	28	25	57	1.57	0		0.011200


