Name:				41_Manual_n100_m200_bt10_1_1960
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		78.25
Calculation_Time:		2.15
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			33
Customer_Sequence:		14 19 12 17 7 18 1 4 6 16 21 9 13 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	31	6	0	0	0	0	30	60	43	3.96	0		0.011000
13	27	9	0	0	60	0	81	60	60	6.91	0		0.007100
9	20	7	0	0	60	60	89	60	60	17.52	0		0.016400
9	21	10	0	0	120	0	54	23	48	3.17	0		0.012800
9	22	10	0	0	143	0	54	23	48	3.17	0		0.012800
9	19	3	0	0	0	43	28	25	57	1.57	0		0.011200
21	44	5	0	0	120	48	28	53	24	3.16	0		0.010600
16	32	4	0	0	60	120	107	60	60	8.21	0		0.006400
16	33	7	0	30	0	0	89	60	60	17.52	0		0.016400
6	12	9	0	28	0	60	81	60	60	6.91	0		0.007100
6	11	8	0	28	0	120	60	60	60	20.52	0		0.028500
4	8	8	0	119	0	0	60	60	60	20.52	0		0.028500
4	9	8	0	107	60	0	60	60	60	20.52	0		0.028500
4	7	5	0	0	120	72	28	53	24	3.16	0		0.010600
1	2	10	1	0	120	96	54	23	48	3.17	0		0.012800
1	1	5	0	0	120	144	28	53	24	3.16	0		0.010600
18	40	8	0	107	60	60	60	60	60	20.52	0		0.028500
18	37	1	0	54	120	0	41	51	54	1.70	0		0.004100
18	39	6	1	95	120	0	30	60	43	3.96	0		0.011000
18	38	3	1	28	120	48	28	25	57	1.57	0		0.011200
7	14	7	0	109	0	60	89	60	60	17.52	0		0.016400
7	15	7	0	88	0	120	89	60	60	17.52	0		0.016400
7	16	9	0	167	60	0	81	60	60	6.91	0		0.007100
7	13	1	1	54	120	54	41	51	54	1.70	0		0.004100
17	35	7	0	167	60	60	89	60	60	17.52	0		0.016400
17	34	1	1	54	120	108	41	51	54	1.70	0		0.004100
17	36	10	0	105	120	43	54	23	48	3.17	0		0.012800
12	26	9	0	167	60	120	81	60	60	6.91	0		0.007100
19	42	7	0	198	0	0	89	60	60	17.52	0		0.016400
19	41	6	1	159	120	0	30	60	43	3.96	0		0.011000
14	30	4	0	198	0	60	107	60	60	8.21	0		0.006400
14	29	3	0	159	120	43	28	25	57	1.57	0		0.011200
14	28	2	0	219	120	0	35	49	26	2.74	1		0.001600


