Name:				44_Manual_n100_m200_bt10_4_1562
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		71.56
Calculation_Time:		0.52
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			26
Customer_Sequence:		4 3 11 15 5 8 12 21 14 17 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	18	5	0	0	0	0	60	55	48	3.14	0		0.004800
9	19	5	0	0	55	0	60	55	48	3.14	0		0.004800
9	20	5	0	0	110	0	60	55	48	3.14	0		0.004800
9	21	8	0	0	0	48	31	24	36	1.90	0		0.012800
17	36	9	1	0	24	48	115	60	60	1.64	1		0.000200
14	30	4	0	60	0	0	109	60	60	10.53	0		0.008000
14	31	8	0	0	139	48	31	24	36	1.90	0		0.012800
21	43	4	0	60	60	0	109	60	60	10.53	0		0.008000
21	44	5	0	60	0	60	60	55	48	3.14	0		0.004800
12	25	5	0	60	55	60	60	55	48	3.14	0		0.004800
12	24	1	0	60	120	0	43	37	28	4.88	0		0.015300
12	26	8	0	0	139	84	31	24	36	1.90	0		0.012800
12	27	9	1	60	0	108	115	60	60	1.64	1		0.000200
8	17	10	1	120	0	60	97	60	60	10.23	0		0.008800
8	15	9	1	120	0	120	115	60	60	1.64	1		0.000200
8	16	9	0	180	0	0	115	60	60	1.64	1		0.000200
5	8	6	0	180	60	0	114	60	60	18.95	0		0.013900
5	7	3	0	60	120	28	50	33	50	4.19	0		0.012700
5	9	8	1	31	139	48	31	24	36	1.90	0		0.012800
5	10	9	0	180	0	60	115	60	60	1.64	1		0.000200
15	32	3	0	60	120	78	50	33	50	4.19	0		0.012700
15	33	8	0	60	120	128	31	24	36	1.90	0		0.012800
11	23	9	0	180	60	60	115	60	60	1.64	1		0.000200
3	4	1	0	110	120	0	43	37	28	4.88	0		0.015300
4	5	3	0	110	120	28	50	33	50	4.19	0		0.012700
4	6	9	0	180	0	120	115	60	60	1.64	1		0.000200


