Name:				41_Manual_n100_m200_bt10_1_1609
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		68.11
Calculation_Time:		1.37
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		14
No_of_Items:			34
Customer_Sequence:		11 16 12 1 19 17 5 6 4 2 18 14 9 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	14	7	0	0	0	0	89	60	60	17.52	0		0.016400
7	15	7	0	0	60	0	89	60	60	17.52	0		0.016400
7	16	9	0	0	0	60	81	60	60	6.91	0		0.007100
7	13	1	0	0	120	0	41	51	54	1.70	0		0.004100
9	20	7	0	0	60	60	89	60	60	17.52	0		0.016400
9	21	10	0	0	120	54	54	23	48	3.17	0		0.012800
9	22	10	0	0	143	54	54	23	48	3.17	0		0.012800
9	19	3	0	0	120	102	28	25	57	1.57	0		0.011200
14	30	4	0	0	0	120	107	60	60	8.21	0		0.006400
14	29	3	0	0	145	102	28	25	57	1.57	0		0.011200
14	28	2	1	0	60	120	35	49	26	2.74	1		0.001600
18	40	8	0	89	60	0	60	60	60	20.52	0		0.028500
18	37	1	1	49	60	120	41	51	54	1.70	0		0.004100
18	39	6	1	54	120	0	30	60	43	3.96	0		0.011000
18	38	3	1	28	120	102	28	25	57	1.57	0		0.011200
2	4	6	1	54	120	43	30	60	43	3.96	0		0.011000
2	3	2	1	54	120	86	35	49	26	2.74	1		0.001600
4	8	8	0	100	60	60	60	60	60	20.52	0		0.028500
4	9	8	0	100	60	120	60	60	60	20.52	0		0.028500
4	7	5	0	107	0	0	28	53	24	3.16	0		0.010600
6	12	9	0	135	0	0	81	60	60	6.91	0		0.007100
6	11	8	0	135	0	60	60	60	60	20.52	0		0.028500
5	10	1	0	114	120	0	41	51	54	1.70	0		0.004100
17	35	7	0	216	0	0	89	60	60	17.52	0		0.016400
17	34	1	0	114	120	54	41	51	54	1.70	0		0.004100
17	36	10	0	103	120	108	54	23	48	3.17	0		0.012800
19	42	7	0	160	60	0	89	60	60	17.52	0		0.016400
19	41	6	1	157	120	0	30	60	43	3.96	0		0.011000
1	2	10	0	155	150	0	54	23	48	3.17	0		0.012800
1	1	5	1	155	143	48	28	53	24	3.16	0		0.010600
12	26	9	0	160	60	60	81	60	60	6.91	0		0.007100
16	32	4	0	160	60	120	107	60	60	8.21	0		0.006400
16	33	7	0	195	0	60	89	60	60	17.52	0		0.016400
11	25	1	0	217	120	0	41	51	54	1.70	0		0.004100


