Name:				197_n100_m200_bt3_9337
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1438.66
Calculation_Time:		24.01
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		38
No_of_Items:			80
Customer_Sequence:		24 15 33 39 13 4 10 20 26 8 35 41 40 2 27 31 30 21 1 19 3 28 5 11 18 17 36 29 32 14 7 9 22 25 6 34 16 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	28	2	0	0	0	0	11	3	8	166.14	0		24.836193
12	27	1	0	0	3	0	12	6	5	322.37	1		20.733629
16	35	3	0	0	9	0	9	6	7	150.11	0		31.816199
16	34	2	0	0	15	0	11	3	8	166.14	0		24.836193
34	68	3	0	0	18	0	9	6	7	150.11	0		31.816199
34	69	3	0	0	9	7	9	6	7	150.11	0		31.816199
6	13	3	0	0	18	7	9	6	7	150.11	0		31.816199
25	53	2	0	0	0	8	11	3	8	166.14	0		24.836193
22	49	3	0	0	9	14	9	6	7	150.11	0		31.816199
9	21	3	0	0	18	14	9	6	7	150.11	0		31.816199
9	19	2	0	0	15	8	11	3	8	166.14	0		24.836193
9	20	2	0	0	0	16	11	3	8	166.14	0		24.836193
7	15	3	0	0	9	21	9	6	7	150.11	0		31.816199
7	14	2	0	0	15	16	11	3	8	166.14	0		24.836193
14	30	1	0	0	3	5	12	6	5	322.37	1		20.733629
32	66	1	0	0	3	10	12	6	5	322.37	1		20.733629
29	60	1	0	0	3	15	12	6	5	322.37	1		20.733629
36	71	1	0	0	3	20	12	6	5	322.37	1		20.733629
36	72	1	0	0	18	21	12	6	5	322.37	1		20.733629
36	73	1	0	0	3	25	12	6	5	322.37	1		20.733629
17	38	2	0	9	9	0	11	3	8	166.14	0		24.836193
17	36	1	0	12	3	0	12	6	5	322.37	1		20.733629
17	37	1	0	12	3	5	12	6	5	322.37	1		20.733629
8	16	1	0	12	3	10	12	6	5	322.37	1		20.733629
11	25	3	0	20	9	0	9	6	7	150.11	0		31.816199
11	26	3	0	20	15	0	9	6	7	150.11	0		31.816199
11	24	1	0	20	9	7	12	6	5	322.37	1		20.733629
5	12	3	0	20	15	7	9	6	7	150.11	0		31.816199
5	11	1	0	20	9	12	12	6	5	322.37	1		20.733629
28	59	3	0	20	15	14	9	6	7	150.11	0		31.816199
28	58	2	0	11	0	0	11	3	8	166.14	0		24.836193
3	7	3	0	20	15	21	9	6	7	150.11	0		31.816199
3	5	2	0	11	0	8	11	3	8	166.14	0		24.836193
3	6	2	0	11	0	16	11	3	8	166.14	0		24.836193
19	41	3	0	24	3	0	9	6	7	150.11	0		31.816199
19	42	3	0	29	15	0	9	6	7	150.11	0		31.816199
19	40	1	0	20	9	17	12	6	5	322.37	1		20.733629
1	2	2	0	20	21	0	11	3	8	166.14	0		24.836193
1	1	1	0	20	9	22	12	6	5	322.37	1		20.733629
21	48	3	0	29	15	7	9	6	7	150.11	0		31.816199
21	46	1	0	29	15	14	12	6	5	322.37	1		20.733629
21	47	1	0	29	15	19	12	6	5	322.37	1		20.733629
30	62	3	0	33	3	0	9	6	7	150.11	0		31.816199
30	61	2	0	20	21	8	11	3	8	166.14	0		24.836193
31	65	3	0	33	9	0	9	6	7	150.11	0		31.816199
31	64	2	0	20	21	16	11	3	8	166.14	0		24.836193
31	63	1	0	29	15	24	12	6	5	322.37	1		20.733629
27	57	3	0	32	9	7	9	6	7	150.11	0		31.816199
27	56	1	0	32	9	14	12	6	5	322.37	1		20.733629
2	3	3	0	42	3	0	9	6	7	150.11	0		31.816199
2	4	3	0	51	3	0	9	6	7	150.11	0		31.816199
40	80	2	0	22	0	0	11	3	8	166.14	0		24.836193
40	81	2	0	22	0	8	11	3	8	166.14	0		24.836193
40	79	1	0	32	9	19	12	6	5	322.37	1		20.733629
41	82	3	0	51	9	0	9	6	7	150.11	0		31.816199
41	83	3	0	51	15	0	9	6	7	150.11	0		31.816199
35	70	1	0	32	9	24	12	6	5	322.37	1		20.733629
8	18	2	0	22	0	16	11	3	8	166.14	0		24.836193
18	39	2	0	9	12	0	11	3	8	166.14	0		24.836193
8	17	1	0	12	3	15	12	6	5	322.37	1		20.733629
26	54	2	0	24	3	7	11	3	8	166.14	0		24.836193
26	55	2	0	24	6	7	11	3	8	166.14	0		24.836193
20	44	3	0	24	3	15	9	6	7	150.11	0		31.816199
20	45	3	0	24	3	22	9	6	7	150.11	0		31.816199
20	43	2	0	31	21	0	11	3	8	166.14	0		24.836193
10	22	3	0	35	3	7	9	6	7	150.11	0		31.816199
10	23	3	0	35	3	14	9	6	7	150.11	0		31.816199
4	10	3	0	35	3	21	9	6	7	150.11	0		31.816199
4	8	1	0	44	3	7	12	6	5	322.37	1		20.733629
4	9	1	0	44	3	12	12	6	5	322.37	1		20.733629
13	29	1	0	44	3	17	12	6	5	322.37	1		20.733629
39	77	3	0	51	9	7	9	6	7	150.11	0		31.816199
39	78	3	0	51	15	7	9	6	7	150.11	0		31.816199
39	76	2	0	31	21	8	11	3	8	166.14	0		24.836193
33	67	3	0	51	9	14	9	6	7	150.11	0		31.816199
15	33	3	0	51	15	14	9	6	7	150.11	0		31.816199
15	32	2	0	31	21	16	11	3	8	166.14	0		24.836193
15	31	1	0	44	3	22	12	6	5	322.37	1		20.733629
24	51	2	0	33	0	0	11	3	8	166.14	0		24.836193
24	52	2	0	33	0	8	11	3	8	166.14	0		24.836193


