Name:				098_n060_m200_bt10_5549
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		139.50
Calculation_Time:		0.52
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			11
Customer_Sequence:		20 7 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	24	10	0	0	0	0	30	11	12	2171.09	0		70.886211
8	23	9	0	0	11	0	34	11	8	628.16	0		21.901271
8	22	6	0	0	11	8	19	14	10	485.65	0		5.019975
8	21	2	0	0	0	12	24	7	10	576.58	1		6.330650
7	20	10	0	30	0	0	30	11	12	2171.09	0		70.886211
7	18	3	0	0	11	18	13	12	7	284.88	0		21.645986
7	19	3	0	19	11	8	13	12	7	284.88	0		21.645986
20	63	9	0	24	0	12	34	11	8	628.16	0		21.901271
20	64	9	0	24	0	20	34	11	8	628.16	0		21.901271
20	62	7	0	19	11	15	17	12	8	319.30	0		6.393045
20	61	5	1	13	11	18	13	6	12	273.39	0		29.902574


