Name:				259_n100_m200_bt3_11703
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2799.98
Calculation_Time:		26.68
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		71
No_of_Items:			144
Customer_Sequence:		62 44 69 43 1 17 51 55 29 63 31 9 7 20 67 53 8 50 11 64 59 71 61 33 73 49 24 40 16 14 57 10 70 22 74 47 26 32 34 42 2 28 39 13 56 48 15 38 25 58 45 54 35 46 23 65 27 60 18 68 21 4 6 12 37 5 41 19 30 52 66 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
66	128	3	0	0	0	0	14	2	5	116.90	0		63.572415
66	129	3	0	0	2	0	14	2	5	116.90	0		63.572415
66	130	3	0	0	4	0	14	2	5	116.90	0		63.572415
52	97	1	0	0	6	0	9	3	7	227.54	0		84.604200
52	98	1	0	0	9	0	9	3	7	227.54	0		84.604200
52	99	3	0	0	12	0	14	2	5	116.90	0		63.572415
30	55	3	0	0	14	0	14	2	5	116.90	0		63.572415
19	35	1	0	0	16	0	9	3	7	227.54	0		84.604200
19	36	2	0	0	19	0	6	6	7	216.36	1		7.545438
41	76	2	0	0	0	5	6	6	7	216.36	1		7.545438
5	8	3	0	0	12	5	14	2	5	116.90	0		63.572415
37	68	3	0	0	14	5	14	2	5	116.90	0		63.572415
37	69	3	0	0	12	10	14	2	5	116.90	0		63.572415
12	21	1	0	0	6	7	9	3	7	227.54	0		84.604200
12	22	3	0	0	14	10	14	2	5	116.90	0		63.572415
6	9	2	0	0	16	7	6	6	7	216.36	1		7.545438
6	10	2	0	0	0	12	6	6	7	216.36	1		7.545438
4	7	3	0	0	12	15	14	2	5	116.90	0		63.572415
21	38	3	0	0	14	15	14	2	5	116.90	0		63.572415
68	132	1	0	0	9	7	9	3	7	227.54	0		84.604200
18	34	3	0	0	12	20	14	2	5	116.90	0		63.572415
60	114	1	0	0	6	14	9	3	7	227.54	0		84.604200
60	116	3	0	0	14	20	14	2	5	116.90	0		63.572415
60	115	2	0	0	16	14	6	6	7	216.36	1		7.545438
27	51	1	0	0	9	14	9	3	7	227.54	0		84.604200
65	126	2	0	0	0	19	6	6	7	216.36	1		7.545438
65	127	2	0	0	6	21	6	6	7	216.36	1		7.545438
23	41	1	0	6	19	0	9	3	7	227.54	0		84.604200
23	42	1	0	6	22	0	9	3	7	227.54	0		84.604200
23	43	2	0	0	16	21	6	6	7	216.36	1		7.545438
46	84	2	0	6	0	5	6	6	7	216.36	1		7.545438
35	66	2	0	6	16	7	6	6	7	216.36	1		7.545438
54	101	1	0	6	22	7	9	3	7	227.54	0		84.604200
45	82	1	0	6	22	14	9	3	7	227.54	0		84.604200
45	83	3	0	0	12	25	14	2	5	116.90	0		63.572415
58	109	1	0	6	22	21	9	3	7	227.54	0		84.604200
58	110	3	0	0	14	25	14	2	5	116.90	0		63.572415
25	46	1	0	9	6	0	9	3	7	227.54	0		84.604200
25	47	2	0	6	0	12	6	6	7	216.36	1		7.545438
38	70	1	0	9	9	0	9	3	7	227.54	0		84.604200
15	28	3	0	14	0	0	14	2	5	116.90	0		63.572415
15	29	3	0	12	0	5	14	2	5	116.90	0		63.572415
48	88	1	0	9	6	7	9	3	7	227.54	0		84.604200
56	106	3	0	12	0	10	14	2	5	116.90	0		63.572415
56	107	3	0	12	0	15	14	2	5	116.90	0		63.572415
56	105	2	0	6	16	14	6	6	7	216.36	1		7.545438
13	23	2	0	6	16	21	6	6	7	216.36	1		7.545438
13	24	2	0	14	12	0	6	6	7	216.36	1		7.545438
39	71	1	0	9	9	7	9	3	7	227.54	0		84.604200
39	73	3	0	12	0	20	14	2	5	116.90	0		63.572415
39	72	2	0	9	6	14	6	6	7	216.36	1		7.545438
28	52	3	0	12	0	25	14	2	5	116.90	0		63.572415
2	3	1	0	14	2	0	9	3	7	227.54	0		84.604200
2	4	1	0	14	2	7	9	3	7	227.54	0		84.604200
2	5	2	0	6	6	21	6	6	7	216.36	1		7.545438
42	77	1	0	14	2	14	9	3	7	227.54	0		84.604200
42	78	1	0	14	2	21	9	3	7	227.54	0		84.604200
34	64	1	0	15	19	0	9	3	7	227.54	0		84.604200
34	65	3	0	15	22	0	14	2	5	116.90	0		63.572415
32	59	1	0	15	19	7	9	3	7	227.54	0		84.604200
32	60	3	0	15	22	5	14	2	5	116.90	0		63.572415
26	48	1	0	15	19	14	9	3	7	227.54	0		84.604200
26	50	3	0	15	22	10	14	2	5	116.90	0		63.572415
26	49	2	0	14	12	7	6	6	7	216.36	1		7.545438
47	85	1	0	15	19	21	9	3	7	227.54	0		84.604200
47	86	3	0	15	22	15	14	2	5	116.90	0		63.572415
47	87	3	0	15	22	20	14	2	5	116.90	0		63.572415
74	146	1	0	18	6	0	9	3	7	227.54	0		84.604200
74	147	1	0	18	9	0	9	3	7	227.54	0		84.604200
74	148	1	0	18	6	7	9	3	7	227.54	0		84.604200
22	39	1	0	15	6	14	9	3	7	227.54	0		84.604200
22	40	2	0	12	6	21	6	6	7	216.36	1		7.545438
70	136	3	0	15	22	25	14	2	5	116.90	0		63.572415
70	137	3	0	20	12	0	14	2	5	116.90	0		63.572415
70	135	2	0	14	12	14	6	6	7	216.36	1		7.545438
10	17	3	0	20	14	0	14	2	5	116.90	0		63.572415
