Name:				104_Manual_n200_m300_bt10_4_522
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		82.72
Calculation_Time:		0.64
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			20
Customer_Sequence:		11 9 16 17 7 6 13 12 22 18 5 4 14 21 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	15	6	0	0	0	0	120	60	60	6.84	1		0.001000
21	26	5	0	0	60	0	105	60	60	14.27	0		0.011300
14	19	9	0	0	60	60	99	60	60	16.53	0		0.013900
4	4	1	0	0	120	0	60	43	60	1.06	0		0.002000
4	5	2	0	0	120	60	20	36	46	1.80	0		0.012500
5	7	5	0	0	60	120	105	60	60	14.27	0		0.011300
5	6	4	1	60	120	0	31	58	36	2.14	0		0.006000
18	23	5	0	105	60	0	105	60	60	14.27	0		0.011300
22	27	6	0	0	0	60	120	60	60	6.84	1		0.001000
12	17	7	0	105	60	60	62	60	60	15.18	0		0.020400
13	18	5	0	120	0	0	105	60	60	14.27	0		0.011300
6	8	1	0	105	60	120	60	43	60	1.06	0		0.002000
6	9	3	0	120	0	60	55	58	35	1.56	0		0.002500
7	11	7	0	120	0	95	62	60	60	15.18	0		0.020400
7	10	4	1	60	120	36	31	58	36	2.14	0		0.006000
17	22	3	0	120	0	155	55	58	35	1.56	0		0.002500
16	21	2	1	60	151	0	20	36	46	1.80	0		0.012500
9	13	5	1	210	60	0	105	60	60	14.27	0		0.011300
9	14	7	0	167	60	60	62	60	60	15.18	0		0.020400
11	16	1	0	165	60	120	60	43	60	1.06	0		0.002000


