Name:				52_Manual_n100_m300_bt10_2_803
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		88.70
Calculation_Time:		2.41
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			46
Customer_Sequence:		9 20 18 17 6 16 21 3 5 1 11 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	3	1	0	0	0	0	58	26	23	3.33	0		0.011000
2	4	1	0	0	26	0	58	26	23	3.33	0		0.011000
2	5	6	0	0	52	0	25	33	39	3.68	0		0.022300
2	7	9	0	0	85	0	22	23	35	4.60	0		0.045500
2	6	8	0	0	108	0	38	20	28	3.19	1		0.004200
11	31	7	0	0	128	0	23	36	51	1.93	0		0.011700
11	30	5	0	0	0	23	60	40	56	2.38	1		0.001000
11	32	8	0	0	108	28	38	20	28	3.19	1		0.004200
1	2	6	0	0	52	39	25	33	39	3.68	0		0.022300
1	1	5	0	0	0	79	60	40	56	2.38	1		0.001000
5	13	4	0	38	52	0	85	60	60	5.07	0		0.005000
5	12	3	0	23	128	0	36	41	60	1.50	0		0.005100
5	15	7	0	0	128	51	23	36	51	1.93	0		0.011700
5	14	5	0	38	52	60	60	40	56	2.38	1		0.001000
3	8	4	0	59	112	0	85	60	60	5.07	0		0.005000
3	9	6	0	0	128	102	25	33	39	3.68	0		0.022300
21	69	10	0	38	92	60	67	60	60	13.12	0		0.016300
21	67	7	0	60	0	0	23	36	51	1.93	0		0.011700
21	68	9	0	60	0	51	22	23	35	4.60	0		0.045500
16	47	10	0	38	92	120	67	60	60	13.12	0		0.016300
16	44	2	0	83	0	0	58	33	51	2.61	0		0.006800
16	45	2	0	82	0	51	58	33	51	2.61	0		0.006800
16	46	3	0	82	0	102	36	41	60	1.50	0		0.005100
6	18	4	0	123	52	0	85	60	60	5.07	0		0.005000
6	16	2	0	105	92	60	58	33	51	2.61	0		0.006800
6	17	2	0	105	92	111	58	33	51	2.61	0		0.006800
6	19	6	0	98	52	60	25	33	39	3.68	0		0.022300
6	20	9	0	98	52	99	22	23	35	4.60	0		0.045500
17	48	4	0	208	0	0	85	60	60	5.07	0		0.005000
17	49	7	0	105	125	60	23	36	51	1.93	0		0.011700
17	50	7	0	105	125	111	23	36	51	1.93	0		0.011700
18	54	4	0	208	60	0	85	60	60	5.07	0		0.005000
18	51	2	0	163	120	0	58	33	51	2.61	0		0.006800
18	52	2	0	163	120	51	58	33	51	2.61	0		0.006800
18	53	3	0	163	120	102	36	41	60	1.50	0		0.005100
18	55	7	0	199	120	102	23	36	51	1.93	0		0.011700
18	56	8	1	105	125	162	38	20	28	3.19	1		0.004200
20	62	4	0	208	0	60	85	60	60	5.07	0		0.005000
20	61	3	0	208	60	60	36	41	60	1.50	0		0.005100
20	64	7	1	208	0	120	23	36	51	1.93	0		0.011700
20	63	6	0	222	120	0	25	33	39	3.68	0		0.022300
20	66	9	0	199	120	153	22	23	35	4.60	0		0.045500
20	65	8	1	163	120	162	38	20	28	3.19	1		0.004200
9	25	4	0	208	23	120	85	60	60	5.07	0		0.005000
9	24	2	0	244	60	60	58	33	51	2.61	0		0.006800
9	26	9	0	222	120	39	22	23	35	4.60	0		0.045500


