Name:				16_Manual_n50_m200_bt100_1_191
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		25.83
Calculation_Time:		0.67
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			20
Customer_Sequence:		18 25 19 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	114	88	0	0	0	0	75	60	60	19.80	0		0.022000
29	113	44	0	0	60	0	43	43	32	4.48	0		0.012100
29	115	89	0	0	103	0	109	60	60	12.12	1		0.001900
19	71	64	0	75	0	0	107	60	60	2.31	0		0.001800
19	70	62	0	75	0	60	98	60	60	14.76	0		0.012600
19	72	79	0	0	60	32	56	31	49	3.91	0		0.011300
19	69	36	0	0	0	60	41	37	55	4.65	0		0.015300
19	73	91	1	0	60	81	30	45	53	1.89	0		0.007000
19	68	2	0	0	0	115	46	39	37	2.80	0		0.007800
25	97	20	0	75	0	120	96	60	60	11.45	0		0.009900
25	98	39	0	109	103	0	90	60	60	21.24	0		0.019700
25	100	88	0	109	103	60	75	60	60	19.80	0		0.022000
25	99	50	0	0	60	134	48	31	44	2.39	0		0.008000
25	101	95	0	182	0	0	115	60	60	3.71	1		0.000500
18	66	81	0	109	103	120	93	60	60	13.18	0		0.011800
18	64	37	0	199	103	0	72	60	60	3.21	0		0.003700
18	65	74	0	184	103	60	58	48	46	2.74	0		0.004900
18	63	16	1	56	60	0	20	55	59	3.38	0		0.015300
18	62	10	1	56	80	0	20	36	40	4.36	0		0.030200
18	67	95	0	173	0	60	115	60	60	3.71	1		0.000500


