Name:				16_Manual_n50_m200_bt100_1_789
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		20.41
Calculation_Time:		0.72
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			22
Customer_Sequence:		6 18 25 45 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
45	180	84	0	0	0	0	107	60	60	18.69	0		0.014600
45	178	45	0	0	60	0	68	60	60	12.13	0		0.014900
45	176	1	0	0	120	0	45	37	59	4.75	0		0.014300
45	179	79	0	0	120	59	56	31	49	3.91	0		0.011300
45	177	36	0	0	60	60	41	37	55	4.65	0		0.015300
25	97	20	0	0	0	60	96	60	60	11.45	0		0.009900
25	98	39	0	0	0	120	90	60	60	21.24	0		0.019700
25	100	88	0	68	60	0	75	60	60	19.80	0		0.022000
25	99	50	0	0	120	108	48	31	44	2.39	0		0.008000
25	101	95	0	41	60	60	115	60	60	3.71	1		0.000500
18	66	81	0	107	0	0	93	60	60	13.18	0		0.011800
18	64	37	0	96	0	60	72	60	60	3.21	0		0.003700
18	65	74	0	56	120	0	58	48	46	2.74	0		0.004900
18	63	16	1	56	120	46	20	55	59	3.38	0		0.015300
18	62	10	1	56	140	46	20	36	40	4.36	0		0.030200
18	67	95	0	41	60	120	115	60	60	3.71	1		0.000500
6	17	69	0	156	60	0	120	60	60	2.09	0		0.001500
6	15	39	0	90	0	120	90	60	60	21.24	0		0.019700
6	14	4	0	114	120	0	44	28	59	3.42	0		0.013900
6	18	73	0	56	140	86	22	25	28	4.36	0		0.039600
6	19	89	0	156	60	60	109	60	60	12.12	1		0.001900
6	16	51	0	158	120	0	36	51	24	1.06	1		0.000600


