Name:				99_Manual_n150_m400_bt100_4_518
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		35.69
Calculation_Time:		0.71
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			26
Customer_Sequence:		8 14 15 17 5 10 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	10	78	0	0	0	0	117	60	60	4.20	0		0.003000
4	9	63	0	0	60	0	53	53	59	3.48	0		0.006200
4	8	2	0	0	113	0	105	60	60	10.44	1		0.001700
10	26	20	0	105	60	0	60	60	60	19.79	0		0.027500
10	27	20	0	105	60	60	60	60	60	19.79	0		0.027500
10	29	63	0	0	60	59	53	53	59	3.48	0		0.006200
10	31	91	0	0	60	118	53	49	52	4.06	0		0.007800
10	28	60	0	53	60	0	40	39	26	4.74	0		0.015200
10	30	87	0	53	60	26	26	41	28	2.42	0		0.011300
5	13	90	0	0	0	60	114	60	60	2.36	0		0.001700
5	12	67	0	0	0	120	113	60	60	18.51	0		0.013700
5	11	12	0	105	120	0	54	24	34	2.72	0		0.010500
17	48	3	0	105	60	120	64	60	60	2.75	0		0.003600
17	49	23	0	105	144	0	42	29	49	2.58	0		0.010600
17	47	2	0	117	0	0	105	60	60	10.44	1		0.001700
15	42	58	1	222	0	0	96	60	60	2.26	0		0.002000
15	44	97	1	105	120	34	22	42	49	2.62	0		0.014200
15	43	72	0	105	144	49	34	29	32	3.65	0		0.018500
14	38	24	0	169	96	0	68	60	60	12.23	0		0.015000
14	40	82	0	169	96	60	58	56	35	1.42	0		0.002200
14	39	68	0	105	144	81	26	27	23	3.29	0		0.023400
14	41	96	1	105	120	83	20	26	22	2.19	0		0.021000
8	23	70	0	222	0	60	77	60	60	17.57	0		0.019000
8	20	3	0	169	96	95	64	60	60	2.75	0		0.003600
8	21	21	0	222	0	120	38	52	38	4.99	0		0.012600
8	22	34	1	222	60	60	25	49	39	2.14	0		0.008700


