Name:				44_Manual_n100_m200_bt10_4_587
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		42.20
Calculation_Time:		0.41
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			20
Customer_Sequence:		5 12 8 4 24 21 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	13	5	0	0	0	0	60	55	48	3.14	0		0.004800
7	12	1	0	0	55	0	43	37	28	4.88	0		0.015300
7	14	8	0	0	92	0	31	24	36	1.90	0		0.012800
21	43	4	0	31	92	0	109	60	60	10.53	0		0.008000
21	44	5	0	0	0	48	60	55	48	3.14	0		0.004800
24	49	6	0	31	92	60	114	60	60	18.95	0		0.013900
24	48	4	0	31	92	120	109	60	60	10.53	0		0.008000
4	5	3	0	0	55	28	50	33	50	4.19	0		0.012700
4	6	9	0	60	0	0	115	60	60	1.64	1		0.000200
8	17	10	0	175	0	0	97	60	60	10.23	0		0.008800
8	15	9	0	60	0	60	115	60	60	1.64	1		0.000200
8	16	9	0	60	0	120	115	60	60	1.64	1		0.000200
12	25	5	0	145	60	0	60	55	48	3.14	0		0.004800
12	24	1	0	145	115	0	43	37	28	4.88	0		0.015300
12	26	8	0	140	60	48	31	24	36	1.90	0		0.012800
12	27	9	0	175	0	60	115	60	60	1.64	1		0.000200
5	8	6	1	205	60	0	114	60	60	18.95	0		0.013900
5	7	3	0	145	115	28	50	33	50	4.19	0		0.012700
5	9	8	0	140	60	84	31	24	36	1.90	0		0.012800
5	10	9	0	175	0	120	115	60	60	1.64	1		0.000200


