Name:				48_Manual_n100_m200_bt100_3_977
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		52.83
Calculation_Time:		0.79
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			25
Customer_Sequence:		1 9 19 12 11 15 3 13 4 14 17 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	10	7	0	0	0	0	97	60	60	13.45	0		0.011600
7	11	81	0	0	60	0	51	37	44	3.36	0		0.008900
17	30	73	0	0	97	0	54	53	50	1.23	0		0.002200
17	33	99	0	0	150	0	35	21	46	3.17	0		0.021600
17	31	75	0	0	0	60	93	60	60	6.18	1		0.001100
17	32	76	1	0	60	44	34	48	45	4.72	1		0.002900
14	21	8	0	54	60	0	114	60	60	18.20	0		0.013300
14	22	68	0	0	97	50	35	58	32	2	0		0.004900
4	5	3	0	48	60	60	109	60	60	15.27	0		0.011700
13	20	85	0	54	120	0	38	37	47	4.42	0		0.015700
3	4	49	0	48	60	120	116	60	60	21.44	0		0.015400
3	3	37	0	54	120	47	42	29	53	2.64	0		0.010800
15	23	3	0	97	0	0	109	60	60	15.27	0		0.011700
15	26	70	1	96	120	0	37	58	42	3.75	0		0.008700
15	25	25	0	54	120	100	35	31	39	4.79	0		0.022100
15	24	10	0	96	120	42	28	29	52	2.77	1		0.003400
11	17	23	1	124	120	42	46	21	49	3.40	0		0.017600
12	18	7	0	93	0	60	97	60	60	13.45	0		0.011600
12	19	40	0	154	120	0	50	30	41	2.38	0		0.007900
19	36	9	0	93	0	120	95	60	60	12.85	0		0.011300
19	37	40	0	154	120	41	50	30	41	2.38	0		0.007900
19	38	72	1	145	120	82	27	56	24	4.48	0		0.014800
9	14	19	0	168	60	0	111	60	60	12.54	0		0.009400
9	15	34	0	145	120	106	29	27	30	3.12	0		0.019900
1	1	38	0	168	60	60	102	60	60	9.59	0		0.007800


