Name:				104_Manual_n200_m300_bt10_4_588
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		96.51
Calculation_Time:		0.61
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			20
Customer_Sequence:		14 5 21 19 6 18 12 20 13 9 7 15 22 10 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	4	1	0	0	0	0	60	43	60	1.06	0		0.002000
4	5	2	0	0	43	0	20	36	46	1.80	0		0.012500
10	15	6	0	0	79	0	120	60	60	6.84	1		0.001000
22	27	6	0	0	79	60	120	60	60	6.84	1		0.001000
15	20	1	0	0	0	60	60	43	60	1.06	0		0.002000
7	11	7	0	60	0	0	62	60	60	15.18	0		0.020400
7	10	4	1	0	139	0	31	58	36	2.14	0		0.006000
9	13	5	0	120	79	0	105	60	60	14.27	0		0.011300
9	14	7	0	60	0	60	62	60	60	15.18	0		0.020400
13	18	5	0	0	0	120	105	60	60	14.27	0		0.011300
20	25	7	0	120	79	60	62	60	60	15.18	0		0.020400
12	17	7	0	120	79	120	62	60	60	15.18	0		0.020400
18	23	5	0	122	0	0	105	60	60	14.27	0		0.011300
6	8	1	0	122	0	60	60	43	60	1.06	0		0.002000
6	9	3	1	122	0	120	55	58	35	1.56	0		0.002500
19	24	8	0	0	139	36	23	34	32	4.86	0		0.031100
21	26	5	1	227	0	0	105	60	60	14.27	0		0.011300
5	7	5	0	182	0	60	105	60	60	14.27	0		0.011300
5	6	4	1	58	139	0	31	58	36	2.14	0		0.006000
14	19	9	0	180	0	120	99	60	60	16.53	0		0.013900


