Name:				036_n020_m200_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	3
Total_Travel_Distance:		437.86
Calculation_Time:		3600.0
Total_Iterations:		168
ConstraintSet:			P20

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			81
Customer_Sequence:		10 14 12 11 4 13 1 9 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
9	81	1	0	0	0	13	8	4	5	23.63	0		2.541216
11	104	2	0	7	17	5	7	4	7	35.10	0		9.951351
11	105	2	0	17	21	6	7	4	7	35.10	0		9.951351
14	140	10	0	7	21	27	10	3	3	30.49	1		3.235774
12	112	1	0	7	17	12	8	4	5	23.63	0		2.541216
11	102	1	0	15	7	25	8	4	5	23.63	0		2.541216
10	96	7	0	19	14	6	15	7	6	295.58	0		16.853969
12	117	8	0	40	0	0	17	7	6	98.47	0		5.579247
12	116	6	0	17	21	13	7	3	8	42.97	0		5.839145
4	32	4	0	23	21	0	16	4	6	63.39	1		3.398677
13	126	6	0	0	21	14	7	3	8	42.97	0		5.839145
12	111	1	0	24	21	6	8	4	5	23.63	0		2.541216
12	118	8	0	33	0	6	17	7	6	98.47	0		5.579247
10	95	5	0	19	14	12	12	2	8	26.54	0		2.819692
12	109	1	0	24	21	11	8	4	5	23.63	0		2.541216
14	139	10	0	7	17	17	10	3	3	30.49	1		3.235774
14	137	9	0	32	7	13	10	7	7	97.78	0		19.032427
4	37	10	0	0	0	18	10	3	3	30.49	1		3.235774
4	31	3	0	17	0	16	6	6	8	51.58	0		11.203636
12	120	10	0	15	11	25	10	3	3	30.49	1		3.235774
14	136	8	0	33	0	12	17	7	6	98.47	0		5.579247
12	119	9	0	49	7	0	10	7	7	97.78	0		19.032427
12	108	1	0	24	21	16	8	4	5	23.63	0		2.541216
14	138	9	0	32	7	20	10	7	7	97.78	0		19.032427
14	132	3	0	25	7	18	6	6	8	51.58	0		11.203636
14	133	3	0	33	0	18	6	6	8	51.58	0		11.203636
12	115	4	0	17	21	21	16	4	6	63.39	1		3.398677
12	110	1	0	32	21	6	8	4	5	23.63	0		2.541216
9	83	2	0	7	0	6	7	4	7	35.10	0		9.951351
14	141	10	0	7	17	20	10	3	3	30.49	1		3.235774
11	106	4	0	39	21	0	16	4	6	63.39	1		3.398677
10	97	7	0	34	14	0	15	7	6	295.58	0		16.853969
10	92	2	0	7	17	23	7	4	7	35.10	0		9.951351
10	93	2	0	19	16	12	7	4	7	35.10	0		9.951351
12	114	2	0	32	21	11	7	4	7	35.10	0		9.951351
10	91	1	0	19	16	19	8	4	5	23.63	0		2.541216
10	94	4	0	34	14	6	16	4	6	63.39	1		3.398677
10	98	10	0	17	21	27	10	3	3	30.49	1		3.235774
10	99	10	0	19	16	24	10	3	3	30.49	1		3.235774


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			2
No_of_Customers:		8
No_of_Items:			78
Customer_Sequence:		18 16 7 19 17 15 20 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	26	7	0	0	0	0	15	7	6	295.58	0		16.853969
3	22	3	0	0	7	0	6	6	8	51.58	0		11.203636
3	21	2	0	0	13	0	7	4	7	35.10	0		9.951351
3	24	6	0	0	17	0	7	3	8	42.97	0		5.839145
3	25	6	0	0	20	0	7	3	8	42.97	0		5.839145
3	20	1	0	0	0	6	8	4	5	23.63	0		2.541216
3	23	4	1	0	7	8	16	4	6	63.39	1		3.398677
3	27	10	0	0	4	6	10	3	3	30.49	1		3.235774
3	28	10	0	0	4	9	10	3	3	30.49	1		3.235774
20	197	7	0	7	13	0	15	7	6	295.58	0		16.853969
20	198	7	0	7	13	6	15	7	6	295.58	0		16.853969
20	199	9	0	7	13	12	10	7	7	97.78	0		19.032427
20	193	2	0	0	0	11	7	4	7	35.10	0		9.951351
20	194	2	1	0	7	14	7	4	7	35.10	0		9.951351
20	195	2	1	0	14	14	7	4	7	35.10	0		9.951351
20	196	6	0	0	4	12	7	3	8	42.97	0		5.839145
20	190	1	0	0	0	18	8	4	5	23.63	0		2.541216
20	191	1	1	0	7	21	8	4	5	23.63	0		2.541216
20	192	1	1	0	15	21	8	4	5	23.63	0		2.541216
20	200	10	0	0	0	23	10	3	3	30.49	1		3.235774
15	150	9	0	7	13	19	10	7	7	97.78	0		19.032427
15	151	9	0	15	0	0	10	7	7	97.78	0		19.032427
15	143	3	0	6	7	0	6	6	8	51.58	0		11.203636
15	145	5	0	0	23	0	12	2	8	26.54	0		2.819692
15	146	5	0	0	23	8	12	2	8	26.54	0		2.819692
15	147	5	0	0	23	16	12	2	8	26.54	0		2.819692
15	148	6	0	0	4	20	7	3	8	42.97	0		5.839145
15	149	6	0	4	7	8	7	3	8	42.97	0		5.839145
15	142	1	0	12	7	0	8	4	5	23.63	0		2.541216
15	144	4	0	20	7	0	16	4	6	63.39	1		3.398677
15	152	10	0	0	0	26	10	3	3	30.49	1		3.235774
15	153	10	1	0	7	26	10	3	3	30.49	1		3.235774
15	154	10	0	4	10	8	10	3	3	30.49	1		3.235774
17	167	7	0	22	13	0	15	7	6	295.58	0		16.853969
17	168	7	0	22	13	6	15	7	6	295.58	0		16.853969
17	165	5	0	4	10	11	12	2	8	26.54	0		2.819692
17	166	5	0	4	10	19	12	2	8	26.54	0		2.819692
17	162	4	0	17	13	12	16	4	6	63.39	1		3.398677
17	163	4	0	17	17	12	16	4	6	63.39	1		3.398677
17	164	4	0	17	13	18	16	4	6	63.39	1		3.398677
17	169	10	0	7	20	0	10	3	3	30.49	1		3.235774
19	186	8	0	25	0	0	17	7	6	98.47	0		5.579247
19	187	8	0	25	0	6	17	7	6	98.47	0		5.579247
19	188	8	0	25	0	12	17	7	6	98.47	0		5.579247
19	182	3	0	15	0	7	6	6	8	51.58	0		11.203636
19	183	3	0	15	0	15	6	6	8	51.58	0		11.203636
19	185	6	0	4	7	16	7	3	8	42.97	0		5.839145
19	180	1	0	15	0	23	8	4	5	23.63	0		2.541216
19	181	1	0	17	17	18	8	4	5	23.63	0		2.541216
19	184	4	0	17	13	24	16	4	6	63.39	1		3.398677
19	189	10	0	7	20	3	10	3	3	30.49	1		3.235774
7	70	7	0	25	0	18	15	7	6	295.58	0		16.853969
7	71	7	0	25	0	24	15	7	6	295.58	0		16.853969
7	66	3	0	36	7	0	6	6	8	51.58	0		11.203636
7	67	3	0	36	7	8	6	6	8	51.58	0		11.203636
7	65	2	0	17	17	23	7	4	7	35.10	0		9.951351
7	68	5	0	12	23	0	12	2	8	26.54	0		2.819692
7	69	6	0	20	7	6	7	3	8	42.97	0		5.839145
7	64	1	0	25	17	18	8	4	5	23.63	0		2.541216
7	72	10	0	7	20	6	10	3	3	30.49	1		3.235774
7	73	10	0	7	20	9	10	3	3	30.49	1		3.235774
16	160	7	0	37	13	0	15	7	6	295.58	0		16.853969
16	156	3	0	36	7	16	6	6	8	51.58	0		11.203636
16	158	5	0	12	23	8	12	2	8	26.54	0		2.819692
16	159	6	1	33	13	12	7	3	8	42.97	0		5.839145
16	155	1	0	24	17	23	8	4	5	23.63	0		2.541216
16	157	4	0	37	20	0	16	4	6	63.39	1		3.398677
16	161	10	0	37	13	6	10	3	3	30.49	1		3.235774
18	177	8	0	37	16	6	17	7	6	98.47	0		5.579247
18	176	7	0	37	16	12	15	7	6	295.58	0		16.853969
18	178	9	0	37	16	18	10	7	7	97.78	0		19.032427
18	170	2	1	33	13	20	7	4	7	35.10	0		9.951351
18	171	2	0	42	0	0	7	4	7	35.10	0		9.951351
18	172	5	0	12	23	16	12	2	8	26.54	0		2.819692
18	173	5	0	37	13	9	12	2	8	26.54	0		2.819692
18	174	5	0	37	13	17	12	2	8	26.54	0		2.819692
18	175	6	0	42	4	0	7	3	8	42.97	0		5.839145
18	179	10	1	37	13	25	10	3	3	30.49	1		3.235774


-------------------------------------------------------------------------------------------------------------------
Tour_Id:			3
No_of_Customers:		4
No_of_Items:			41
Customer_Sequence:		2 8 6 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	45	8	0	0	0	0	17	7	6	98.47	0		5.579247
5	46	8	0	0	7	0	17	7	6	98.47	0		5.579247
5	42	7	0	0	14	0	15	7	6	295.58	0		16.853969
5	43	7	0	0	0	6	15	7	6	295.58	0		16.853969
5	44	7	0	0	7	6	15	7	6	295.58	0		16.853969
5	47	9	0	0	14	6	10	7	7	97.78	0		19.032427
5	40	3	0	0	0	12	6	6	8	51.58	0		11.203636
5	38	2	0	0	21	0	7	4	7	35.10	0		9.951351
5	39	2	0	0	21	7	7	4	7	35.10	0		9.951351
5	41	5	0	0	6	12	12	2	8	26.54	0		2.819692
5	48	10	0	0	8	12	10	3	3	30.49	1		3.235774
6	58	8	0	15	14	0	17	7	6	98.47	0		5.579247
6	59	8	0	10	14	6	17	7	6	98.47	0		5.579247
6	60	8	0	10	14	12	17	7	6	98.47	0		5.579247
6	61	9	0	0	14	13	10	7	7	97.78	0		19.032427
6	53	3	0	0	0	20	6	6	8	51.58	0		11.203636
6	54	3	0	0	14	20	6	6	8	51.58	0		11.203636
6	55	3	0	6	0	12	6	6	8	51.58	0		11.203636
6	50	2	0	0	21	14	7	4	7	35.10	0		9.951351
6	51	2	0	0	8	15	7	4	7	35.10	0		9.951351
6	52	2	0	0	21	21	7	4	7	35.10	0		9.951351
6	57	5	0	0	6	20	12	2	8	26.54	0		2.819692
6	49	1	0	0	8	22	8	4	5	23.63	0		2.541216
6	56	4	0	7	21	0	16	4	6	63.39	1		3.398677
6	62	10	0	0	11	12	10	3	3	30.49	1		3.235774
6	63	10	0	0	8	27	10	3	3	30.49	1		3.235774
8	79	8	0	10	14	18	17	7	6	98.47	0		5.579247
8	75	3	0	6	0	20	6	6	8	51.58	0		11.203636
8	77	5	0	0	12	15	12	2	8	26.54	0		2.819692
8	78	6	1	6	14	20	7	3	8	42.97	0		5.839145
8	74	1	0	7	21	6	8	4	5	23.63	0		2.541216
8	76	4	0	10	14	24	16	4	6	63.39	1		3.398677
8	80	10	0	7	21	11	10	3	3	30.49	1		3.235774
2	19	8	0	17	0	0	17	7	6	98.47	0		5.579247
2	17	7	0	15	0	6	15	7	6	295.58	0		16.853969
2	18	7	0	12	0	12	15	7	6	295.58	0		16.853969
2	14	3	0	12	0	18	6	6	8	51.58	0		11.203636
2	12	2	0	7	21	14	7	4	7	35.10	0		9.951351
2	13	2	0	7	21	21	7	4	7	35.10	0		9.951351
2	16	6	1	12	7	12	7	3	8	42.97	0		5.839145
2	15	4	0	17	7	0	16	4	6	63.39	1		3.398677


