Name:				41_Manual_n100_m200_bt10_1_1491
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		68.38
Calculation_Time:		0.96
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			30
Customer_Sequence:		19 6 10 8 18 13 5 4 9 16 17 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	14	7	0	0	0	0	89	60	60	17.52	0		0.016400
7	15	7	0	0	60	0	89	60	60	17.52	0		0.016400
7	16	9	0	0	0	60	81	60	60	6.91	0		0.007100
7	13	1	0	0	120	0	41	51	54	1.70	0		0.004100
17	35	7	0	0	60	60	89	60	60	17.52	0		0.016400
17	34	1	0	0	120	54	41	51	54	1.70	0		0.004100
17	36	10	0	0	120	108	54	23	48	3.17	0		0.012800
16	32	4	0	0	0	120	107	60	60	8.21	0		0.006400
16	33	7	0	0	60	120	89	60	60	17.52	0		0.016400
9	20	7	0	89	60	0	89	60	60	17.52	0		0.016400
9	21	10	0	0	143	108	54	23	48	3.17	0		0.012800
9	22	10	0	54	120	0	54	23	48	3.17	0		0.012800
9	19	3	0	54	143	0	28	25	57	1.57	0		0.011200
4	8	8	0	89	60	60	60	60	60	20.52	0		0.028500
4	9	8	0	89	60	120	60	60	60	20.52	0		0.028500
4	7	5	1	0	143	156	28	53	24	3.16	0		0.010600
5	10	1	0	107	0	0	41	51	54	1.70	0		0.004100
13	27	9	0	148	0	0	81	60	60	6.91	0		0.007100
18	40	8	0	148	0	60	60	60	60	20.52	0		0.028500
18	37	1	0	108	120	0	41	51	54	1.70	0		0.004100
18	39	6	1	148	0	120	30	60	43	3.96	0		0.011000
18	38	3	0	54	143	57	28	25	57	1.57	0		0.011200
8	17	1	0	108	120	54	41	51	54	1.70	0		0.004100
8	18	3	0	108	120	108	28	25	57	1.57	0		0.011200
10	23	1	0	149	120	0	41	51	54	1.70	0		0.004100
10	24	3	0	108	145	108	28	25	57	1.57	0		0.011200
6	12	9	0	178	60	0	81	60	60	6.91	0		0.007100
6	11	8	0	149	60	60	60	60	60	20.52	0		0.028500
19	42	7	1	149	30	120	89	60	60	17.52	0		0.016400
19	41	6	1	190	120	0	30	60	43	3.96	0		0.011000


