Name:				41_Manual_n100_m200_bt10_1_1061
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		64.65
Calculation_Time:		1.08
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			30
Customer_Sequence:		6 19 18 16 7 9 11 4 14 10 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	35	7	0	0	0	0	89	60	60	17.52	0		0.016400
17	34	1	0	0	60	0	41	51	54	1.70	0		0.004100
17	36	10	0	0	111	0	54	23	48	3.17	0		0.012800
10	23	1	0	0	60	54	41	51	54	1.70	0		0.004100
10	24	3	0	0	134	0	28	25	57	1.57	0		0.011200
14	30	4	0	0	0	60	107	60	60	8.21	0		0.006400
14	29	3	0	0	134	57	28	25	57	1.57	0		0.011200
14	28	2	0	0	60	108	35	49	26	2.74	1		0.001600
4	8	8	0	0	0	120	60	60	60	20.52	0		0.028500
4	9	8	0	54	60	0	60	60	60	20.52	0		0.028500
4	7	5	1	28	134	0	28	53	24	3.16	0		0.010600
11	25	1	0	54	60	60	41	51	54	1.70	0		0.004100
9	20	7	0	107	0	0	89	60	60	17.52	0		0.016400
9	21	10	0	28	134	24	54	23	48	3.17	0		0.012800
9	22	10	0	28	134	72	54	23	48	3.17	0		0.012800
9	19	3	0	28	134	120	28	25	57	1.57	0		0.011200
7	14	7	0	107	0	60	89	60	60	17.52	0		0.016400
7	15	7	0	60	0	120	89	60	60	17.52	0		0.016400
7	16	9	0	114	60	0	81	60	60	6.91	0		0.007100
7	13	1	0	54	60	114	41	51	54	1.70	0		0.004100
16	32	4	0	95	60	60	107	60	60	8.21	0		0.006400
16	33	7	0	95	60	120	89	60	60	17.52	0		0.016400
18	40	8	0	149	0	120	60	60	60	20.52	0		0.028500
18	37	1	0	82	120	0	41	51	54	1.70	0		0.004100
18	39	6	1	123	120	0	30	60	43	3.96	0		0.011000
18	38	3	0	56	134	120	28	25	57	1.57	0		0.011200
19	42	7	0	209	0	0	89	60	60	17.52	0		0.016400
19	41	6	1	123	120	43	30	60	43	3.96	0		0.011000
6	12	9	0	202	60	0	81	60	60	6.91	0		0.007100
6	11	8	0	202	60	60	60	60	60	20.52	0		0.028500


