Name:				41_Manual_n100_m200_bt10_1_1288
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		67.12
Calculation_Time:		1.14
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			28
Customer_Sequence:		3 12 9 7 19 5 4 14 11 6 16 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	35	7	0	0	0	0	89	60	60	17.52	0		0.016400
17	34	1	0	0	60	0	41	51	54	1.70	0		0.004100
17	36	10	0	0	111	0	54	23	48	3.17	0		0.012800
16	32	4	0	0	0	60	107	60	60	8.21	0		0.006400
16	33	7	0	0	0	120	89	60	60	17.52	0		0.016400
6	12	9	0	54	60	0	81	60	60	6.91	0		0.007100
6	11	8	0	54	60	60	60	60	60	20.52	0		0.028500
11	25	1	0	54	120	0	41	51	54	1.70	0		0.004100
14	30	4	0	107	0	0	107	60	60	8.21	0		0.006400
14	29	3	0	54	120	54	28	25	57	1.57	0		0.011200
14	28	2	0	54	60	120	35	49	26	2.74	1		0.001600
4	8	8	0	107	0	60	60	60	60	20.52	0		0.028500
4	9	8	0	107	0	120	60	60	60	20.52	0		0.028500
4	7	5	0	89	60	120	28	53	24	3.16	0		0.010600
5	10	1	0	95	120	0	41	51	54	1.70	0		0.004100
19	42	7	0	135	60	0	89	60	60	17.52	0		0.016400
19	41	6	1	82	120	54	30	60	43	3.96	0		0.011000
7	14	7	0	117	60	60	89	60	60	17.52	0		0.016400
7	15	7	0	117	60	120	89	60	60	17.52	0		0.016400
7	16	9	0	214	0	0	81	60	60	6.91	0		0.007100
7	13	1	0	142	120	0	41	51	54	1.70	0		0.004100
9	20	7	0	167	0	60	89	60	60	17.52	0		0.016400
9	21	10	0	82	150	54	54	23	48	3.17	0		0.012800
9	22	10	0	82	120	97	54	23	48	3.17	0		0.012800
9	19	3	0	142	120	54	28	25	57	1.57	0		0.011200
12	26	9	0	167	0	120	81	60	60	6.91	0		0.007100
3	6	10	0	82	150	102	54	23	48	3.17	0		0.012800
3	5	2	0	183	120	0	35	49	26	2.74	1		0.001600


