Name:				41_Manual_n100_m200_bt10_1_1384
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		72.90
Calculation_Time:		0.97
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			30
Customer_Sequence:		14 18 7 3 5 4 12 16 6 8 9 19 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
19	42	7	0	0	0	0	89	60	60	17.52	0		0.016400
19	41	6	0	0	60	0	30	60	43	3.96	0		0.011000
9	20	7	0	0	0	60	89	60	60	17.52	0		0.016400
9	21	10	0	0	120	0	54	23	48	3.17	0		0.012800
9	22	10	0	0	143	0	54	23	48	3.17	0		0.012800
9	19	3	0	0	60	43	28	25	57	1.57	0		0.011200
8	17	1	0	0	120	48	41	51	54	1.70	0		0.004100
8	18	3	0	0	85	43	28	25	57	1.57	0		0.011200
6	12	9	0	0	0	120	81	60	60	6.91	0		0.007100
6	11	8	0	30	60	0	60	60	60	20.52	0		0.028500
16	32	4	0	89	0	0	107	60	60	8.21	0		0.006400
16	33	7	0	89	0	60	89	60	60	17.52	0		0.016400
12	26	9	0	81	0	120	81	60	60	6.91	0		0.007100
4	8	8	0	28	60	60	60	60	60	20.52	0		0.028500
4	9	8	0	28	60	120	60	60	60	20.52	0		0.028500
4	7	5	0	0	120	102	28	53	24	3.16	0		0.010600
5	10	1	0	54	120	0	41	51	54	1.70	0		0.004100
3	6	10	0	41	120	54	54	23	48	3.17	0		0.012800
3	5	2	0	90	60	0	35	49	26	2.74	1		0.001600
7	14	7	0	125	60	0	89	60	60	17.52	0		0.016400
7	15	7	0	125	60	60	89	60	60	17.52	0		0.016400
7	16	9	0	125	60	120	81	60	60	6.91	0		0.007100
7	13	1	0	95	120	0	41	51	54	1.70	0		0.004100
18	40	8	0	196	0	0	60	60	60	20.52	0		0.028500
18	37	1	0	95	120	54	41	51	54	1.70	0		0.004100
18	39	6	1	28	120	102	30	60	43	3.96	0		0.011000
18	38	3	0	95	120	108	28	25	57	1.57	0		0.011200
14	30	4	1	214	60	0	107	60	60	8.21	0		0.006400
14	29	3	0	88	145	108	28	25	57	1.57	0		0.011200
14	28	2	0	136	120	0	35	49	26	2.74	1		0.001600


