Name:				21_Manual_n50_m300_bt10_1_1211
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		59.20
Calculation_Time:		4.41
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			62
Customer_Sequence:		10 9 7 16 13 12 5 3 14 22 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	5	3	0	0	0	0	55	48	55	3.29	0		0.006200
2	7	6	0	0	48	0	48	41	57	1.32	0		0.003400
2	6	5	0	0	89	0	31	45	52	4.08	0		0.014600
2	8	7	0	0	134	0	37	31	25	2.68	0		0.011700
2	9	7	0	0	134	25	37	31	25	2.68	0		0.011700
22	105	3	0	0	0	55	55	48	55	3.29	0		0.006200
22	106	6	0	0	48	57	48	41	57	1.32	0		0.003400
22	107	6	0	0	0	110	48	41	57	1.32	0		0.003400
22	109	8	0	0	48	114	49	47	31	4.57	0		0.009900
22	108	7	0	0	134	50	37	31	25	2.68	0		0.011700
22	110	9	0	31	89	0	60	45	51	2.94	1		0.001100
22	111	9	0	31	89	51	60	45	51	2.94	1		0.001100
22	112	9	0	55	0	0	60	45	51	2.94	1		0.001100
22	113	9	0	55	0	51	60	45	51	2.94	1		0.001100
14	64	6	0	49	48	0	48	41	57	1.32	0		0.003400
14	62	2	0	0	48	145	51	22	27	1.66	0		0.007400
14	63	2	0	0	70	145	51	22	27	1.66	0		0.007400
14	65	7	0	0	134	75	37	31	25	2.68	0		0.011700
14	66	9	0	55	0	102	60	45	51	2.94	1		0.001100
14	67	9	0	91	89	0	60	45	51	2.94	1		0.001100
3	10	1	0	37	134	0	57	31	42	2.45	0		0.006900
3	14	10	1	0	134	100	40	30	57	2.99	0		0.012500
3	11	2	0	37	134	42	51	22	27	1.66	0		0.007400
3	12	2	0	37	134	69	51	22	27	1.66	0		0.007400
3	13	2	0	37	134	96	51	22	27	1.66	0		0.007400
5	19	1	0	51	48	57	57	31	42	2.45	0		0.006900
5	20	9	0	91	89	51	60	45	51	2.94	1		0.001100
5	21	9	0	91	89	102	60	45	51	2.94	1		0.001100
12	49	3	0	115	0	0	55	48	55	3.29	0		0.006200
12	47	1	0	51	48	99	57	31	42	2.45	0		0.006900
12	48	1	0	51	48	141	57	31	42	2.45	0		0.006900
12	52	8	0	115	0	55	49	47	31	4.57	0		0.009900
12	53	8	0	115	0	86	49	47	31	4.57	0		0.009900
12	54	10	0	94	134	0	40	30	57	2.99	0		0.012500
12	50	4	1	37	134	123	20	39	51	4.16	0		0.026600
12	51	7	0	88	134	57	37	31	25	2.68	0		0.011700
13	57	8	0	115	0	117	49	47	31	4.57	0		0.009900
13	58	8	0	115	0	148	49	47	31	4.57	0		0.009900
13	59	8	0	151	89	0	49	47	31	4.57	0		0.009900
13	60	8	0	151	89	31	49	47	31	4.57	0		0.009900
13	55	4	0	88	134	82	20	39	51	4.16	0		0.026600
13	56	7	0	108	48	0	37	31	25	2.68	0		0.011700
13	61	9	0	151	89	62	60	45	51	2.94	1		0.001100
16	72	3	0	170	0	0	55	48	55	3.29	0		0.006200
16	73	6	0	145	48	0	48	41	57	1.32	0		0.003400
16	74	6	0	145	48	57	48	41	57	1.32	0		0.003400
16	77	10	1	108	48	25	40	30	57	2.99	0		0.012500
16	71	2	0	134	136	0	51	22	27	1.66	0		0.007400
16	75	7	0	108	47	82	37	31	25	2.68	0		0.011700
16	76	9	0	151	89	113	60	45	51	2.94	1		0.001100
7	26	6	0	145	48	114	48	41	57	1.32	0		0.003400
7	25	5	0	164	0	55	31	45	52	4.08	0		0.014600
7	28	10	0	164	0	107	40	30	57	2.99	0		0.012500
7	27	9	0	211	48	0	60	45	51	2.94	1		0.001100
9	36	3	0	211	93	0	55	48	55	3.29	0		0.006200
9	37	6	0	211	93	55	48	41	57	1.32	0		0.003400
9	38	8	0	211	93	112	49	47	31	4.57	0		0.009900
9	35	2	0	134	136	27	51	22	27	1.66	0		0.007400
10	39	3	0	225	0	0	55	48	55	3.29	0		0.006200
10	42	8	0	204	0	55	49	47	31	4.57	0		0.009900
10	40	7	0	164	0	164	37	31	25	2.68	0		0.011700
10	41	7	0	185	141	0	37	31	25	2.68	0		0.011700


