Name:				21_Manual_n50_m300_bt10_1_1450
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		71.89
Calculation_Time:		7.41
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			62
Customer_Sequence:		14 7 16 6 12 8 15 3 4 22 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	57	8	0	0	0	0	49	47	31	4.57	0		0.009900
13	58	8	0	0	47	0	49	47	31	4.57	0		0.009900
13	59	8	0	0	94	0	49	47	31	4.57	0		0.009900
13	60	8	0	0	0	31	49	47	31	4.57	0		0.009900
13	55	4	1	0	141	0	20	39	51	4.16	0		0.026600
13	56	7	0	0	47	31	37	31	25	2.68	0		0.011700
13	61	9	0	0	78	31	60	45	51	2.94	1		0.001100
22	105	3	0	0	0	62	55	48	55	3.29	0		0.006200
22	106	6	0	0	0	117	48	41	57	1.32	0		0.003400
22	107	6	0	49	0	0	48	41	57	1.32	0		0.003400
22	109	8	0	97	0	0	49	47	31	4.57	0		0.009900
22	108	7	0	39	141	0	37	31	25	2.68	0		0.011700
22	110	9	0	0	78	82	60	45	51	2.94	1		0.001100
22	111	9	0	0	78	133	60	45	51	2.94	1		0.001100
22	112	9	0	60	47	0	60	45	51	2.94	1		0.001100
22	113	9	0	60	92	0	60	45	51	2.94	1		0.001100
4	16	3	0	120	47	0	55	48	55	3.29	0		0.006200
4	15	1	0	76	141	0	57	31	42	2.45	0		0.006900
4	17	8	0	97	0	31	49	47	31	4.57	0		0.009900
4	18	8	0	97	0	62	49	47	31	4.57	0		0.009900
3	10	1	0	76	141	42	57	31	42	2.45	0		0.006900
3	14	10	0	76	141	84	40	30	57	2.99	0		0.012500
3	11	2	0	76	141	141	51	22	27	1.66	0		0.007400
3	12	2	0	97	0	93	51	22	27	1.66	0		0.007400
3	13	2	0	97	22	93	51	22	27	1.66	0		0.007400
15	69	6	0	97	0	120	48	41	57	1.32	0		0.003400
15	68	2	0	120	95	0	51	22	27	1.66	0		0.007400
15	70	9	0	120	47	55	60	45	51	2.94	1		0.001100
8	30	8	0	148	0	0	49	47	31	4.57	0		0.009900
8	31	8	0	148	0	31	49	47	31	4.57	0		0.009900
8	33	10	0	133	141	0	40	30	57	2.99	0		0.012500
8	34	10	0	133	141	57	40	30	57	2.99	0		0.012500
8	29	4	1	120	95	27	20	39	51	4.16	0		0.026600
8	32	9	0	120	47	106	60	45	51	2.94	1		0.001100
12	49	3	0	173	95	0	55	48	55	3.29	0		0.006200
12	47	1	0	148	0	62	57	31	42	2.45	0		0.006900
12	48	1	0	148	0	104	57	31	42	2.45	0		0.006900
12	52	8	0	173	92	55	49	47	31	4.57	0		0.009900
12	53	8	0	173	92	86	49	47	31	4.57	0		0.009900
12	54	10	0	133	141	114	40	30	57	2.99	0		0.012500
12	50	4	1	120	95	78	20	39	51	4.16	0		0.026600
12	51	7	0	145	0	146	37	31	25	2.68	0		0.011700
6	23	6	0	173	92	117	48	41	57	1.32	0		0.003400
6	22	1	0	173	143	0	57	31	42	2.45	0		0.006900
6	24	8	0	205	0	0	49	47	31	4.57	0		0.009900
16	72	3	0	205	0	31	55	48	55	3.29	0		0.006200
16	73	6	0	180	48	0	48	41	57	1.32	0		0.003400
16	74	6	0	180	48	57	48	41	57	1.32	0		0.003400
16	77	10	0	173	143	42	40	30	57	2.99	0		0.012500
16	71	2	0	173	143	99	51	22	27	1.66	0		0.007400
16	75	7	0	180	48	114	37	31	25	2.68	0		0.011700
16	76	9	0	205	0	86	60	45	51	2.94	1		0.001100
7	26	6	0	228	48	0	48	41	57	1.32	0		0.003400
7	25	5	0	228	89	0	31	45	52	4.08	0		0.014600
7	28	10	0	228	89	52	40	30	57	2.99	0		0.012500
7	27	9	0	205	0	137	60	45	51	2.94	1		0.001100
14	64	6	0	228	48	57	48	41	57	1.32	0		0.003400
14	62	2	0	173	143	126	51	22	27	1.66	0		0.007400
14	63	2	0	173	143	153	51	22	27	1.66	0		0.007400
14	65	7	0	217	45	114	37	31	25	2.68	0		0.011700
14	66	9	1	268	89	0	60	45	51	2.94	1		0.001100
14	67	9	1	268	89	51	60	45	51	2.94	1		0.001100


