Name:				107_n060_m200_bt3_8946
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		682.11
Calculation_Time:		6.17
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		19
No_of_Items:			71
Customer_Sequence:		7 19 1 6 8 9 11 21 22 4 18 20 14 2 12 5 13 3 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	51	1	0	0	0	0	7	4	7	120.97	0		8.734892
16	52	1	0	0	4	0	7	4	7	120.97	0		8.734892
16	53	1	0	0	8	0	7	4	7	120.97	0		8.734892
16	54	1	0	0	12	0	7	4	7	120.97	0		8.734892
3	6	1	0	0	16	0	7	4	7	120.97	0		8.734892
3	7	2	0	0	20	0	7	4	6	155.18	1		14.332039
3	8	2	0	0	0	7	7	4	6	155.18	1		14.332039
13	44	3	1	0	4	7	11	3	6	99.33	0		16.091050
13	42	1	0	0	15	7	7	4	7	120.97	0		8.734892
13	43	2	0	0	20	6	7	4	6	155.18	1		14.332039
5	16	3	1	0	4	13	11	3	6	99.33	0		16.091050
5	13	1	0	0	15	14	7	4	7	120.97	0		8.734892
5	14	1	1	0	4	19	7	4	7	120.97	0		8.734892
5	15	1	0	0	15	21	7	4	7	120.97	0		8.734892
12	41	3	1	4	4	7	11	3	6	99.33	0		16.091050
12	39	1	1	4	4	13	7	4	7	120.97	0		8.734892
12	40	2	0	0	19	12	7	4	6	155.18	1		14.332039
2	3	1	1	4	4	20	7	4	7	120.97	0		8.734892
2	4	2	0	0	0	13	7	4	6	155.18	1		14.332039
2	5	2	0	0	19	18	7	4	6	155.18	1		14.332039
14	47	3	0	7	0	0	11	3	6	99.33	0		16.091050
14	48	3	0	7	11	0	11	3	6	99.33	0		16.091050
14	45	1	0	7	14	0	7	4	7	120.97	0		8.734892
14	46	1	0	7	18	0	7	4	7	120.97	0		8.734892
20	70	3	0	7	22	0	11	3	6	99.33	0		16.091050
20	71	3	0	7	0	6	11	3	6	99.33	0		16.091050
20	67	1	0	7	14	7	7	4	7	120.97	0		8.734892
20	68	1	0	7	18	7	7	4	7	120.97	0		8.734892
20	69	2	0	0	0	19	7	4	6	155.18	1		14.332039
18	58	1	0	7	0	12	7	4	7	120.97	0		8.734892
18	59	1	0	7	14	14	7	4	7	120.97	0		8.734892
18	60	2	0	0	19	24	7	4	6	155.18	1		14.332039
18	61	2	0	7	18	14	7	4	6	155.18	1		14.332039
18	62	2	0	7	0	19	7	4	6	155.18	1		14.332039
4	9	1	0	7	14	21	7	4	7	120.97	0		8.734892
4	10	1	0	8	4	0	7	4	7	120.97	0		8.734892
4	11	2	0	7	18	20	7	4	6	155.18	1		14.332039
4	12	2	0	8	4	7	7	4	6	155.18	1		14.332039
22	76	1	0	14	14	0	7	4	7	120.97	0		8.734892
22	77	1	0	14	18	0	7	4	7	120.97	0		8.734892
22	78	2	0	8	4	13	7	4	6	155.18	1		14.332039
21	74	3	0	7	11	6	11	3	6	99.33	0		16.091050
21	75	3	0	7	22	6	11	3	6	99.33	0		16.091050
21	72	1	0	14	14	7	7	4	7	120.97	0		8.734892
21	73	2	0	8	4	19	7	4	6	155.18	1		14.332039
11	36	3	0	7	11	12	11	3	6	99.33	0		16.091050
11	37	3	0	7	22	12	11	3	6	99.33	0		16.091050
11	38	3	0	7	11	18	11	3	6	99.33	0		16.091050
11	35	1	0	14	18	7	7	4	7	120.97	0		8.734892
9	30	3	0	7	22	18	11	3	6	99.33	0		16.091050
9	31	3	0	7	11	24	11	3	6	99.33	0		16.091050
9	32	3	0	7	22	24	11	3	6	99.33	0		16.091050
9	29	1	0	14	14	14	7	4	7	120.97	0		8.734892
8	28	3	0	8	8	0	11	3	6	99.33	0		16.091050
8	26	1	0	14	18	14	7	4	7	120.97	0		8.734892
8	27	1	0	14	14	21	7	4	7	120.97	0		8.734892
6	19	3	0	8	8	6	11	3	6	99.33	0		16.091050
6	20	3	0	8	8	12	11	3	6	99.33	0		16.091050
6	21	3	0	8	8	18	11	3	6	99.33	0		16.091050
6	17	1	0	14	18	21	7	4	7	120.97	0		8.734892
6	18	1	0	15	3	0	7	4	7	120.97	0		8.734892
1	2	3	0	8	8	24	11	3	6	99.33	0		16.091050
1	1	1	0	15	3	7	7	4	7	120.97	0		8.734892
19	65	3	0	18	0	0	11	3	6	99.33	0		16.091050
19	66	3	0	18	11	0	11	3	6	99.33	0		16.091050
19	63	1	0	15	3	14	7	4	7	120.97	0		8.734892
19	64	2	0	15	3	21	7	4	6	155.18	1		14.332039
7	22	3	0	18	22	0	11	3	6	99.33	0		16.091050
7	23	3	0	18	0	6	11	3	6	99.33	0		16.091050
7	24	3	0	14	0	12	11	3	6	99.33	0		16.091050
7	25	3	0	14	0	18	11	3	6	99.33	0		16.091050


