Name:				008_n020_m200_bt10_611
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		308.54
Calculation_Time:		5.30
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			64
Customer_Sequence:		6 1 4 12 3 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	128	2	0	0	0	0	17	3	8	48.09	0		4.651403
14	129	2	0	0	3	0	17	3	8	48.09	0		4.651403
14	130	2	0	0	6	0	17	3	8	48.09	0		4.651403
14	131	3	0	0	9	0	6	5	8	55.09	0		10.928803
14	132	3	0	0	14	0	6	5	8	55.09	0		10.928803
14	135	6	0	0	19	0	17	3	4	40.12	0		3.076361
14	137	9	0	0	22	0	14	3	4	112.24	0		17.564025
14	138	9	0	0	19	4	14	3	4	112.24	0		17.564025
14	133	4	0	0	0	8	12	4	3	41.03	0		7.757519
14	134	5	0	0	22	4	12	3	4	68.63	0		29.568598
14	139	10	0	0	4	8	9	4	3	72.73	0		30.221439
14	140	10	0	0	8	8	9	4	3	72.73	0		30.221439
14	141	10	1	0	12	8	9	4	3	72.73	0		30.221439
14	136	7	0	0	21	8	9	3	8	103.09	1		9.040069
3	23	2	1	0	0	11	17	3	8	48.09	0		4.651403
3	24	2	1	0	0	19	17	3	8	48.09	0		4.651403
3	25	3	0	3	0	11	6	5	8	55.09	0		10.928803
3	28	6	0	6	12	0	17	3	4	40.12	0		3.076361
3	26	4	1	0	0	27	12	4	3	41.03	0		7.757519
3	27	5	0	6	15	0	12	3	4	68.63	0		29.568598
3	21	1	0	6	12	4	12	5	4	36.30	1		0.969557
3	22	1	0	4	12	8	12	5	4	36.30	1		0.969557
3	29	7	0	0	21	16	9	3	8	103.09	1		9.040069
3	30	7	0	3	12	12	9	3	8	103.09	1		9.040069
12	111	3	0	9	4	8	6	5	8	55.09	0		10.928803
12	113	6	0	9	9	0	17	3	4	40.12	0		3.076361
12	112	4	0	17	0	0	12	4	3	41.03	0		7.757519
12	114	8	0	9	4	16	8	4	3	68.22	0		14.293865
12	115	8	0	9	4	19	8	4	3	68.22	0		14.293865
12	116	8	0	9	4	22	8	4	3	68.22	0		14.293865
12	117	8	0	9	4	25	8	4	3	68.22	0		14.293865
12	108	1	0	17	4	0	12	5	4	36.30	1		0.969557
12	109	1	0	17	18	0	12	5	4	36.30	1		0.969557
12	110	1	0	14	17	4	12	5	4	36.30	1		0.969557
4	31	2	0	9	9	4	17	3	8	48.09	0		4.651403
4	32	2	0	9	9	12	17	3	8	48.09	0		4.651403
4	33	2	0	9	9	20	17	3	8	48.09	0		4.651403
4	36	6	0	23	12	0	17	3	4	40.12	0		3.076361
4	38	9	0	17	0	3	14	3	4	112.24	0		17.564025
4	34	4	0	17	0	7	12	4	3	41.03	0		7.757519
4	35	5	0	17	0	10	12	3	4	68.63	0		29.568598
4	37	7	0	3	12	20	9	3	8	103.09	1		9.040069
1	2	2	0	18	12	4	17	3	8	48.09	0		4.651403
1	7	9	0	17	0	14	14	3	4	112.24	0		17.564025
1	8	9	0	17	0	18	14	3	4	112.24	0		17.564025
1	9	9	0	17	0	22	14	3	4	112.24	0		17.564025
1	3	4	0	17	0	26	12	4	3	41.03	0		7.757519
1	10	10	0	18	12	12	9	4	3	72.73	0		30.221439
1	5	8	0	18	12	15	8	4	3	68.22	0		14.293865
1	6	8	0	18	12	18	8	4	3	68.22	0		14.293865
1	1	1	0	9	17	8	12	5	4	36.30	1		0.969557
1	4	7	0	9	17	12	9	3	8	103.09	1		9.040069
6	48	2	0	26	9	0	17	3	8	48.09	0		4.651403
6	49	3	0	18	12	21	6	5	8	55.09	0		10.928803
6	57	9	0	26	9	8	14	3	4	112.24	0		17.564025
6	50	5	0	26	9	12	12	3	4	68.63	0		29.568598
6	51	5	0	26	9	16	12	3	4	68.63	0		29.568598
6	58	10	0	26	9	20	9	4	3	72.73	0		30.221439
6	56	8	0	26	9	23	8	4	3	68.22	0		14.293865
6	47	1	0	17	4	4	12	5	4	36.30	1		0.969557
6	52	7	0	9	17	20	9	3	8	103.09	1		9.040069
6	53	7	0	17	4	8	9	3	8	103.09	1		9.040069
6	54	7	0	17	4	16	9	3	8	103.09	1		9.040069
6	55	7	0	29	3	0	9	3	8	103.09	1		9.040069


