Name:				238_n100_m200_bt100_23455
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1175.04
Calculation_Time:		8.47
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		34
No_of_Items:			72
Customer_Sequence:		33 29 13 18 25 12 19 31 24 37 27 32 6 20 35 9 34 28 21 7 4 10 14 3 15 5 30 17 38 16 1 22 2 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	15	54	0	0	0	0	17	2	8	204.76	0		45.722296
8	13	33	0	0	2	0	6	4	6	131.38	0		51.680276
8	14	50	0	0	6	0	10	3	7	176.41	1		15.429583
2	2	62	0	0	9	0	16	4	6	232.09	0		19.123033
22	42	2	0	0	13	0	14	4	6	279.04	0		33.777205
22	43	57	0	0	17	0	14	3	4	60.06	0		20.514759
1	1	57	0	0	20	0	14	3	4	60.06	0		20.514759
16	33	36	0	0	17	4	9	7	6	493.10	0		57.791818
16	32	10	0	0	9	6	8	5	4	57.04	0		20.052853
38	77	22	0	14	13	0	17	6	6	427.57	0		45.782743
17	34	60	0	0	14	6	9	2	5	51.97	0		33.711980
30	61	83	0	0	16	10	7	6	6	127.40	0		13.088964
30	59	43	0	0	9	10	6	5	6	168.99	0		183.553553
30	60	56	1	0	9	16	8	6	3	115.89	1		10.927265
5	7	76	0	0	6	7	11	3	8	128.94	1		3.639511
15	30	45	0	6	2	0	12	4	5	149.16	0		19.425635
15	29	1	0	0	0	8	13	2	3	68.13	0		23.133334
15	31	90	0	0	6	15	12	3	3	51.35	1		7.261365
3	4	23	0	8	9	6	11	5	5	192.36	0		10.445874
3	3	6	0	0	17	16	7	6	4	236.18	0		33.618927
3	5	40	0	0	2	6	6	3	6	101.96	0		71.263251
14	26	8	0	0	2	12	8	3	5	136.21	0		55.147397
14	27	35	0	0	2	17	6	4	5	76.27	0		33.433359
14	28	87	0	0	6	18	10	3	5	149.02	1		14.353746
10	18	25	0	6	9	11	14	4	7	194.82	0		12.639484
10	20	89	0	0	17	20	7	5	7	115.87	0		41.931056
10	19	31	0	18	0	0	12	7	7	518	1		7.854951
4	6	37	0	6	9	18	13	5	4	154.90	1		5.894546
7	12	36	0	30	0	0	9	7	6	493.10	0		57.791818
7	11	14	0	9	14	6	12	5	5	247.75	0		39.525421
21	40	59	0	7	14	11	15	3	8	331.63	0		108.331077
21	41	82	0	14	19	0	11	5	3	82.76	0		18.881663
28	55	7	0	7	14	19	13	4	8	234.03	0		18.117186
34	70	89	0	14	19	3	7	5	7	115.87	0		41.931056
34	69	1	0	0	0	11	13	2	3	68.13	0		23.133334
34	71	95	0	6	9	22	6	5	7	195.75	1		10.946103
9	16	34	0	20	7	0	16	4	7	372.50	0		49.669248
9	17	82	0	7	14	27	11	5	3	82.76	0		18.881663
35	73	94	0	14	19	10	9	4	7	86.73	0		22.354809
35	72	75	0	14	19	17	8	5	3	63.66	0		38.129370
20	38	54	0	0	0	14	17	2	8	204.76	0		45.722296
20	39	88	0	25	19	0	10	6	3	93.03	0		82.621845
6	10	83	0	0	0	22	7	6	6	127.40	0		13.088964
6	8	15	0	14	19	20	7	6	4	77.28	0		15.677327
6	9	15	0	14	19	24	7	6	4	77.28	0		15.677327
32	66	92	0	20	7	7	9	4	6	145.06	0		34.931248
32	65	46	0	31	11	0	17	5	8	626.71	1		11.775693
32	64	28	0	12	9	22	7	5	3	37.04	1		3.613871
27	54	100	0	30	0	6	10	7	5	232.15	0		39.063982
27	53	91	0	17	0	7	13	3	8	163.19	1		5.805411
37	75	18	0	20	7	13	6	4	8	98.04	0		12.589395
37	76	35	0	19	7	21	6	4	5	76.27	0		33.433359
24	46	38	0	23	19	3	14	5	4	179.23	0		18.260960
24	47	54	0	23	19	7	17	2	8	204.76	0		45.722296
24	48	55	0	23	21	7	10	4	5	98.60	0		41.309504
31	62	15	0	30	0	11	7	6	4	77.28	0		15.677327
31	63	21	0	7	0	22	12	2	6	70.45	1		4.879443
19	37	14	0	40	0	0	12	5	5	247.75	0		39.525421
12	22	65	0	36	7	0	17	4	5	161.98	0		12.501885
25	49	16	0	40	0	5	14	5	7	439.81	0		139.493781
25	50	25	0	36	7	5	14	4	7	194.82	0		12.639484
25	51	84	0	30	0	15	8	5	6	168.32	0		29.844005
18	36	73	0	30	0	21	10	5	5	124.08	0		20.103273
18	35	8	0	23	21	12	8	3	5	136.21	0		55.147397
13	25	59	0	31	16	0	15	3	8	331.63	0		108.331077
13	23	18	0	23	21	17	6	4	8	98.04	0		12.589395
13	24	28	0	30	0	26	7	5	3	37.04	1		3.613871
29	57	59	0	31	16	8	15	3	8	331.63	0		108.331077
29	58	74	0	31	16	16	9	4	3	46.30	0		31.013648
29	56	46	0	31	11	8	17	5	8	626.71	1		11.775693
33	68	94	0	31	16	19	9	4	7	86.73	0		22.354809
33	67	51	0	36	7	12	14	3	3	63.99	0		67.634829


