Name:				081_n060_m200_bt10_8338
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1010.05
Calculation_Time:		12.65
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		24
No_of_Items:			79
Customer_Sequence:		17 8 16 12 25 13 2 23 4 22 18 7 26 19 24 5 9 21 27 3 20 11 10 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	15	1	0	0	0	0	10	5	5	206.23	0		22.111600
6	17	7	0	0	5	0	12	4	5	234.77	0		62.963961
6	18	7	0	0	9	0	12	4	5	234.77	0		62.963961
6	16	6	0	0	13	0	13	4	4	228.35	0		23.714772
6	19	9	0	0	17	0	9	2	6	83.15	0		128.494264
10	32	8	0	0	19	0	9	6	6	132.05	0		16.952229
10	30	4	0	0	0	5	12	6	3	481.86	0		18.302152
10	31	6	0	0	13	4	13	4	4	228.35	0		23.714772
11	35	2	0	0	6	5	9	7	6	222.45	0		62.746599
11	33	1	0	0	17	6	10	5	5	206.23	0		22.111600
11	34	1	0	0	0	8	10	5	5	206.23	0		22.111600
11	36	7	0	0	13	8	12	4	5	234.77	0		62.963961
20	63	7	0	0	6	11	12	4	5	234.77	0		62.963961
20	62	6	0	0	17	11	13	4	4	228.35	0		23.714772
20	61	3	0	0	0	13	11	6	4	127.76	1		17.075760
3	6	1	0	0	17	15	10	5	5	206.23	0		22.111600
3	9	9	0	0	22	6	9	2	6	83.15	0		128.494264
3	7	3	0	0	0	17	11	6	4	127.76	1		17.075760
3	8	5	0	0	13	13	12	4	3	112.45	1		26.958311
27	85	10	0	0	17	20	10	6	4	124.82	0		40.656561
27	84	3	0	0	0	21	11	6	4	127.76	1		17.075760
21	65	2	0	0	17	24	9	7	6	222.45	0		62.746599
21	64	1	0	0	6	16	10	5	5	206.23	0		22.111600
21	66	6	0	0	6	21	13	4	4	228.35	0		23.714772
21	67	9	0	0	11	11	9	2	6	83.15	0		128.494264
9	28	7	0	0	6	25	12	4	5	234.77	0		62.963961
9	26	4	0	12	0	0	12	6	3	481.86	0		18.302152
9	27	6	0	12	0	3	13	4	4	228.35	0		23.714772
9	29	9	0	0	11	17	9	2	6	83.15	0		128.494264
5	13	7	0	12	0	7	12	4	5	234.77	0		62.963961
5	14	9	0	0	11	23	9	2	6	83.15	0		128.494264
5	12	3	0	0	0	25	11	6	4	127.76	1		17.075760
24	76	8	0	13	6	0	9	6	6	132.05	0		16.952229
24	77	10	0	13	12	0	10	6	4	124.82	0		40.656561
24	73	4	0	13	18	0	12	6	3	481.86	0		18.302152
24	75	6	0	11	0	12	13	4	4	228.35	0		23.714772
24	74	5	0	0	13	16	12	4	3	112.45	1		26.958311
19	57	2	0	13	12	4	9	7	6	222.45	0		62.746599
19	59	4	0	13	19	3	12	6	3	481.86	0		18.302152
19	60	9	0	11	0	16	9	2	6	83.15	0		128.494264
19	58	3	0	13	6	6	11	6	4	127.76	1		17.075760
26	80	1	0	13	19	6	10	5	5	206.23	0		22.111600
26	82	7	0	12	12	10	12	4	5	234.77	0		62.963961
26	83	10	0	13	19	11	10	6	4	124.82	0		40.656561
26	81	6	0	12	12	15	13	4	4	228.35	0		23.714772
7	21	8	0	10	19	15	9	6	6	132.05	0		16.952229
7	22	9	0	10	19	21	9	2	6	83.15	0		128.494264
7	20	5	0	0	13	19	12	4	3	112.45	1		26.958311
18	56	8	0	24	4	0	9	6	6	132.05	0		16.952229
18	54	3	0	13	6	10	11	6	4	127.76	1		17.075760
18	55	5	0	0	13	22	12	4	3	112.45	1		26.958311
22	68	2	0	24	4	6	9	7	6	222.45	0		62.746599
22	69	5	0	0	13	25	12	4	3	112.45	1		26.958311
22	70	5	0	10	21	21	12	4	3	112.45	1		26.958311
4	10	8	0	24	4	12	9	6	6	132.05	0		16.952229
4	11	9	0	11	2	16	9	2	6	83.15	0		128.494264
23	71	4	0	24	4	18	12	6	3	481.86	0		18.302152
23	72	5	0	9	21	24	12	4	3	112.45	1		26.958311
2	3	2	0	24	4	21	9	7	6	222.45	0		62.746599
2	4	2	0	25	11	0	9	7	6	222.45	0		62.746599
2	5	5	0	9	21	27	12	4	3	112.45	1		26.958311
13	41	8	0	25	18	0	9	6	6	132.05	0		16.952229
13	42	9	0	11	0	22	9	2	6	83.15	0		128.494264
13	43	9	0	11	2	22	9	2	6	83.15	0		128.494264
25	78	1	0	12	11	19	10	5	5	206.23	0		22.111600
25	79	4	0	23	16	6	12	6	3	481.86	0		18.302152
12	38	8	0	12	11	24	9	6	6	132.05	0		16.952229
12	39	8	0	23	16	9	9	6	6	132.05	0		16.952229
12	37	7	0	19	16	15	12	4	5	234.77	0		62.963961
12	40	9	0	19	17	20	9	2	6	83.15	0		128.494264
16	48	2	0	35	10	0	9	7	6	222.45	0		62.746599
16	50	7	0	25	0	0	12	4	5	234.77	0		62.963961
16	49	5	0	24	4	27	12	4	3	112.45	1		26.958311
8	23	1	0	25	11	6	10	5	5	206.23	0		22.111600
8	24	5	0	25	0	5	12	4	3	112.45	1		26.958311
8	25	5	0	24	0	8	12	4	3	112.45	1		26.958311
17	52	8	0	35	17	0	9	6	6	132.05	0		16.952229
17	53	10	0	35	10	6	10	6	4	124.82	0		40.656561
17	51	3	0	35	16	6	11	6	4	127.76	1		17.075760


