Name:				270_n100_m200_bt100_26385
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1252.81
Calculation_Time:		19.14
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		27
No_of_Items:			60
Customer_Sequence:		2 23 21 29 32 7 19 17 9 1 14 12 6 5 13 4 25 20 27 10 15 24 30 26 16 3 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	18	14	0	0	0	0	14	5	7	164.42	0		36.996653
8	19	42	0	0	5	0	17	4	7	444.75	0		50.736038
8	20	47	0	0	9	0	9	6	3	111.23	1		10.545078
3	4	33	0	0	15	0	12	4	6	278.77	0		50.085056
3	6	73	0	0	19	0	14	3	6	209.73	0		22.610360
3	5	37	0	0	22	0	9	3	8	168.89	0		62.357427
16	37	81	0	0	15	6	13	4	8	187.85	0		21.354567
24	49	10	0	0	9	3	9	5	3	61.10	1		5.277178
26	54	24	0	0	0	7	14	5	4	522.49	0		83.636122
30	62	1	0	0	0	11	15	6	5	284.85	0		12.136990
24	50	63	0	0	0	16	17	6	3	207.31	0		30.342796
26	55	79	0	0	15	14	14	4	6	313.89	0		27.802735
15	34	13	0	0	19	6	7	3	7	80.63	0		87.012321
15	35	35	0	0	22	8	12	3	3	78.03	0		27.947873
15	36	39	0	0	0	19	17	5	8	289.67	1		2.647013
10	25	54	0	0	6	7	14	4	4	194.69	0		112.010997
10	23	30	0	0	6	11	7	2	6	38.07	0		7.589285
10	24	39	0	14	9	0	17	5	8	289.67	1		2.647013
27	56	23	0	14	14	0	12	7	8	301.79	0		6.434836
27	58	34	0	0	15	20	8	4	7	67.89	0		13.744970
27	57	26	0	14	14	8	6	6	4	51.49	0		27.083969
20	43	77	0	17	0	0	8	7	3	167.60	0		63.969648
25	52	8	0	25	0	0	14	5	7	694.22	0		41.912594
25	51	2	0	14	21	0	17	4	4	169.88	0		31.895672
25	53	87	0	0	22	11	11	3	5	320.01	0		104.612151
4	7	76	0	26	14	0	9	7	5	216.66	0		12.885390
4	8	98	0	0	19	13	6	3	6	99.01	0		55.116850
13	29	29	0	14	21	4	14	4	5	190.79	0		19.341282
13	30	62	0	7	6	11	8	4	4	58.35	1		7.986777
5	11	45	0	25	0	7	11	5	5	119.12	0		25.352257
5	9	7	0	0	22	16	13	3	6	161.13	1		7.052745
5	10	30	0	0	6	17	7	2	6	38.07	0		7.589285
6	14	32	0	14	14	12	8	6	8	537.81	0		37.627460
6	12	21	0	8	15	20	13	4	4	189.37	0		29.433764
6	13	28	0	8	15	24	15	2	4	217.23	0		72.800499
12	28	43	0	25	0	12	12	6	6	213.73	0		24.880544
12	27	2	0	13	21	9	17	4	4	169.88	0		31.895672
14	33	63	0	31	6	0	17	6	3	207.31	0		30.342796
7	17	82	0	25	0	18	11	5	7	339.62	1		18.718219
14	31	9	0	31	6	3	13	5	7	298.75	1		18.857165
1	1	47	0	0	0	27	9	6	3	111.23	1		10.545078
9	21	39	0	31	6	10	17	5	8	289.67	1		2.647013
9	22	47	0	26	14	5	9	6	3	111.23	1		10.545078
17	38	40	0	35	12	0	13	5	7	206.93	0		25.956115
17	39	54	0	13	20	13	14	4	4	194.69	0		112.010997
19	41	29	0	13	20	17	14	4	5	190.79	0		19.341282
19	42	44	0	13	19	22	6	5	7	105.17	0		10.490751
7	16	79	0	31	21	0	14	4	6	313.89	0		27.802735
7	15	63	0	39	0	0	17	6	3	207.31	0		30.342796
14	32	19	0	48	6	0	7	4	7	83.96	0		12.657263
32	67	80	0	30	21	6	17	4	6	194.21	0		15.925120
32	65	17	0	30	21	12	15	3	7	291.44	0		43.453420
32	66	45	0	35	11	7	11	5	5	119.12	0		25.352257
29	60	1	0	39	0	3	15	6	5	284.85	0		12.136990
29	61	67	0	19	19	22	8	5	4	49.42	0		18.998514
21	45	43	0	35	11	12	12	6	6	213.73	0		24.880544
21	44	4	0	30	21	19	11	3	8	196.30	0		21.293891
23	48	20	0	35	17	0	9	3	4	34.93	0		12.689690
2	3	94	0	35	11	18	15	5	8	375.69	0		32.504839
2	2	15	0	8	17	24	14	2	5	59.24	0		26.589022


