Name:				270_n100_m200_bt100_26428
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1073.64
Calculation_Time:		4.33
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		27
No_of_Items:			60
Customer_Sequence:		9 8 15 17 32 5 13 18 21 1 16 22 3 10 24 29 27 30 19 14 26 2 7 23 25 12 6 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
6	14	32	0	0	0	0	8	6	8	537.81	0		37.627460
6	12	21	0	0	6	0	13	4	4	189.37	0		29.433764
6	13	28	0	0	10	0	15	2	4	217.23	0		72.800499
12	28	43	0	0	12	0	12	6	6	213.73	0		24.880544
12	27	2	0	0	18	0	17	4	4	169.88	0		31.895672
25	52	8	0	0	6	4	14	5	7	694.22	0		41.912594
25	51	2	0	0	18	4	17	4	4	169.88	0		31.895672
25	53	87	0	0	22	0	11	3	5	320.01	0		104.612151
23	48	20	0	0	22	5	9	3	4	34.93	0		12.689690
7	16	79	0	0	12	6	14	4	6	313.89	0		27.802735
7	15	63	0	8	0	0	17	6	3	207.31	0		30.342796
7	17	82	0	0	6	11	11	5	7	339.62	1		18.718219
2	3	94	0	8	0	3	15	5	8	375.69	0		32.504839
2	2	15	0	0	16	6	14	2	5	59.24	0		26.589022
26	55	79	0	0	18	8	14	4	6	313.89	0		27.802735
26	54	24	0	0	11	12	14	5	4	522.49	0		83.636122
14	33	63	0	14	12	0	17	6	3	207.31	0		30.342796
14	32	19	0	0	18	14	7	4	7	83.96	0		12.657263
14	31	9	0	0	11	16	13	5	7	298.75	1		18.857165
19	41	29	0	8	0	11	14	4	5	190.79	0		19.341282
19	42	44	0	0	18	21	6	5	7	105.17	0		10.490751
30	62	1	0	14	12	3	15	6	5	284.85	0		12.136990
27	56	23	0	14	12	8	12	7	8	301.79	0		6.434836
27	58	34	0	8	0	16	8	4	7	67.89	0		13.744970
27	57	26	0	13	11	16	6	6	4	51.49	0		27.083969
29	60	1	0	25	0	0	15	6	5	284.85	0		12.136990
29	61	67	0	8	0	23	8	5	4	49.42	0		18.998514
24	50	63	0	19	6	0	17	6	3	207.31	0		30.342796
24	49	10	0	0	5	18	9	5	3	61.10	1		5.277178
10	25	54	0	19	6	3	14	4	4	194.69	0		112.010997
10	23	30	0	0	23	9	7	2	6	38.07	0		7.589285
10	24	39	0	23	0	5	17	5	8	289.67	1		2.647013
3	4	33	0	19	6	7	12	4	6	278.77	0		50.085056
3	6	73	0	11	22	0	14	3	6	209.73	0		22.610360
3	5	37	0	9	22	6	9	3	8	168.89	0		62.357427
22	46	18	0	7	22	14	10	2	6	65.48	0		18.550777
22	47	66	0	0	11	23	17	3	5	103.48	1		4.150672
16	37	81	0	19	6	13	13	4	8	187.85	0		21.354567
1	1	47	0	0	5	21	9	6	3	111.23	1		10.545078
21	45	43	0	31	12	0	12	6	6	213.73	0		24.880544
21	44	4	0	17	19	0	11	3	8	196.30	0		21.293891
18	40	41	0	28	18	0	10	6	4	167.82	0		53.418700
13	29	29	0	19	6	21	14	4	5	190.79	0		19.341282
13	30	62	0	0	5	24	8	4	4	58.35	1		7.986777
5	11	45	0	28	18	4	11	5	5	119.12	0		25.352257
5	10	30	0	6	22	20	7	2	6	38.07	0		7.589285
5	9	7	0	14	19	8	13	3	6	161.13	1		7.052745
32	67	80	0	36	6	0	17	4	6	194.21	0		15.925120
32	65	17	0	29	12	6	15	3	7	291.44	0		43.453420
32	66	45	0	27	18	9	11	5	5	119.12	0		25.352257
17	38	40	0	27	18	14	13	5	7	206.93	0		25.956115
17	39	54	0	19	6	26	14	4	4	194.69	0		112.010997
15	34	13	0	16	0	16	7	3	7	80.63	0		87.012321
15	35	35	0	27	18	21	12	3	3	78.03	0		27.947873
15	36	39	0	23	0	13	17	5	8	289.67	1		2.647013
8	18	14	0	36	6	6	14	5	7	164.42	0		36.996653
8	19	42	0	33	6	13	17	4	7	444.75	0		50.736038
8	20	47	0	23	0	21	9	6	3	111.23	1		10.545078
9	21	39	0	33	5	20	17	5	8	289.67	1		2.647013
9	22	47	0	23	0	24	9	6	3	111.23	1		10.545078


