Name:				182_n100_m200_bt3_18344
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		228.32
Calculation_Time:		0.12
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			12
Customer_Sequence:		5 12 14 30 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
30	65	3	0	0	0	0	26	9	7	882.65	0		89.963855
30	63	1	0	0	9	0	21	11	7	519.16	0		4.543962
14	29	1	0	0	0	7	21	11	7	519.16	0		4.543962
14	28	1	0	0	11	7	21	11	7	519.16	0		4.543962
30	64	2	0	21	9	0	33	8	6	504.39	1		6.077369
14	30	2	0	21	17	0	33	8	6	504.39	1		6.077369
12	25	3	0	0	0	14	26	9	7	882.65	0		89.963855
12	26	3	0	0	9	14	26	9	7	882.65	0		89.963855
12	24	2	0	0	0	21	33	8	6	504.39	1		6.077369
5	8	1	0	0	8	21	21	11	7	519.16	0		4.543962
5	9	2	0	26	9	6	33	8	6	504.39	1		6.077369
5	10	2	0	26	17	6	33	8	6	504.39	1		6.077369


