Name:				202_n100_m200_bt10_20150
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1689.12
Calculation_Time:		31.73
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		45
No_of_Items:			97
Customer_Sequence:		5 32 49 24 9 22 7 2 20 39 41 38 30 11 13 34 23 10 44 4 6 12 15 42 14 19 1 43 18 47 36 17 3 35 27 8 45 33 26 31 21 28 40 37 29 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
29	61	5	0	0	0	0	17	6	4	229.14	0		9.084010
29	62	10	0	0	6	0	9	3	5	108.92	0		72.306617
37	73	4	0	0	9	0	12	2	6	105.04	0		26.439171
37	75	10	0	0	11	0	9	3	5	108.92	0		72.306617
37	74	7	0	0	14	0	7	2	8	90.88	0		41.141988
27	57	10	0	0	16	0	9	3	5	108.92	0		72.306617
40	81	1	0	0	19	0	6	3	4	47.10	0		10.486189
40	82	2	0	0	0	4	12	5	3	114.89	1		13.862504
28	59	5	0	6	19	0	17	6	4	229.14	0		9.084010
28	60	9	0	0	19	4	16	2	5	59.29	0		8.932803
28	58	4	0	0	21	4	12	2	6	105.04	0		26.439171
21	46	1	0	0	6	5	6	3	4	47.10	0		10.486189
21	47	3	0	0	0	7	13	3	8	291.89	1		16.838623
31	65	9	0	0	9	6	16	2	5	59.29	0		8.932803
31	64	1	0	0	11	5	6	3	4	47.10	0		10.486189
26	53	5	0	16	6	0	17	6	4	229.14	0		9.084010
26	54	9	0	0	19	9	16	2	5	59.29	0		8.932803
33	67	2	0	16	6	4	12	5	3	114.89	1		13.862504
45	91	5	0	17	0	0	17	6	4	229.14	0		9.084010
45	93	9	0	0	21	10	16	2	5	59.29	0		8.932803
45	92	8	0	13	0	4	7	5	4	113.18	0		14.688655
8	16	2	0	16	5	7	12	5	3	114.89	1		13.862504
40	83	8	0	9	11	0	7	5	4	113.18	0		14.688655
27	56	7	0	0	16	5	7	2	8	90.88	0		41.141988
27	55	1	0	0	11	9	6	3	4	47.10	0		10.486189
35	69	9	0	0	9	11	16	2	5	59.29	0		8.932803
3	6	9	0	0	19	14	16	2	5	59.29	0		8.932803
3	5	8	0	9	11	4	7	5	4	113.18	0		14.688655
3	4	3	0	0	0	15	13	3	8	291.89	1		16.838623
17	37	4	0	0	14	8	12	2	6	105.04	0		26.439171
17	38	7	0	0	11	13	7	2	8	90.88	0		41.141988
36	71	6	0	9	16	0	7	3	8	58.68	0		5.315889
36	72	10	0	7	11	8	9	3	5	108.92	0		72.306617
36	70	2	0	16	12	0	12	5	3	114.89	1		13.862504
47	98	9	0	0	14	14	16	2	5	59.29	0		8.932803
47	96	4	0	0	21	15	12	2	6	105.04	0		26.439171
47	97	7	0	0	16	13	7	2	8	90.88	0		41.141988
18	41	9	0	0	9	16	16	2	5	59.29	0		8.932803
18	40	8	0	0	9	21	7	5	4	113.18	0		14.688655
18	39	3	0	16	12	3	13	3	8	291.89	1		16.838623
43	89	10	0	0	9	25	9	3	5	108.92	0		72.306617
43	88	1	0	7	11	13	6	3	4	47.10	0		10.486189
1	2	10	0	7	16	8	9	3	5	108.92	0		72.306617
1	1	2	0	16	5	10	12	5	3	114.89	1		13.862504
19	42	6	0	7	16	13	7	3	8	58.68	0		5.315889
14	30	5	0	23	17	0	17	6	4	229.14	0		9.084010
14	32	10	0	7	16	21	9	3	5	108.92	0		72.306617
14	31	7	0	0	14	19	7	2	8	90.88	0		41.141988
42	87	6	0	13	0	8	7	3	8	58.68	0		5.315889
15	33	5	0	16	19	4	17	6	4	229.14	0		9.084010
15	34	5	0	16	19	8	17	6	4	229.14	0		9.084010
15	35	9	0	0	19	19	16	2	5	59.29	0		8.932803
12	25	5	0	16	19	12	17	6	4	229.14	0		9.084010
