Name:				256_n100_m200_bt3_24970
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		773.04
Calculation_Time:		1.68
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		21
No_of_Items:			46
Customer_Sequence:		7 9 1 19 3 2 27 6 17 13 14 23 10 11 24 8 5 12 15 16 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	9	1	0	0	0	0	17	4	6	228.22	0		30.593046
16	32	1	0	0	4	0	17	4	6	228.22	0		30.593046
16	33	2	0	0	8	0	9	5	8	358.88	1		10.012786
15	29	3	0	0	13	0	11	6	6	300.61	0		23.821077
15	30	3	0	0	19	0	11	6	6	300.61	0		23.821077
15	31	3	0	0	0	6	11	6	6	300.61	0		23.821077
12	22	3	0	0	13	6	11	6	6	300.61	0		23.821077
12	23	3	0	0	19	6	11	6	6	300.61	0		23.821077
12	24	3	0	0	0	12	11	6	6	300.61	0		23.821077
5	10	1	0	9	8	0	17	4	6	228.22	0		30.593046
5	11	2	0	0	8	8	9	5	8	358.88	1		10.012786
8	15	1	0	9	8	6	17	4	6	228.22	0		30.593046
8	16	3	0	0	13	12	11	6	6	300.61	0		23.821077
24	48	3	0	0	19	12	11	6	6	300.61	0		23.821077
24	49	3	0	0	0	18	11	6	6	300.61	0		23.821077
24	47	2	0	0	8	16	9	5	8	358.88	1		10.012786
11	20	3	0	0	13	18	11	6	6	300.61	0		23.821077
11	21	3	0	0	19	18	11	6	6	300.61	0		23.821077
10	19	1	0	9	8	12	17	4	6	228.22	0		30.593046
23	44	1	0	9	8	18	17	4	6	228.22	0		30.593046
23	45	3	0	0	0	24	11	6	6	300.61	0		23.821077
23	46	3	0	0	13	24	11	6	6	300.61	0		23.821077
14	28	1	0	9	8	24	17	4	6	228.22	0		30.593046
13	25	3	0	0	19	24	11	6	6	300.61	0		23.821077
13	26	3	0	11	12	0	11	6	6	300.61	0		23.821077
13	27	3	0	11	18	0	11	6	6	300.61	0		23.821077
17	34	1	0	17	0	0	17	4	6	228.22	0		30.593046
17	35	2	0	11	0	6	9	5	8	358.88	1		10.012786
17	36	2	0	11	12	6	9	5	8	358.88	1		10.012786
6	12	1	0	20	0	6	17	4	6	228.22	0		30.593046
6	13	3	0	11	17	6	11	6	6	300.61	0		23.821077
27	52	1	0	20	4	0	17	4	6	228.22	0		30.593046
27	53	1	0	20	4	6	17	4	6	228.22	0		30.593046
27	54	3	0	11	17	12	11	6	6	300.61	0		23.821077
2	3	1	0	20	0	12	17	4	6	228.22	0		30.593046
2	4	2	0	11	0	14	9	5	8	358.88	1		10.012786
2	5	2	0	11	12	14	9	5	8	358.88	1		10.012786
3	6	1	0	20	4	12	17	4	6	228.22	0		30.593046
3	7	1	0	20	0	18	17	4	6	228.22	0		30.593046
3	8	3	0	11	17	18	11	6	6	300.61	0		23.821077
19	38	1	0	20	4	18	17	4	6	228.22	0		30.593046
1	2	3	0	11	17	24	11	6	6	300.61	0		23.821077
1	1	2	0	11	12	22	9	5	8	358.88	1		10.012786
9	17	1	0	20	0	24	17	4	6	228.22	0		30.593046
9	18	3	0	22	12	0	11	6	6	300.61	0		23.821077
7	14	2	0	20	12	6	9	5	8	358.88	1		10.012786


