Name:				235_n100_m200_bt10_23149
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1313.74
Calculation_Time:		6.04
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		39
No_of_Items:			73
Customer_Sequence:		24 14 20 7 5 36 17 37 34 42 3 15 1 8 25 32 6 31 41 29 35 9 16 11 21 28 19 4 33 13 12 23 18 43 38 40 30 10 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	2	5	0	0	0	0	17	5	4	317.59	0		16.544576
10	16	5	0	0	5	0	17	5	4	317.59	0		16.544576
10	17	6	0	0	10	0	17	5	3	81.72	0		11.179608
10	15	1	0	0	15	0	6	4	6	72.90	0		8.997280
30	50	7	0	0	19	0	8	2	7	41.55	0		10.454082
40	68	7	0	0	21	0	8	2	7	41.55	0		10.454082
40	69	9	0	0	10	3	8	4	8	160.79	1		25.465804
38	64	2	0	0	0	4	13	6	6	262.76	0		58.664146
38	65	5	0	0	0	10	17	5	4	317.59	0		16.544576
38	66	6	0	0	0	14	17	5	3	81.72	0		11.179608
43	77	10	0	0	0	17	9	5	8	248.17	0		71.144329
43	76	7	0	0	23	0	8	2	7	41.55	0		10.454082
43	75	4	0	0	6	4	6	3	4	27.70	1		4.527884
18	31	7	0	0	15	6	8	2	7	41.55	0		10.454082
18	30	4	0	0	19	7	6	3	4	27.70	1		4.527884
23	40	1	0	6	6	4	6	4	6	72.90	0		8.997280
12	22	8	0	8	15	0	17	4	5	247.90	0		10.701245
12	21	1	0	6	6	10	6	4	6	72.90	0		8.997280
13	23	4	0	0	22	7	6	3	4	27.70	1		4.527884
13	24	4	0	0	10	11	6	3	4	27.70	1		4.527884
33	55	2	0	8	19	0	13	6	6	262.76	0		58.664146
4	4	2	0	8	19	6	13	6	6	262.76	0		58.664146
4	6	5	0	8	19	12	17	5	4	317.59	0		16.544576
4	5	4	0	0	19	11	6	3	4	27.70	1		4.527884
19	34	10	0	8	10	3	9	5	8	248.17	0		71.144329
19	32	7	0	0	17	6	8	2	7	41.55	0		10.454082
19	33	9	0	0	15	13	8	4	8	160.79	1		25.465804
28	48	7	0	6	6	16	8	2	7	41.55	0		10.454082
28	46	4	0	0	10	15	6	3	4	27.70	1		4.527884
28	47	4	0	0	10	19	6	3	4	27.70	1		4.527884
21	37	5	0	8	19	16	17	5	4	317.59	0		16.544576
21	38	9	0	0	15	21	8	4	8	160.79	1		25.465804
11	20	9	0	6	10	11	8	4	8	160.79	1		25.465804
11	18	4	0	0	10	23	6	3	4	27.70	1		4.527884
11	19	4	0	0	0	25	6	3	4	27.70	1		4.527884
16	27	4	0	6	10	19	6	3	4	27.70	1		4.527884
9	14	3	0	8	19	20	15	5	4	147.94	0		46.196444
35	58	6	0	8	19	24	17	5	3	81.72	0		11.179608
29	49	6	0	8	19	27	17	5	3	81.72	0		11.179608
41	70	8	0	8	15	5	17	4	5	247.90	0		10.701245
41	71	9	0	8	15	10	8	4	8	160.79	1		25.465804
31	52	10	0	9	0	17	9	5	8	248.17	0		71.144329
31	53	10	0	17	0	0	9	5	8	248.17	0		71.144329
31	51	8	0	17	5	0	17	4	5	247.90	0		10.701245
6	9	8	0	14	5	5	17	4	5	247.90	0		10.701245
32	54	10	0	14	5	10	9	5	8	248.17	0		71.144329
25	43	2	0	23	9	0	13	6	6	262.76	0		58.664146
8	13	10	0	14	5	18	9	5	8	248.17	0		71.144329
8	11	1	0	16	15	10	6	4	6	72.90	0		8.997280
8	12	9	0	8	14	18	8	4	8	160.79	1		25.465804
1	1	8	0	23	9	6	17	4	5	247.90	0		10.701245
15	26	8	0	23	9	11	17	4	5	247.90	0		10.701245
3	3	2	0	25	15	0	13	6	6	262.76	0		58.664146
42	74	10	0	18	0	8	9	5	8	248.17	0		71.144329
42	72	6	0	23	9	16	17	5	3	81.72	0		11.179608
42	73	7	0	16	15	16	8	2	7	41.55	0		10.454082
34	56	5	0	23	9	19	17	5	4	317.59	0		16.544576
34	57	9	0	18	0	16	8	4	8	160.79	1		25.465804
37	61	3	0	6	0	25	15	5	4	147.94	0		46.196444
37	62	7	0	16	17	16	8	2	7	41.55	0		10.454082
37	63	7	0	16	15	23	8	2	7	41.55	0		10.454082
17	29	10	0	25	14	6	9	5	8	248.17	0		71.144329
17	28	9	0	23	5	10	8	4	8	160.79	1		25.465804
36	59	2	0	23	9	23	13	6	6	262.76	0		58.664146
36	60	4	0	6	10	23	6	3	4	27.70	1		4.527884
5	8	10	0	27	0	0	9	5	8	248.17	0		71.144329
5	7	3	0	36	0	0	15	5	4	147.94	0		46.196444
7	10	3	0	36	0	4	15	5	4	147.94	0		46.196444
20	35	2	0	31	0	8	13	6	6	262.76	0		58.664146
20	36	4	0	14	5	26	6	3	4	27.70	1		4.527884
14	25	4	0	21	0	24	6	3	4	27.70	1		4.527884
24	41	3	0	31	0	14	15	5	4	147.94	0		46.196444
24	42	4	0	23	5	18	6	3	4	27.70	1		4.527884


