Name:				201_n100_m200_bt10_16673
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		848.61
Calculation_Time:		7.05
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		22
No_of_Items:			47
Customer_Sequence:		13 6 12 7 15 28 11 23 25 5 16 2 3 10 19 1 21 4 20 8 22 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	33	2	0	0	0	0	17	4	7	198.39	0		14.392059
18	34	4	0	0	4	0	8	6	3	136.93	0		83.523271
22	42	7	0	0	10	0	12	5	4	74.63	0		10.980155
4	8	3	0	0	15	0	9	2	5	65.44	1		18.719781
22	43	9	0	0	17	0	13	4	4	110.79	1		12.081869
8	18	10	0	0	21	0	7	4	6	117.20	0		28.880141
20	38	2	0	0	0	7	17	4	7	198.39	0		14.392059
4	9	4	0	0	4	3	8	6	3	136.93	0		83.523271
22	41	6	0	0	10	4	14	3	5	130.47	0		8.687697
21	40	8	0	0	10	9	16	3	6	282.32	0		11.984345
21	39	6	0	0	0	14	14	3	5	130.47	0		8.687697
1	1	2	0	7	21	0	17	4	7	198.39	0		14.392059
1	2	8	0	0	10	15	16	3	6	282.32	0		11.984345
19	35	2	0	7	21	7	17	4	7	198.39	0		14.392059
19	37	10	0	0	4	6	7	4	6	117.20	0		28.880141
19	36	9	0	0	17	4	13	4	4	110.79	1		12.081869
10	22	8	0	0	0	19	16	3	6	282.32	0		11.984345
10	21	1	0	8	4	0	12	6	4	132.88	0		10.598400
3	6	5	0	20	4	0	16	7	7	336.84	0		9.770293
3	7	6	0	0	10	21	14	3	5	130.47	0		8.687697
2	3	2	0	7	21	14	17	4	7	198.39	0		14.392059
2	5	6	0	0	0	25	14	3	5	130.47	0		8.687697
2	4	3	0	0	13	4	9	2	5	65.44	1		18.719781
16	31	4	0	20	11	0	8	6	3	136.93	0		83.523271
5	10	2	0	7	21	21	17	4	7	198.39	0		14.392059
5	11	4	0	20	11	3	8	6	3	136.93	0		83.523271
25	52	5	0	20	4	7	16	7	7	336.84	0		9.770293
25	51	2	0	13	17	0	17	4	7	198.39	0		14.392059
25	50	1	0	20	4	14	12	6	4	132.88	0		10.598400
23	44	1	0	20	4	18	12	6	4	132.88	0		10.598400
23	45	6	0	13	17	7	14	3	5	130.47	0		8.687697
23	46	9	0	0	17	8	13	4	4	110.79	1		12.081869
11	23	3	0	0	13	9	9	2	5	65.44	1		18.719781
28	56	5	0	30	17	0	16	7	7	336.84	0		9.770293
28	57	10	0	13	17	12	7	4	6	117.20	0		28.880141
15	30	7	0	20	4	22	12	5	4	74.63	0		10.980155
7	15	5	0	27	17	7	16	7	7	336.84	0		9.770293
7	17	8	0	17	0	0	16	3	6	282.32	0		11.984345
7	16	7	0	20	4	26	12	5	4	74.63	0		10.980155
12	24	4	0	20	11	6	8	6	3	136.93	0		83.523271
12	25	9	0	0	10	26	13	4	4	110.79	1		12.081869
12	26	9	0	17	0	6	13	4	4	110.79	1		12.081869
6	14	8	0	24	21	14	16	3	6	282.32	0		11.984345
6	13	7	0	28	11	0	12	5	4	74.63	0		10.980155
6	12	4	0	20	11	9	8	6	3	136.93	0		83.523271
13	28	10	0	13	17	18	7	4	6	117.20	0		28.880141
13	27	4	0	20	11	12	8	6	3	136.93	0		83.523271


