Name:				262_n100_m200_bt10_22062
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1450.88
Calculation_Time:		5.36
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		32
No_of_Items:			58
Customer_Sequence:		29 3 35 25 11 34 8 7 31 33 16 36 24 17 1 5 2 26 20 6 23 22 18 27 28 15 4 12 30 10 21 19 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
19	31	5	0	0	0	0	7	6	5	154.72	1		5.319968
21	34	10	0	0	6	0	9	6	6	110.44	0		23.719453
10	12	3	0	0	12	0	10	4	4	148.45	0		36.951389
10	13	3	0	0	16	0	10	4	4	148.45	0		36.951389
10	14	5	0	0	12	4	7	6	5	154.72	1		5.319968
30	49	1	0	0	20	0	7	4	8	89.12	0		6.435426
30	50	6	0	0	18	4	10	2	7	121.13	0		17.741160
12	19	7	0	10	12	0	12	7	6	448.61	0		48.010574
12	20	7	0	10	12	6	12	7	6	448.61	0		48.010574
12	18	6	0	0	6	6	10	2	7	121.13	0		17.741160
4	5	3	0	0	8	6	10	4	4	148.45	0		36.951389
15	23	8	0	7	0	0	11	5	7	116.23	0		9.228267
28	46	9	0	7	20	0	11	5	3	65.44	0		13.036439
28	47	9	0	7	20	3	11	5	3	65.44	0		13.036439
28	45	3	0	0	8	10	10	4	4	148.45	0		36.951389
27	44	10	0	7	0	7	9	6	6	110.44	0		23.719453
18	28	4	0	0	20	8	8	4	4	55.77	0		21.527783
18	29	4	0	0	20	12	8	4	4	55.77	0		21.527783
18	30	5	0	7	0	13	7	6	5	154.72	1		5.319968
22	36	9	0	10	12	12	11	5	3	65.44	0		13.036439
22	35	6	0	0	6	13	10	2	7	121.13	0		17.741160
23	37	1	0	0	8	14	7	4	8	89.12	0		6.435426
23	38	2	0	18	0	0	15	5	3	217.11	1		15.689187
6	7	1	0	0	20	16	7	4	8	89.12	0		6.435426
6	8	5	0	7	0	18	7	6	5	154.72	1		5.319968
20	33	7	0	18	5	0	12	7	6	448.61	0		48.010574
20	32	3	0	10	12	15	10	4	4	148.45	0		36.951389
26	42	3	0	10	12	19	10	4	4	148.45	0		36.951389
26	43	6	0	0	6	20	10	2	7	121.13	0		17.741160
2	2	1	0	0	8	22	7	4	8	89.12	0		6.435426
2	3	4	0	0	20	24	8	4	4	55.77	0		21.527783
5	6	10	0	18	5	6	9	6	6	110.44	0		23.719453
1	1	3	0	10	12	23	10	4	4	148.45	0		36.951389
17	26	3	0	18	20	0	10	4	4	148.45	0		36.951389
17	27	4	0	10	19	6	8	4	4	55.77	0		21.527783
24	39	7	0	22	12	0	12	7	6	448.61	0		48.010574
36	60	3	0	10	19	10	10	4	4	148.45	0		36.951389
36	62	6	0	10	23	6	10	2	7	121.13	0		17.741160
36	61	4	0	10	19	14	8	4	4	55.77	0		21.527783
16	24	3	0	10	19	18	10	4	4	148.45	0		36.951389
16	25	4	0	10	19	22	8	4	4	55.77	0		21.527783
33	54	7	0	22	12	6	12	7	6	448.61	0		48.010574
33	53	5	0	7	0	23	7	6	5	154.72	1		5.319968
31	51	5	0	18	5	12	7	6	5	154.72	1		5.319968
7	9	1	0	21	12	12	7	4	8	89.12	0		6.435426
8	10	8	0	28	20	0	11	5	7	116.23	0		9.228267
34	56	7	0	30	5	0	12	7	6	448.61	0		48.010574
34	55	3	0	10	19	26	10	4	4	148.45	0		36.951389
11	17	8	0	27	5	6	11	5	7	116.23	0		9.228267
11	16	4	0	21	16	12	8	4	4	55.77	0		21.527783
11	15	2	0	18	0	3	15	5	3	217.11	1		15.689187
25	41	3	0	21	16	16	10	4	4	148.45	0		36.951389
25	40	2	0	18	0	6	15	5	3	217.11	1		15.689187
35	58	7	0	34	12	0	12	7	6	448.61	0		48.010574
35	59	10	0	21	12	20	9	6	6	110.44	0		23.719453
35	57	2	0	18	0	9	15	5	3	217.11	1		15.689187
3	4	1	0	27	5	13	7	4	8	89.12	0		6.435426
29	48	3	0	21	12	26	10	4	4	148.45	0		36.951389


