Name:				325_n020_m400_bt10
Problem:			3L-VRPTW
Number_of_used_Vehicles:	4
Total_Travel_Distance:		434.58
Calculation_Time:		3600.0
Total_Iterations:		82
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			98
Customer_Sequence:		7 2 9 5 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	185	3	0	0	0	0	16	5	6	59.41	0		10.369826
10	184	3	0	0	5	0	16	5	6	59.41	0		10.369826
10	183	3	0	0	10	0	16	5	6	59.41	0		10.369826
10	182	3	0	0	15	0	16	5	6	59.41	0		10.369826
10	198	10	0	0	20	0	17	3	8	54.63	0		4.036011
10	178	1	0	0	0	6	10	5	7	44.53	0		2.328649
10	177	1	0	0	5	6	10	5	7	44.53	0		2.328649
10	186	4	0	0	10	6	11	6	4	30.84	0		2.411353
10	187	4	0	0	10	10	11	6	4	30.84	0		2.411353
10	188	4	0	0	0	13	11	6	4	30.84	0		2.411353
10	192	7	0	0	16	6	8	3	7	27.75	0		7.148205
10	193	7	0	0	20	8	8	3	7	27.75	0		7.148205
2	38	8	0	0	10	14	14	6	7	100.16	0		2.574903
10	180	2	0	0	6	13	9	3	6	19.09	0		3.741785
10	179	2	0	0	16	13	9	3	6	19.09	0		3.741785
10	189	5	0	0	20	15	7	4	4	11.62	0		10.596865
10	190	5	0	0	0	17	7	4	4	11.62	0		10.596865
10	191	6	0	0	23	0	15	2	7	38.86	1		3.938385
10	194	9	0	0	16	19	7	6	5	35.79	1		1.346165
10	195	9	0	0	0	21	7	6	5	35.79	1		1.346165
10	196	9	0	0	16	24	7	6	5	35.79	1		1.346165
10	197	9	0	7	0	17	7	6	5	35.79	1		1.346165
5	96	8	0	11	10	6	14	6	7	100.16	0		2.574903
5	86	3	0	8	20	8	16	5	6	59.41	0		10.369826
5	87	3	0	8	20	14	16	5	6	59.41	0		10.369826
5	88	3	0	8	20	20	16	5	6	59.41	0		10.369826
5	100	10	0	0	6	19	17	3	8	54.63	0		4.036011
5	99	10	0	7	16	19	17	3	8	54.63	0		4.036011
5	83	1	0	16	0	0	10	5	7	44.53	0		2.328649
5	84	1	0	16	5	0	10	5	7	44.53	0		2.328649
5	82	1	0	16	0	7	10	5	7	44.53	0		2.328649
5	89	4	0	16	10	0	11	6	4	30.84	0		2.411353
5	90	4	0	16	0	14	11	6	4	30.84	0		2.411353
5	95	7	0	0	22	19	8	3	7	27.75	0		7.148205
5	85	2	0	9	6	13	9	3	6	19.09	0		3.741785
5	91	5	0	8	20	26	7	4	4	11.62	0		10.596865
5	92	6	0	7	0	22	15	2	7	38.86	1		3.938385
5	93	6	0	7	2	22	15	2	7	38.86	1		3.938385
5	94	6	0	7	4	22	15	2	7	38.86	1		3.938385
9	166	4	0	27	10	0	11	6	4	30.84	0		2.411353
5	98	9	0	26	0	0	7	6	5	35.79	1		1.346165
9	174	8	0	27	16	0	14	6	7	100.16	0		2.574903
9	163	3	0	27	10	4	16	5	6	59.41	0		10.369826
9	164	3	0	27	16	7	16	5	6	59.41	0		10.369826
9	176	10	0	26	6	0	17	3	8	54.63	0		4.036011
9	165	4	0	27	10	10	11	6	4	30.84	0		2.411353
5	97	9	0	26	0	5	7	6	5	35.79	1		1.346165
9	172	7	0	17	6	19	8	3	7	27.75	0		7.148205
9	167	5	0	15	20	26	7	4	4	11.62	0		10.596865
9	162	2	0	26	6	8	9	3	6	19.09	0		3.741785
9	173	7	0	26	6	14	8	3	7	27.75	0		7.148205
9	168	6	0	26	6	21	15	2	7	38.86	1		3.938385
9	169	6	0	26	8	21	15	2	7	38.86	1		3.938385
9	170	6	0	27	22	0	15	2	7	38.86	1		3.938385
9	171	6	0	27	21	7	15	2	7	38.86	1		3.938385
9	175	9	0	33	0	0	7	6	5	35.79	1		1.346165
2	39	8	0	0	10	21	14	6	7	100.16	0		2.574903
10	181	2	0	8	16	6	9	3	6	19.09	0		3.741785
2	30	3	0	14	10	14	16	5	6	59.41	0		10.369826
2	31	3	0	14	10	20	16	5	6	59.41	0		10.369826
2	46	10	0	27	16	13	17	3	8	54.63	0		4.036011
2	32	4	0	14	10	26	11	6	4	30.84	0		2.411353
2	44	10	0	27	16	21	17	3	8	54.63	0		4.036011
2	45	10	0	30	10	14	17	3	8	54.63	0		4.036011
2	33	4	0	25	10	26	11	6	4	30.84	0		2.411353
2	34	4	0	30	10	22	11	6	4	30.84	0		2.411353
2	27	2	0	30	13	14	9	3	6	19.09	0		3.741785
2	29	2	0	40	0	0	9	3	6	19.09	0		3.741785
2	28	2	0	40	3	0	9	3	6	19.09	0		3.741785
2	26	2	0	40	0	6	9	3	6	19.09	0		3.741785
2	35	5	0	22	20	26	7	4	4	11.62	0		10.596865
2	37	6	0	24	20	14	15	2	7	38.86	1		3.938385
2	36	6	0	24	22	14	15	2	7	38.86	1		3.938385
2	40	9	0	33	0	5	7	6	5	35.79	1		1.346165
2	41	9	0	33	0	10	7	6	5	35.79	1		1.346165
2	42	9	0	33	0	15	7	6	5	35.79	1		1.346165
2	43	9	0	33	0	20	7	6	5	35.79	1		1.346165
7	136	8	0	40	0	12	14	6	7	100.16	0		2.574903
7	127	3	0	40	0	19	16	5	6	59.41	0		10.369826
7	126	3	0	41	10	22	16	5	6	59.41	0		10.369826
7	139	10	0	42	22	0	17	3	8	54.63	0		4.036011
7	120	1	0	49	0	0	10	5	7	44.53	0		2.328649
7	123	1	0	49	5	0	10	5	7	44.53	0		2.328649
7	122	1	0	49	10	0	10	5	7	44.53	0		2.328649
7	121	1	0	49	15	0	10	5	7	44.53	0		2.328649
