Name:				344_n020_m400_bt100
Problem:			3L-VRPTW
Number_of_used_Vehicles:	5
Total_Travel_Distance:		470.56
Calculation_Time:		3600.00
Total_Iterations:		48
ConstraintSet:			P19

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			104
Customer_Sequence:		17 1 10 5 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	270	41	0	0	0	0	16	6	7	51.32	0		2.401186
14	263	7	0	0	6	0	11	6	7	57.32	0		6.615971
14	276	72	0	0	12	0	15	6	5	31.84	0		7.468139
14	266	20	0	0	18	0	12	4	8	26.43	0		5.935572
14	277	82	0	0	12	5	13	5	4	28.38	0		2.705447
14	274	70	0	0	0	7	17	5	3	32.59	0		5.728596
14	272	49	0	0	5	7	6	5	8	30.68	0		5.434188
14	271	42	0	0	18	8	13	5	3	15.32	0		5.848812
14	278	86	0	0	22	0	13	3	5	24.24	0		14.145061
14	279	86	0	0	12	9	13	3	5	24.24	0		14.145061
10	197	92	0	0	0	10	6	4	7	23.25	0		6.463814
14	269	39	0	0	18	11	8	4	5	12.54	0		1.248800
14	267	25	0	0	15	9	7	3	5	8.55	0		3.343440
14	265	16	0	0	10	7	10	2	5	5.94	0		5.769750
14	275	71	0	0	22	11	6	2	7	8.19	0		20.736695
14	273	66	0	0	12	14	6	4	3	6.63	0		1.965867
14	264	13	0	0	5	15	6	4	3	3.71	0		2.747670
10	182	25	0	0	9	15	7	3	5	8.55	0		3.343440
14	268	30	0	0	16	14	8	2	6	6.20	1		0.856262
5	95	81	0	8	18	11	16	7	6	61.77	0		23.119523
5	92	72	0	8	18	17	15	6	5	31.84	0		7.468139
5	84	43	0	8	18	22	11	6	6	28.93	0		3.031360
5	91	62	0	6	5	7	17	5	4	22.71	0		11.885854
10	188	41	0	0	9	20	16	6	7	51.32	0		2.401186
5	75	8	0	0	5	18	15	4	5	16.87	0		2.293995
1	1	4	0	0	0	17	17	2	5	8.92	0		2.994487
14	280	99	0	11	6	0	7	5	5	25.70	0		10.356794
5	89	60	0	13	12	5	7	5	6	16.87	0		10.478976
5	98	86	0	0	5	23	13	3	5	24.24	0		14.145061
5	97	86	0	6	5	11	13	3	5	24.24	0		14.145061
1	9	27	0	0	2	17	9	3	5	19.93	0		2.634932
5	82	39	0	0	18	16	8	4	5	12.54	0		1.248800
14	262	3	0	16	0	0	16	5	5	32.15	1		1.362359
5	96	85	0	0	18	21	8	5	3	17.30	0		7.923250
5	90	61	0	10	10	7	6	2	8	7.42	0		21.790965
5	85	48	0	0	12	17	15	2	3	12.23	0		5.364189
5	99	88	0	6	8	11	11	2	4	4.52	0		1.890522
5	78	34	0	6	12	14	9	3	3	7.07	0		7.768767
5	81	38	0	19	18	22	12	5	8	24.67	1		0.470952
5	80	38	0	32	0	0	12	5	8	24.67	1		0.470952
5	74	5	0	18	6	0	11	5	5	23.15	1		1.589691
5	94	80	0	15	12	0	11	6	4	18.33	1		0.598426
5	88	56	0	0	15	20	17	3	5	15.85	1		0.573441
5	86	51	0	15	18	0	6	5	8	17.11	1		1.537277
5	83	40	0	13	5	23	6	4	7	8.86	1		0.948395
5	87	53	0	19	5	11	16	4	5	25.27	0		5.662630
10	181	19	0	19	5	16	16	4	8	36.36	0		10.722056
10	196	80	0	19	9	11	11	6	4	18.33	1		0.598426
10	200	96	0	0	9	27	12	6	3	30.97	1		7.965268
10	191	62	0	6	0	10	17	5	4	22.71	0		11.885854
10	180	6	0	19	5	24	14	4	5	17.72	0		1.078577
10	179	6	0	26	12	0	14	4	5	17.72	0		1.078577
10	189	50	0	40	12	0	8	4	8	37.88	0		23.881617
10	193	69	0	26	12	5	6	6	5	19.90	0		7.720434
5	79	37	0	21	18	0	13	3	6	17.87	0		3.949060
10	198	92	0	32	12	5	6	4	7	23.25	0		6.463814
10	187	36	0	6	0	14	11	5	3	24.24	0		4.970089
10	183	29	0	19	23	22	13	2	5	14.41	0		15.168440
10	195	76	0	7	9	15	10	3	4	16.98	0		1.870191
5	77	26	0	0	18	24	8	4	4	6.50	0		2.604257
10	186	34	0	12	9	27	9	3	3	7.07	0		7.768767
10	190	56	0	0	15	25	17	3	5	15.85	1		0.573441
10	192	67	0	17	9	15	13	3	8	29.09	1		3.417117
10	194	72	0	32	12	12	15	6	5	31.84	0		7.468139
