Name:				235_n100_m200_bt10_23209
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1463.07
Calculation_Time:		14.59
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		39
No_of_Items:			73
Customer_Sequence:		8 11 5 37 42 10 41 27 38 29 4 43 39 9 24 6 22 20 17 13 19 40 36 28 1 32 25 2 34 15 30 3 12 31 26 33 18 21 7 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
7	10	3	0	0	0	0	15	5	4	147.94	0		46.196444
21	37	5	0	0	5	0	17	5	4	317.59	0		16.544576
21	38	9	0	0	10	0	8	4	8	160.79	1		25.465804
18	31	7	0	0	14	0	8	2	7	41.55	0		10.454082
2	2	5	0	0	16	0	17	5	4	317.59	0		16.544576
33	55	2	0	0	0	4	13	6	6	262.76	0		58.664146
26	44	9	0	0	21	0	8	4	8	160.79	1		25.465804
31	52	10	0	0	0	10	9	5	8	248.17	0		71.144329
31	53	10	0	0	0	18	9	5	8	248.17	0		71.144329
31	51	8	0	0	6	4	17	4	5	247.90	0		10.701245
12	22	8	0	0	6	9	17	4	5	247.90	0		10.701245
12	21	1	0	0	6	14	6	4	6	72.90	0		8.997280
3	3	2	0	8	10	0	13	6	6	262.76	0		58.664146
30	50	7	0	0	14	7	8	2	7	41.55	0		10.454082
15	26	8	0	8	21	0	17	4	5	247.90	0		10.701245
34	56	5	0	8	10	6	17	5	4	317.59	0		16.544576
34	57	9	0	0	10	8	8	4	8	160.79	1		25.465804
18	30	4	0	15	0	0	6	3	4	27.70	1		4.527884
25	43	2	0	8	10	10	13	6	6	262.76	0		58.664146
32	54	10	0	0	16	4	9	5	8	248.17	0		71.144329
1	1	8	0	8	21	5	17	4	5	247.90	0		10.701245
28	48	7	0	0	16	12	8	2	7	41.55	0		10.454082
28	46	4	0	0	18	12	6	3	4	27.70	1		4.527884
28	47	4	0	0	10	16	6	3	4	27.70	1		4.527884
36	59	2	0	8	10	16	13	6	6	262.76	0		58.664146
36	60	4	0	0	18	16	6	3	4	27.70	1		4.527884
40	68	7	0	0	16	19	8	2	7	41.55	0		10.454082
40	69	9	0	0	6	20	8	4	8	160.79	1		25.465804
19	34	10	0	8	10	22	9	5	8	248.17	0		71.144329
19	32	7	0	8	21	10	8	2	7	41.55	0		10.454082
19	33	9	0	9	16	4	8	4	8	160.79	1		25.465804
13	23	4	0	0	18	20	6	3	4	27.70	1		4.527884
13	24	4	0	0	18	24	6	3	4	27.70	1		4.527884
17	29	10	0	17	5	0	9	5	8	248.17	0		71.144329
17	28	9	0	8	16	12	8	4	8	160.79	1		25.465804
20	35	2	0	26	5	0	13	6	6	262.76	0		58.664146
20	36	4	0	0	0	26	6	3	4	27.70	1		4.527884
22	39	4	1	6	0	26	6	3	4	27.70	1		4.527884
6	9	8	0	17	16	0	17	4	5	247.90	0		10.701245
24	41	3	0	17	16	5	15	5	4	147.94	0		46.196444
24	42	4	0	8	16	20	6	3	4	27.70	1		4.527884
9	14	3	0	17	16	9	15	5	4	147.94	0		46.196444
39	67	7	0	8	23	10	8	2	7	41.55	0		10.454082
43	77	10	0	17	5	8	9	5	8	248.17	0		71.144329
43	76	7	0	8	21	17	8	2	7	41.55	0		10.454082
43	75	4	0	8	16	24	6	3	4	27.70	1		4.527884
4	4	2	0	17	16	13	13	6	6	262.76	0		58.664146
4	6	5	0	17	16	19	17	5	4	317.59	0		16.544576
4	5	4	0	13	0	4	6	3	4	27.70	1		4.527884
29	49	6	0	17	16	23	17	5	3	81.72	0		11.179608
38	64	2	0	26	5	6	13	6	6	262.76	0		58.664146
38	65	5	0	17	16	26	17	5	4	317.59	0		16.544576
38	66	6	0	21	0	0	17	5	3	81.72	0		11.179608
27	45	1	0	17	5	16	6	4	6	72.90	0		8.997280
41	70	8	0	21	0	3	17	4	5	247.90	0		10.701245
41	71	9	0	17	5	22	8	4	8	160.79	1		25.465804
10	16	5	0	21	0	8	17	5	4	317.59	0		16.544576
10	17	6	0	21	0	12	17	5	3	81.72	0		11.179608
10	15	1	1	17	9	22	6	4	6	72.90	0		8.997280
42	74	10	0	21	0	15	9	5	8	248.17	0		71.144329
42	72	6	0	26	11	0	17	5	3	81.72	0		11.179608
42	73	7	0	8	23	17	8	2	7	41.55	0		10.454082
37	61	3	0	26	11	3	15	5	4	147.94	0		46.196444
37	62	7	0	16	23	10	8	2	7	41.55	0		10.454082
37	63	7	0	16	23	17	8	2	7	41.55	0		10.454082
5	8	10	0	26	11	7	9	5	8	248.17	0		71.144329
5	7	3	0	26	5	12	15	5	4	147.94	0		46.196444
11	20	9	0	26	11	15	8	4	8	160.79	1		25.465804
11	18	4	0	8	21	24	6	3	4	27.70	1		4.527884
11	19	4	0	21	0	23	6	3	4	27.70	1		4.527884
8	13	10	0	26	5	16	9	5	8	248.17	0		71.144329
8	11	1	0	26	5	24	6	4	6	72.90	0		8.997280
8	12	9	0	30	0	15	8	4	8	160.79	1		25.465804


