Name:				212_n100_m200_bt3_21192
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		100.95
Calculation_Time:		0.59
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			9
Customer_Sequence:		21 20 86 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
86	168	1	0	0	0	0	16	14	10	808.10	0		15.809875
86	169	1	0	0	0	10	16	14	10	808.10	0		15.809875
86	170	3	0	0	14	0	23	10	7	1366.07	0		29.674370
20	36	1	0	0	0	20	16	14	10	808.10	0		15.809875
20	37	1	0	16	0	0	16	14	10	808.10	0		15.809875
20	38	3	0	0	14	7	23	10	7	1366.07	0		29.674370
21	39	1	0	16	0	10	16	14	10	808.10	0		15.809875
21	40	1	0	16	0	20	16	14	10	808.10	0		15.809875
21	41	2	0	0	14	14	28	10	6	833.92	1		5.274671


