Name:				175_n060_m200_bt10_17616
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		909.58
Calculation_Time:		47.72
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		20
No_of_Items:			72
Customer_Sequence:		9 13 17 5 6 7 15 10 20 12 18 23 8 22 19 24 2 3 1 4 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
4	13	9	0	0	0	0	12	4	6	176.19	0		15.717092
4	14	9	0	0	4	0	12	4	6	176.19	0		15.717092
1	1	1	0	0	8	0	10	7	6	351.18	0		10.143145
1	2	1	0	0	15	0	10	7	6	351.18	0		10.143145
1	3	10	0	0	0	6	7	4	6	267.62	0		53.982562
3	12	10	0	0	4	6	7	4	6	267.62	0		53.982562
3	10	7	0	0	8	6	7	4	5	119.90	0		65.831071
3	11	7	0	0	12	6	7	4	5	119.90	0		65.831071
3	9	6	0	0	22	0	9	3	5	110.26	0		26.701259
3	8	5	0	0	16	6	12	6	4	107.12	1		2.394222
2	6	6	0	0	22	5	9	3	5	110.26	0		26.701259
2	7	6	0	0	22	10	9	3	5	110.26	0		26.701259
2	5	5	0	0	16	10	12	6	4	107.12	1		2.394222
2	4	4	0	0	8	11	7	5	5	113.78	1		3.789401
24	78	1	0	10	8	0	10	7	6	351.18	0		10.143145
24	80	8	1	7	0	6	13	4	7	111.13	0		13.240130
24	81	9	1	7	0	13	12	4	6	176.19	0		15.717092
24	82	9	1	7	0	19	12	4	6	176.19	0		15.717092
13	44	2	0	12	0	0	12	4	6	251.89	0		31.496315
19	60	1	0	20	8	0	10	7	6	351.18	0		10.143145
19	62	9	0	12	4	0	12	4	6	176.19	0		15.717092
19	63	9	0	12	4	6	12	4	6	176.19	0		15.717092
19	61	5	0	0	16	14	12	6	4	107.12	1		2.394222
22	69	1	0	12	8	6	10	7	6	351.18	0		10.143145
22	71	9	0	12	4	12	12	4	6	176.19	0		15.717092
22	72	9	0	12	8	12	12	4	6	176.19	0		15.717092
22	70	4	0	0	16	18	7	5	5	113.78	1		3.789401
8	27	2	0	12	4	18	12	4	6	251.89	0		31.496315
8	28	5	0	20	15	0	12	6	4	107.12	1		2.394222
23	73	2	0	12	8	18	12	4	6	251.89	0		31.496315
23	77	10	0	12	12	12	7	4	6	267.62	0		53.982562
23	74	3	1	7	0	25	7	4	5	230.59	0		75.857108
23	75	7	0	12	12	18	7	4	5	119.90	0		65.831071
23	76	7	0	12	12	23	7	4	5	119.90	0		65.831071
18	57	1	0	12	4	24	10	7	6	351.18	0		10.143145
12	40	5	0	20	15	4	12	6	4	107.12	1		2.394222
18	58	6	0	0	22	15	9	3	5	110.26	0		26.701259
12	41	8	0	20	21	0	13	4	7	111.13	0		13.240130
12	39	3	0	20	21	7	7	4	5	230.59	0		75.857108
18	59	10	0	24	4	0	7	4	6	267.62	0		53.982562
20	66	8	0	30	8	0	13	4	7	111.13	0		13.240130
20	65	7	0	20	21	12	7	4	5	119.90	0		65.831071
20	64	6	0	0	22	20	9	3	5	110.26	0		26.701259
10	34	8	0	30	8	7	13	4	7	111.13	0		13.240130
10	35	10	0	20	21	17	7	4	6	267.62	0		53.982562
10	33	6	0	0	22	25	9	3	5	110.26	0		26.701259
10	31	5	0	20	15	8	12	6	4	107.12	1		2.394222
10	32	5	0	20	15	12	12	6	4	107.12	1		2.394222
15	50	8	0	30	8	14	13	4	7	111.13	0		13.240130
15	51	10	0	20	21	23	7	4	6	267.62	0		53.982562
15	52	10	0	24	4	6	7	4	6	267.62	0		53.982562
7	24	2	0	30	8	21	12	4	6	251.89	0		31.496315
7	26	6	0	24	4	12	9	3	5	110.26	0		26.701259
7	25	4	0	0	16	23	7	5	5	113.78	1		3.789401
6	19	1	0	43	8	0	10	7	6	351.18	0		10.143145
6	22	8	0	32	15	0	13	4	7	111.13	0		13.240130
6	23	9	0	32	15	7	12	4	6	176.19	0		15.717092
6	21	7	0	24	4	17	7	4	5	119.90	0		65.831071
6	20	5	0	20	15	16	12	6	4	107.12	1		2.394222
5	15	2	0	32	15	13	12	4	6	251.89	0		31.496315
5	16	6	0	24	4	22	9	3	5	110.26	0		26.701259
5	17	7	0	27	21	7	7	4	5	119.90	0		65.831071
5	18	10	0	27	21	12	7	4	6	267.62	0		53.982562
17	55	2	0	32	15	19	12	4	6	251.89	0		31.496315
17	56	5	0	20	15	20	12	6	4	107.12	1		2.394222
13	42	2	0	11	0	6	12	4	6	251.89	0		31.496315
13	43	2	0	11	0	12	12	4	6	251.89	0		31.496315
24	79	4	0	0	0	12	7	5	5	113.78	1		3.789401
13	45	3	0	11	0	18	7	4	5	230.59	0		75.857108
13	46	4	0	32	15	25	7	5	5	113.78	1		3.789401
9	29	1	0	43	8	6	10	7	6	351.18	0		10.143145
9	30	5	0	43	8	12	12	6	4	107.12	1		2.394222


