Name:				198_n100_m200_bt3_19726
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1722.42
Calculation_Time:		8.07
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		38
No_of_Items:			79
Customer_Sequence:		36 23 8 21 24 22 26 6 7 29 15 20 19 33 40 41 30 13 32 10 16 38 28 1 25 34 2 17 3 9 27 39 42 12 5 35 11 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	25	2	0	0	0	0	10	3	7	160.97	0		65.527841
14	26	3	0	0	3	0	9	3	5	47.24	0		8.740837
14	27	3	0	0	6	0	9	3	5	47.24	0		8.740837
11	19	2	0	0	9	0	10	3	7	160.97	0		65.527841
11	20	3	0	0	12	0	9	3	5	47.24	0		8.740837
35	64	2	0	0	15	0	10	3	7	160.97	0		65.527841
35	65	3	0	0	18	0	9	3	5	47.24	0		8.740837
5	9	2	0	0	21	0	10	3	7	160.97	0		65.527841
5	10	3	0	0	3	5	9	3	5	47.24	0		8.740837
5	8	1	0	9	3	0	14	6	4	248.40	1		6.923214
12	21	1	0	9	3	4	14	6	4	248.40	1		6.923214
42	82	2	0	0	12	5	10	3	7	160.97	0		65.527841
42	83	3	0	0	18	5	9	3	5	47.24	0		8.740837
42	81	1	0	9	3	8	14	6	4	248.40	1		6.923214
39	75	3	0	0	0	7	9	3	5	47.24	0		8.740837
39	73	1	0	9	3	12	14	6	4	248.40	1		6.923214
39	74	1	0	9	3	16	14	6	4	248.40	1		6.923214
27	51	2	0	0	9	7	10	3	7	160.97	0		65.527841
27	52	2	0	0	15	7	10	3	7	160.97	0		65.527841
27	53	2	0	0	21	7	10	3	7	160.97	0		65.527841
9	16	3	0	0	18	10	9	3	5	47.24	0		8.740837
3	5	3	0	0	0	12	9	3	5	47.24	0		8.740837
3	6	3	0	0	12	12	9	3	5	47.24	0		8.740837
17	33	2	0	0	9	14	10	3	7	160.97	0		65.527841
17	32	1	0	9	3	20	14	6	4	248.40	1		6.923214
2	2	2	0	0	15	14	10	3	7	160.97	0		65.527841
2	3	2	0	0	21	14	10	3	7	160.97	0		65.527841
2	4	3	0	0	18	15	9	3	5	47.24	0		8.740837
34	62	2	0	0	0	17	10	3	7	160.97	0		65.527841
34	63	3	0	0	12	17	9	3	5	47.24	0		8.740837
25	49	3	0	0	18	20	9	3	5	47.24	0		8.740837
25	47	1	0	9	3	24	14	6	4	248.40	1		6.923214
25	48	1	0	10	9	0	14	6	4	248.40	1		6.923214
1	1	2	0	0	9	21	10	3	7	160.97	0		65.527841
28	55	3	0	0	15	21	9	3	5	47.24	0		8.740837
28	54	1	0	10	15	0	14	6	4	248.40	1		6.923214
38	72	3	0	0	21	21	9	3	5	47.24	0		8.740837
38	70	1	0	10	9	4	14	6	4	248.40	1		6.923214
38	71	1	0	10	15	4	14	6	4	248.40	1		6.923214
16	30	2	0	0	12	22	10	3	7	160.97	0		65.527841
16	31	2	0	10	0	0	10	3	7	160.97	0		65.527841
16	29	1	0	10	9	8	14	6	4	248.40	1		6.923214
10	18	3	0	0	0	24	9	3	5	47.24	0		8.740837
10	17	1	0	10	15	8	14	6	4	248.40	1		6.923214
32	59	1	0	10	9	12	14	6	4	248.40	1		6.923214
13	23	2	0	10	21	0	10	3	7	160.97	0		65.527841
13	24	3	0	0	18	25	9	3	5	47.24	0		8.740837
13	22	1	0	10	15	12	14	6	4	248.40	1		6.923214
30	57	1	0	10	9	16	14	6	4	248.40	1		6.923214
41	79	2	0	10	0	7	10	3	7	160.97	0		65.527841
41	80	3	0	10	21	7	9	3	5	47.24	0		8.740837
41	78	1	0	10	15	16	14	6	4	248.40	1		6.923214
40	76	2	0	10	21	12	10	3	7	160.97	0		65.527841
40	77	2	0	10	0	14	10	3	7	160.97	0		65.527841
33	61	3	0	10	21	19	9	3	5	47.24	0		8.740837
33	60	1	0	10	9	20	14	6	4	248.40	1		6.923214
19	36	2	0	10	0	21	10	3	7	160.97	0		65.527841
19	37	3	0	10	21	24	9	3	5	47.24	0		8.740837
19	35	1	0	10	15	20	14	6	4	248.40	1		6.923214
20	39	2	0	20	0	0	10	3	7	160.97	0		65.527841
20	38	1	0	10	9	24	14	6	4	248.40	1		6.923214
15	28	1	0	10	15	24	14	6	4	248.40	1		6.923214
29	56	2	0	20	21	0	10	3	7	160.97	0		65.527841
7	14	3	0	20	0	7	9	3	5	47.24	0		8.740837
7	13	1	0	23	3	0	14	6	4	248.40	1		6.923214
6	12	3	0	20	21	7	9	3	5	47.24	0		8.740837
6	11	1	0	23	3	4	14	6	4	248.40	1		6.923214
26	50	2	0	20	0	12	10	3	7	160.97	0		65.527841
22	42	1	0	23	3	8	14	6	4	248.40	1		6.923214
24	45	2	0	20	21	12	10	3	7	160.97	0		65.527841
24	46	3	0	19	21	19	9	3	5	47.24	0		8.740837
21	40	1	0	23	3	12	14	6	4	248.40	1		6.923214
21	41	1	0	23	3	16	14	6	4	248.40	1		6.923214
8	15	2	0	20	0	19	10	3	7	160.97	0		65.527841
23	43	3	0	19	21	24	9	3	5	47.24	0		8.740837
23	44	3	0	24	9	0	9	3	5	47.24	0		8.740837
36	67	2	0	24	12	0	10	3	7	160.97	0		65.527841
36	68	3	0	24	15	0	9	3	5	47.24	0		8.740837
36	66	1	0	23	3	20	14	6	4	248.40	1		6.923214


