Name:				83_Manual_n150_m300_bt10_3_2361
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		101.80
Calculation_Time:		2.78
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		22
No_of_Items:			49
Customer_Sequence:		17 6 22 1 5 12 2 10 21 28 11 13 16 9 27 15 7 3 8 14 26 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	25	1	0	0	0	0	115	60	60	6.55	0		0.004700
17	34	1	0	0	60	0	115	60	60	6.55	0		0.004700
3	6	1	0	0	0	60	115	60	60	6.55	0		0.004700
27	56	1	0	0	60	60	115	60	60	6.55	0		0.004700
2	3	1	0	0	0	120	115	60	60	6.55	0		0.004700
16	31	1	0	0	60	120	115	60	60	6.55	0		0.004700
15	29	6	0	115	0	0	75	60	60	15.41	0		0.017100
28	58	6	0	115	60	0	75	60	60	15.41	0		0.017100
6	13	6	0	115	0	60	75	60	60	15.41	0		0.017100
15	30	6	0	115	60	60	75	60	60	15.41	0		0.017100
28	59	6	0	115	0	120	75	60	60	15.41	0		0.017100
17	37	7	1	0	120	0	54	59	57	4.54	0		0.007100
9	18	7	1	0	120	57	54	59	57	4.54	0		0.007100
18	39	10	0	0	120	114	60	44	51	1.83	0		0.003500
18	40	10	0	60	120	0	60	44	51	1.83	0		0.003500
16	33	10	0	60	120	51	60	44	51	1.83	0		0.003500
26	55	10	0	60	120	102	60	44	51	1.83	0		0.003500
1	2	10	0	115	60	120	60	44	51	1.83	0		0.003500
6	11	2	0	120	120	0	39	46	47	2.40	0		0.006700
17	35	2	0	120	120	47	39	46	47	2.40	0		0.006700
21	45	2	0	120	120	94	39	46	47	2.40	0		0.006700
18	38	4	0	120	120	141	52	20	42	1.20	0		0.005800
2	4	4	0	120	140	141	52	20	42	1.20	0		0.005800
1	1	4	0	172	120	0	52	20	42	1.20	0		0.005800
26	53	8	0	172	140	0	34	27	38	3.82	0		0.020800
21	46	8	0	172	140	38	34	27	38	3.82	0		0.020800
12	24	8	0	172	140	76	34	27	38	3.82	0		0.020800
14	27	8	0	172	140	114	34	27	38	3.82	0		0.020800
22	48	8	0	172	140	152	34	27	38	3.82	0		0.020800
8	16	8	0	190	0	0	34	27	38	3.82	0		0.020800
16	32	5	0	190	27	0	22	50	29	1.62	0		0.007400
11	21	5	1	190	77	0	22	50	29	1.62	0		0.007400
2	5	5	0	190	27	29	22	50	29	1.62	0		0.007400
12	23	5	1	190	77	29	22	50	29	1.62	0		0.007400
27	57	5	0	190	27	58	22	50	29	1.62	0		0.007400
22	47	5	1	190	77	58	22	50	29	1.62	0		0.007400
7	14	5	0	190	27	87	22	50	29	1.62	0		0.007400
8	15	5	1	190	77	87	22	50	29	1.62	0		0.007400
17	36	5	0	190	27	116	22	50	29	1.62	0		0.007400
9	17	3	0	190	0	38	37	27	54	3.91	1		0.003900
5	10	3	0	190	0	92	37	27	54	3.91	1		0.003900
6	12	3	0	190	77	116	37	27	54	3.91	1		0.003900
5	9	3	0	206	140	0	37	27	54	3.91	1		0.003900
26	54	9	1	190	27	145	43	26	40	3.05	1		0.002700
14	28	9	0	190	0	146	43	26	40	3.05	1		0.002700
10	20	9	0	206	140	54	43	26	40	3.05	1		0.002700
11	22	9	0	206	140	94	43	26	40	3.05	1		0.002700
13	26	9	0	206	140	134	43	26	40	3.05	1		0.002700
9	19	9	0	212	27	0	43	26	40	3.05	1		0.002700


