Name:				258_n100_m200_bt3_11546
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1531.62
Calculation_Time:		6.05
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		36
No_of_Items:			76
Customer_Sequence:		6 37 29 7 25 33 16 27 22 3 14 11 20 4 23 38 15 21 26 10 19 28 24 5 30 18 41 2 9 8 32 17 13 36 12 34 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
34	66	1	0	0	0	0	9	5	6	268.60	0		12.068180
34	67	1	0	0	5	0	9	5	6	268.60	0		12.068180
34	68	2	0	0	10	0	11	3	7	132.03	0		19.806349
12	21	2	0	0	13	0	11	3	7	132.03	0		19.806349
36	70	1	0	0	16	0	9	5	6	268.60	0		12.068180
36	71	2	0	0	21	0	11	3	7	132.03	0		19.806349
36	72	3	0	9	0	0	17	6	6	253.94	1		8.443233
13	22	1	0	0	0	6	9	5	6	268.60	0		12.068180
17	29	2	0	0	16	6	11	3	7	132.03	0		19.806349
17	30	3	0	9	0	6	17	6	6	253.94	1		8.443233
17	31	3	0	0	0	12	17	6	6	253.94	1		8.443233
32	62	1	0	0	10	7	9	5	6	268.60	0		12.068180
32	63	1	0	0	10	13	9	5	6	268.60	0		12.068180
8	12	1	0	0	10	19	9	5	6	268.60	0		12.068180
8	13	1	0	11	6	0	9	5	6	268.60	0		12.068180
8	14	2	0	0	21	7	11	3	7	132.03	0		19.806349
9	15	2	0	0	6	6	11	3	7	132.03	0		19.806349
9	16	2	0	0	6	13	11	3	7	132.03	0		19.806349
2	2	3	0	0	0	18	17	6	6	253.94	1		8.443233
2	3	3	0	0	0	24	17	6	6	253.94	1		8.443233
41	80	1	0	11	11	0	9	5	6	268.60	0		12.068180
41	81	3	0	11	16	0	17	6	6	253.94	1		8.443233
18	32	1	0	11	6	6	9	5	6	268.60	0		12.068180
18	33	2	0	0	16	13	11	3	7	132.03	0		19.806349
30	59	1	0	11	11	6	9	5	6	268.60	0		12.068180
30	60	2	0	0	21	14	11	3	7	132.03	0		19.806349
5	8	2	0	0	6	20	11	3	7	132.03	0		19.806349
5	9	2	0	0	16	20	11	3	7	132.03	0		19.806349
24	46	2	0	0	21	21	11	3	7	132.03	0		19.806349
24	47	3	0	11	16	6	17	6	6	253.94	1		8.443233
28	56	1	0	9	9	12	9	5	6	268.60	0		12.068180
28	57	3	0	11	14	12	17	6	6	253.94	1		8.443233
19	34	1	0	9	9	18	9	5	6	268.60	0		12.068180
19	35	2	0	11	22	0	11	3	7	132.03	0		19.806349
19	36	3	0	11	14	18	17	6	6	253.94	1		8.443233
10	17	3	0	11	14	24	17	6	6	253.94	1		8.443233
26	50	1	0	9	9	24	9	5	6	268.60	0		12.068180
26	51	3	0	20	6	0	17	6	6	253.94	1		8.443233
26	52	3	0	20	6	6	17	6	6	253.94	1		8.443233
21	39	2	0	11	22	7	11	3	7	132.03	0		19.806349
21	40	2	0	11	22	14	11	3	7	132.03	0		19.806349
15	24	1	0	26	0	0	9	5	6	268.60	0		12.068180
15	25	3	0	18	6	12	17	6	6	253.94	1		8.443233
38	76	3	0	18	6	18	17	6	6	253.94	1		8.443233
38	77	3	0	18	6	24	17	6	6	253.94	1		8.443233
23	43	1	0	26	0	6	9	5	6	268.60	0		12.068180
23	44	2	0	11	22	21	11	3	7	132.03	0		19.806349
23	45	2	0	22	22	0	11	3	7	132.03	0		19.806349
4	5	1	0	26	0	12	9	5	6	268.60	0		12.068180
4	6	1	0	26	0	18	9	5	6	268.60	0		12.068180
4	7	1	0	26	0	24	9	5	6	268.60	0		12.068180
20	37	1	0	28	12	0	9	5	6	268.60	0		12.068180
20	38	3	0	35	0	0	17	6	6	253.94	1		8.443233
11	18	1	0	28	17	0	9	5	6	268.60	0		12.068180
11	19	3	0	35	0	6	17	6	6	253.94	1		8.443233
11	20	3	0	35	0	12	17	6	6	253.94	1		8.443233
14	23	1	0	28	12	6	9	5	6	268.60	0		12.068180
3	4	1	0	28	17	6	9	5	6	268.60	0		12.068180
22	41	2	0	22	22	7	11	3	7	132.03	0		19.806349
22	42	3	0	35	0	18	17	6	6	253.94	1		8.443233
27	53	1	0	28	12	12	9	5	6	268.60	0		12.068180
27	54	1	0	28	17	12	9	5	6	268.60	0		12.068180
27	55	3	0	35	0	24	17	6	6	253.94	1		8.443233
16	26	1	0	28	12	18	9	5	6	268.60	0		12.068180
16	27	2	0	22	22	14	11	3	7	132.03	0		19.806349
16	28	2	0	22	22	21	11	3	7	132.03	0		19.806349
33	64	1	0	28	17	18	9	5	6	268.60	0		12.068180
33	65	2	0	33	22	0	11	3	7	132.03	0		19.806349
25	48	1	0	28	12	24	9	5	6	268.60	0		12.068180
25	49	3	0	37	6	0	17	6	6	253.94	1		8.443233
7	11	3	0	37	12	0	17	6	6	253.94	1		8.443233
29	58	1	0	28	17	24	9	5	6	268.60	0		12.068180
37	73	1	1	54	0	0	9	5	6	268.60	0		12.068180
37	74	1	1	54	9	0	9	5	6	268.60	0		12.068180
37	75	2	0	33	22	7	11	3	7	132.03	0		19.806349
6	10	2	0	33	22	14	11	3	7	132.03	0		19.806349


